,CLOSE,HIGH,LOW,VOLUME,AMT,PCT_CHG,SWING,OI,ANAL_BASIS,BASISANNUALYIELD,ANAL_BASISPERCENT2,FTDATE,LASTTRADE_DATE,CONTRACTMULTIPLIER,TRADE_HISCODE
2018-01-02,15175.0,15470.0,15110.0,162174.0,12375172800.0,0.33057851239668423,2.3645320197044337,320394.0,-515.0,-16.570568096990915,-3.5129604365620737,2023-11-16,2024-11-15,5.0,AL1803.SHF
2018-01-03,15165.0,15255.0,15135.0,128422.0,9749829000.0,-0.6225425950196595,0.7907742998352554,322438.0,-505.0,-16.561286598803655,-3.44474761255116,2023-11-16,2024-11-15,5.0,AL1803.SHF
2018-01-04,15140.0,15245.0,15015.0,178014.0,13463443650.0,-0.26350461133070047,1.5166501813386086,328124.0,-600.0,-20.228173800469293,-4.126547455295736,2023-11-16,2024-11-15,5.0,AL1803.SHF
2018-01-05,15210.0,15230.0,15095.0,132854.0,10075474850.0,0.5619834710743898,0.8916776750330251,335404.0,-370.0,-12.466307277628031,-2.4932614555256065,2023-11-16,2024-11-15,5.0,AL1803.SHF
2018-01-08,15040.0,15220.0,14925.0,201984.0,15230464600.0,-0.8242664029014191,1.9395134779750165,326382.0,-340.0,-11.800638622796056,-2.312925170068027,2023-11-16,2024-11-15,5.0,AL1803.SHF
2018-01-09,15075.0,15130.0,15000.0,154802.0,11648528150.0,-0.03315649867373649,0.8643617021276596,334426.0,-425.0,-15.109499431171786,-2.901023890784983,2023-11-16,2024-11-15,5.0,AL1803.SHF
2018-01-10,15060.0,15100.0,14970.0,174670.0,13130318950.0,0.09970089730808596,0.8623548922056384,340496.0,-320.0,-11.54767747336817,-2.1709633649932156,2023-11-16,2024-11-15,5.0,AL1803.SHF
2018-01-11,15210.0,15260.0,15085.0,236926.0,17968090450.0,1.1976047904191711,1.1620185922974768,360746.0,-250.0,-9.082190188328296,-1.6711229946524064,2023-11-16,2024-11-15,5.0,AL1803.SHF
2018-01-12,15090.0,15235.0,15020.0,220870.0,16689095400.0,-0.4945598417408492,1.413543721236029,346842.0,-300.0,-11.268875366238449,-2.028397565922921,2023-11-16,2024-11-15,5.0,AL1803.SHF
2018-01-15,15130.0,15265.0,15110.0,240762.0,18291468550.0,0.1323626737260053,1.027170311464546,352818.0,-160.0,-6.0727515637335285,-1.068804275217101,2023-11-16,2024-11-15,5.0,AL1803.SHF
2018-01-16,14745.0,15145.0,14725.0,382636.0,28499939850.0,-2.9295589203423344,2.775941837409121,345144.0,-55.0,-2.176769515728149,-0.37440435670524164,2023-11-16,2024-11-15,5.0,AL1803.SHF
2018-01-17,14630.0,14735.0,14560.0,252142.0,18453936850.0,-1.77912051023833,1.186842997626314,339448.0,-240.0,-9.927529038022435,-1.6678248783877692,2023-11-16,2024-11-15,5.0,AL1803.SHF
2018-01-18,14620.0,14700.0,14505.0,228818.0,16728924400.0,-0.10249402118209794,1.3328776486671223,341062.0,-250.0,-10.608143659724698,-1.7397355601948505,2023-11-16,2024-11-15,5.0,AL1803.SHF
2018-01-19,14765.0,14835.0,14625.0,268758.0,19797936000.0,0.991792065663466,1.4363885088919288,339218.0,-295.0,-12.741879751209398,-2.0387007601935037,2023-11-16,2024-11-15,5.0,AL1803.SHF
2018-01-22,14660.0,14785.0,14610.0,221918.0,16288433700.000002,-0.4752206381534285,1.1852353538774127,334574.0,-310.0,-13.84794067720897,-2.1602787456445993,2023-11-16,2024-11-15,5.0,AL1803.SHF
2018-01-23,14650.0,14750.0,14595.0,217202.0,15928108050.0,-0.17035775127768327,1.0572987721691678,333070.0,-300.0,-13.753896937465615,-2.0905923344947737,2023-11-16,2024-11-15,5.0,AL1803.SHF
2018-01-24,14640.0,14725.0,14530.0,176038.0,12883952700.0,-0.17047391749062113,1.3310580204778157,322908.0,-190.0,-8.884316842794352,-1.314878892733564,2023-11-16,2024-11-15,5.0,AL1803.SHF
2018-01-25,14790.0,14855.0,14585.0,280592.0,20672828050.0,1.0591048855483454,1.8442622950819672,314356.0,-160.0,-7.5947444368497,-1.0936431989063569,2023-11-16,2024-11-15,5.0,AL1803.SHF
2018-01-26,14625.0,14820.0,14610.0,246972.0,18154129950.0,-0.7465218866644086,1.4198782961460445,316304.0,-205.0,-10.154547255795523,-1.4216366158113731,2023-11-16,2024-11-15,5.0,AL1803.SHF
2018-01-29,14670.0,14770.0,14610.0,218110.0,16020449350.0,-0.20408163265306367,1.0940170940170941,303330.0,-140.0,-7.084733411602769,-0.9635237439779766,2023-11-16,2024-11-15,5.0,AL1803.SHF
2018-01-30,14470.0,14730.0,14415.0,295754.0,21528254450.0,-1.497617426820963,2.147239263803681,299862.0,-120.0,-6.335128286347799,-0.8362369337979094,2023-11-16,2024-11-15,5.0,AL1803.SHF
2018-01-31,14440.0,14600.0,14410.0,272330.0,19736498050.0,-0.7901064926142176,1.3130615065653075,270498.0,-220.0,-12.086849507735584,-1.5471167369901548,2023-11-16,2024-11-15,5.0,AL1803.SHF
2018-02-01,14335.0,14500.0,14290.0,225536.0,16206803200.0,-1.0697032436162823,1.4542936288088644,267360.0,-175.0,-9.966739566247494,-1.2358757062146892,2023-11-16,2024-11-15,5.0,AL1803.SHF
2018-02-02,14390.0,14460.0,14310.0,182842.0,13164467400.0,0.13917884481557952,1.0463899546564353,260134.0,-150.0,-8.778089887640448,-1.053370786516854,2023-11-16,2024-11-15,5.0,AL1803.SHF
