,CLOSE,HIGH,LOW,VOLUME,AMT,PCT_CHG,SWING,OI,ANAL_BASIS,BASISANNUALYIELD,ANAL_BASISPERCENT2,FTDATE,LASTTRADE_DATE,CONTRACTMULTIPLIER,TRADE_HISCODE
2018-01-02,8101.0,8106.0,8086.0,16426.0,1330130900.0,0.07411982705374243,0.2472799208704253,12360.0,-4101.0,-287.9915730337079,-102.525,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-01-03,8094.0,8122.0,8088.0,20154.0,1632484300.0,-0.04939491232403004,0.4197012714479694,11852.0,-4094.0,-290.7670454545455,-102.35000000000001,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-01-04,8092.0,8114.0,8076.0,16652.0,1347790500.0,-0.09876543209876854,0.4694835680751174,11252.0,-3692.0,-241.11807732497388,-83.9090909090909,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-01-05,8099.0,8111.0,8082.0,9538.0,772258300.0,0.061774153694105216,0.35837864557587745,10090.0,-3699.0,-244.38424947145876,-84.06818181818181,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-01-08,8084.0,8103.0,8080.0,6932.0,560619600.0,-0.16055329134246898,0.28398567724410423,9794.0,-2484.0,-130.46218487394958,-44.357142857142854,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-01-09,7966.0,8090.0,7933.0,71128.0,5681636200.0,-1.496228514900455,1.94210786739238,15934.0,-2366.0,-125.74404761904762,-42.25,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-01-10,7938.0,7980.0,7933.0,30192.0,2402566600.0,-0.6259389083625444,0.5900075320110469,16004.0,-2338.0,-125.75301204819276,-41.75,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-01-11,7865.0,7953.0,7854.0,43240.0,3414928000.0,-1.1686353355114365,1.2471655328798186,20238.0,-2265.0,-123.31228222996518,-40.44642857142857,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-01-12,7787.0,7855.0,7784.0,38852.0,3037200400.0,-1.4054190934413735,0.9027336300063573,24070.0,-2187.0,-120.53571428571428,-39.05357142857142,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-01-15,7777.0,7795.0,7758.0,26164.0,2034636800.0,-0.511705257771522,0.475150892513163,25024.0,-2177.0,-121.484375,-38.875,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-01-16,7723.0,7815.0,7711.0,44712.0,3474366300.0,-0.6815843621399198,1.3372765848013373,28730.0,-2623.0,-162.75750806651774,-51.431372549019606,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-01-17,7670.0,7744.0,7658.0,88156.0,6778643900.0,-1.299704027795645,1.1135569079373302,31314.0,-2570.0,-161.51332327802913,-50.3921568627451,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-01-18,7671.0,7708.0,7666.0,48086.0,3696352199.9999995,-0.2341006632852083,0.5475880052151239,32514.0,-2571.0,-163.67456073338425,-50.411764705882355,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-01-19,7657.0,7701.0,7641.0,57942.0,4445659500.0,-0.3902692858072099,0.7821666014861166,31622.0,-2557.0,-164.9251805985552,-50.13725490196078,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-01-22,7697.0,7708.0,7667.0,41406.0,3182426500.0,0.31278509057734993,0.5354577510774455,30488.0,-2597.0,-169.73856209150327,-50.921568627450974,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-01-23,7699.0,7740.0,7681.0,54140.0,4174580300.0000005,0.16913869372885415,0.7665324152267117,28442.0,-2599.0,-172.16481187069422,-50.96078431372549,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-01-24,7677.0,7708.0,7664.0,27376.0,2104276400.0000002,-0.44092854363895206,0.5715027925704638,28900.0,-2577.0,-173.04593070104755,-50.52941176470588,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-01-25,7661.0,7701.0,7657.0,27324.0,2098198700.0,-0.3382333810329152,0.5731405496938908,29692.0,-2561.0,-174.36002178649238,-50.21568627450981,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-01-26,7683.0,7699.0,7660.0,30254.0,2324485800.0,0.05209011590050494,0.5090719227254927,27502.0,-2583.0,-178.33471416735708,-50.64705882352941,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-01-29,7560.0,7697.0,7554.0,56558.0,4297445500.0,-1.6009371339320566,1.8612521150592216,32460.0,-2460.0,-172.2689075630252,-48.23529411764706,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-01-30,7512.0,7568.0,7510.0,50684.0,3821596400.0,-1.1318768096867604,0.7671957671957672,36340.0,-2412.0,-171.3554987212276,-47.294117647058826,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-01-31,7487.0,7543.0,7461.0,88814.0,6660856400.0,-0.7029177718832935,1.091586794462194,36572.0,-2387.0,-172.07324106113032,-46.80392156862745,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-02-01,7434.0,7515.0,7434.0,63248.0,4734413000.0,-0.880000000000003,1.0818752504340858,38134.0,-2334.0,-170.7638279192274,-45.76470588235294,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-02-02,7372.0,7462.0,7367.0,101222.0,7510409500.0,-1.5096860387441513,1.2779122948614474,42932.0,-2272.0,-168.7462863933452,-44.549019607843135,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-02-05,7334.0,7382.0,7321.0,105376.0,7746395699.999999,-1.1590296495956887,0.8274552360282149,48282.0,-2234.0,-168.4766214177979,-43.80392156862745,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-02-06,7278.0,7372.0,7275.0,114430.0,8379882800.0,-0.9930621684124619,1.3226070357240252,51858.0,-2178.0,-166.81985294117646,-42.705882352941174,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-02-07,6956.0,7293.0,6956.0,295794.0,21040411700.0,-5.011607264782192,4.630392965100302,70608.0,844.0,42.93854293854294,10.820512820512821,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-02-08,6754.0,6890.0,6662.0,430434.0,29163468000.0,-5.047096864895262,3.27774583093732,52822.0,1046.0,54.07361455748553,13.41025641025641,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-02-09,6745.0,6828.0,6697.0,268308.0,18134659700.0,-0.44280442804428555,1.939591353272135,55844.0,1055.0,55.43295502311894,13.525641025641026,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-02-12,6803.0,6941.0,6731.0,272840.0,18590680300.0,0.6509838733540496,3.1134173461823575,53656.0,997.0,53.25854700854702,12.782051282051283,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-02-13,6765.0,6848.0,6740.0,196004.0,13287794000.0,-0.7191077194012352,1.587534911068646,53304.0,1035.0,56.225554106910046,13.26923076923077,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-02-14,6621.0,6821.0,6553.0,235156.0,15733566800.0,-2.330727245906472,3.961566888396157,52600.0,1179.0,65.15251989389922,15.115384615384617,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-02-22,6481.0,6623.0,6480.0,229594.0,14969436200.000002,-3.138544313256608,2.1597945929617883,71708.0,1319.0,74.16779127305443,16.910256410256412,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-02-23,6846.0,6846.0,6471.0,509036.0,33878552900.0,5.000000000000004,5.786144113562722,71108.0,954.0,54.60164835164836,12.230769230769232,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-02-26,6956.0,7064.0,6883.0,601232.0,41846022100.0,4.522915101427505,2.6438796377446687,54924.0,844.0,49.184149184149184,10.820512820512821,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-02-27,7083.0,7150.0,6889.0,932914.0,65455195800.0,1.767241379310347,3.7521564117308794,64128.0,717.0,42.55698005698006,9.192307692307693,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-02-28,7098.0,7124.0,7036.0,878110.0,62191300000.0,1.1687571265678542,1.2424114075956516,66560.0,702.0,42.45283018867924,9.0,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-03-01,7131.0,7188.0,7050.0,801364.0,57119084100.0,0.6918949449308043,1.944209636517329,68836.0,669.0,41.235207100591715,8.576923076923077,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-03-02,7016.0,7168.0,6976.0,826852.0,58701726200.0,-1.5712682379349086,2.6924694993689524,62484.0,784.0,49.27099044746104,10.051282051282051,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-03-05,7026.0,7052.0,6944.0,955606.0,66870934300.0,-1.028313847020712,1.5393386545039909,61168.0,-1026.0,-85.50000000000001,-17.1,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-03-06,7218.0,7310.0,7018.0,1667622.0,119958077200.0,3.1437553586739053,4.1559920296043265,76480.0,-1218.0,-103.57142857142858,-20.3,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-03-07,7185.0,7238.0,7149.0,918752.0,66132478900.0,-0.11121924092868385,1.2330285397617067,68264.0,-1185.0,-102.86458333333334,-19.75,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-03-08,7132.0,7200.0,7083.0,837036.0,59757878300.0,-0.9169213670463972,1.62839248434238,62722.0,-1132.0,-100.35460992907801,-18.866666666666667,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-03-09,7212.0,7249.0,7114.0,1062380.0,76391517000.0,1.022552178176217,1.8928771733034213,63194.0,-1212.0,-109.78260869565217,-20.200000000000003,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-03-12,7030.0,7313.0,7004.0,1298964.0,92002088000.0,-2.2389097482964804,4.284525790349417,65806.0,-1030.0,-95.37037037037037,-17.166666666666668,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-03-13,7042.0,7085.0,6982.0,926130.0,65113431400.0,-0.5788507694479694,1.465149359886202,59850.0,-1042.0,-98.67424242424244,-17.366666666666667,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-03-14,7023.0,7068.0,6993.0,502176.0,35289395400.0,-0.11378182335372022,1.0650383413802897,59196.0,-1023.0,-99.12790697674419,-17.05,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-03-15,6923.0,7004.0,6892.0,586156.0,40623087600.0,-1.480005692329589,1.5947600740424321,73462.0,-923.0,-91.56746031746032,-15.383333333333333,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-03-16,7048.0,7052.0,6906.0,611516.0,42766104100.0,1.7027417027416947,2.108912321248014,72430.0,-1048.0,-106.5040650406504,-17.466666666666665,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-03-19,7030.0,7082.0,6976.0,455230.0,32010889100.0,0.5291005291005346,1.5039727582292848,64384.0,-1030.0,-107.29166666666667,-17.166666666666668,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-03-20,7000.0,7029.0,6945.0,431310.0,30160497000.0,-0.4550625711035261,1.1948790896159318,58194.0,-1000.0,-106.83760683760684,-16.666666666666664,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-03-21,7075.0,7145.0,7006.0,607318.0,43071139900.0,1.172601172601162,1.9857142857142858,60412.0,-1275.0,-144.6234119782214,-21.982758620689655,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-03-22,7217.0,7394.0,7198.0,509216.0,36927496500.0,1.762549351381848,2.770318021201413,56210.0,-1417.0,-165.07455731593663,-24.43103448275862,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-03-23,7345.0,7368.0,7145.0,681390.0,49620165100.0,1.2824048538334187,3.0899265622834973,61242.0,-1545.0,-184.98563218390805,-26.637931034482758,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-03-26,7399.0,7421.0,7307.0,402936.0,29603328700.0,1.606701455644055,1.5520762423417291,65986.0,7821.0,367.0452412239535,51.386333771353485,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-03-27,7303.0,7420.0,7261.0,545684.0,39934467400.0,-0.5988838981897393,2.148939045817002,57648.0,7917.0,382.4785498956481,52.01708278580814,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-03-28,7332.0,7357.0,7253.0,544064.0,39770175400.0,0.19130910084723673,1.4240722990551828,59120.0,-1192.0,-147.0733392557497,-19.413680781758956,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-03-29,7224.0,7339.0,7190.0,544174.0,39443162400.0,-1.17647058823529,2.0321876704855426,53998.0,7996.0,410.438567674113,52.53613666228647,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-03-30,7270.0,7293.0,7174.0,501562.0,36290344100.0,0.30353200883002085,1.6472868217054266,51520.0,7950.0,421.2411512865076,52.23390275952694,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-04-02,7419.0,7445.0,7237.0,635948.0,46974135500.0,2.5431928127159553,2.861072902338377,73706.0,-1279.0,-173.5884907709012,-20.83061889250814,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-04-03,7401.0,7437.0,7356.0,400440.0,29640446700.0,0.2030869212022779,1.0917913465426607,61594.0,-1601.0,-237.96076099881094,-27.603448275862068,2024-01-16,2025-01-14,10.0,AP805.CZC
2018-04-04,7194.0,7420.0,7176.0,574360.0,41863633100.0,-2.8100513374763603,3.2968517767869208,54878.0,-1394.0,-214.5935960591133,-24.03448275862069,2024-01-16,2025-01-14,10.0,AP805.CZC
