,CLOSE,HIGH,LOW,VOLUME,AMT,PCT_CHG,SWING,OI,ANAL_BASIS,BASISANNUALYIELD,ANAL_BASISPERCENT2,FTDATE,LASTTRADE_DATE,CONTRACTMULTIPLIER,TRADE_HISCODE
2018-01-02,279.4,279.9,278.95,54760.0,15291058700.000002,0.5397625044980314,0.3419726421886208,255972.0,-4.3799999999999955,-3.4621987966092544,-1.5926114464402574,2023-11-16,2024-12-16,1000.0,AU1806.SHF
2018-01-03,280.35,281.45,279.45,120498.0,33793314000.0,0.41189111747852447,0.7158196134574089,269758.0,-4.2900000000000205,-3.4079166619003662,-1.554009997826567,2023-11-16,2024-12-16,1000.0,AU1806.SHF
2018-01-04,279.0,280.5,278.35,115606.0,32290310200.0,-0.4992867332382245,0.7668985197075002,268078.0,-3.819999999999993,-3.071199736037613,-1.388182280689001,2023-11-16,2024-12-16,1000.0,AU1806.SHF
2018-01-05,279.85,280.5,278.4,131968.0,36911520400.0,0.1969208736126049,0.7526881720430189,271418.0,-3.660000000000025,-2.9579792378952576,-1.3251746985770756,2023-11-16,2024-12-16,1000.0,AU1806.SHF
2018-01-08,280.2,280.8,279.05,122670.0,34343562500.0,0.1787629603146268,0.6253350008933357,265332.0,-3.7099999999999795,-3.022118650170281,-1.3418206806756048,2023-11-16,2024-12-16,1000.0,AU1806.SHF
2018-01-09,280.55,281.0,280.0,97146.0,27253832400.000004,0.21432398642615702,0.3568879371877231,269750.0,-3.420000000000016,-2.804722430890668,-1.2340778695918941,2023-11-16,2024-12-16,1000.0,AU1806.SHF
2018-01-10,279.95,280.85,279.75,100630.0,28196235900.0,-0.19607843137254832,0.39208697201925596,275136.0,-3.3100000000000023,-2.744268044847477,-1.1965008675535,2023-11-16,2024-12-16,1000.0,AU1806.SHF
2018-01-11,280.85,281.85,280.5,107986.0,30359165000.0,0.24986614313762257,0.4822289694588401,277640.0,-3.240000000000009,-2.701631785598509,-1.167104931378556,2023-11-16,2024-12-16,1000.0,AU1806.SHF
2018-01-12,281.55,281.8,280.55,107150.0,30130367900.0,0.16008537886873508,0.44507744347516465,281512.0,-3.230000000000018,-2.7115295242751722,-1.1605346363897737,2023-11-16,2024-12-16,1000.0,AU1806.SHF
2018-01-15,282.05,282.6,280.05,154100.0,43423027500.0,0.32011381824650353,0.9057005860415597,281200.0,-2.829999999999984,-2.3904191325430677,-1.0135377121982607,2023-11-16,2024-12-16,1000.0,AU1806.SHF
2018-01-16,281.65,282.35,281.5,73686.0,20772222300.0,-0.03549245785271493,0.3013650062045817,278914.0,-2.919999999999959,-2.494306659627903,-1.0476087970437193,2023-11-16,2024-12-16,1000.0,AU1806.SHF
2018-01-17,280.8,281.9,280.55,120036.0,33745873900.0,-0.390209294075905,0.4793183028581452,277878.0,-3.150000000000034,-2.727216057848178,-1.1345218800648422,2023-11-16,2024-12-16,1000.0,AU1806.SHF
2018-01-18,279.25,281.0,278.65,120704.0,33756617100.0,-0.6581287797936763,0.836894586894595,275960.0,-3.259999999999991,-2.8669956734748645,-1.1812022174716441,2023-11-16,2024-12-16,1000.0,AU1806.SHF
2018-01-19,278.35,279.4,277.9,123998.0,34553895100.0,-0.4648667977829257,0.5371530886302597,275066.0,-2.8000000000000114,-2.490562546920429,-1.0161495191435352,2023-11-16,2024-12-16,1000.0,AU1806.SHF
2018-01-22,278.5,279.15,278.45,91784.0,25594246000.0,-0.05383097075183363,0.25148194718878697,274708.0,-2.6999999999999886,-2.423193733441499,-0.9789702683103656,2023-11-16,2024-12-16,1000.0,AU1806.SHF
2018-01-23,279.4,279.6,278.6,106384.0,29693436600.0,0.19723865877709912,0.3590664272890485,282894.0,-2.589999999999975,-2.3391495971966103,-0.9356598388786441,2023-11-16,2024-12-16,1000.0,AU1806.SHF
2018-01-24,280.7,280.7,279.15,129994.0,36378262900.0,0.5732712289501896,0.5547602004294959,289142.0,-2.9399999999999977,-2.672898338220917,-1.058467741935483,2023-11-16,2024-12-16,1000.0,AU1806.SHF
2018-01-25,281.75,282.1,280.75,147606.0,41543064800.0,0.6969263759828426,0.48094050587816983,289750.0,-2.910000000000025,-2.6622684649817696,-1.0436092382728537,2023-11-16,2024-12-16,1000.0,AU1806.SHF
2018-01-26,279.95,281.25,279.15,160632.0,45013257000.0,-0.5152807391613279,0.7453416149068404,289436.0,-2.579999999999984,-2.3973337188890054,-0.930165482928934,2023-11-16,2024-12-16,1000.0,AU1806.SHF
2018-01-29,278.7,280.0,278.55,116526.0,32544038000.0,-0.5353319057815886,0.5179496338631858,295796.0,-2.8600000000000136,-2.7000857985305626,-1.036832946635736,2023-11-16,2024-12-16,1000.0,AU1806.SHF
2018-01-30,276.35,278.75,276.2,142162.0,39445428700.0,-1.0384959713518271,0.914962325080736,298672.0,-2.490000000000009,-2.3926939235183644,-0.9092236909369784,2023-11-16,2024-12-16,1000.0,AU1806.SHF
2018-01-31,276.6,278.05,276.45,130220.0,36087472700.0,-0.30636150657774586,0.5789759363126552,294800.0,-2.730000000000018,-2.6511258253450136,-0.996823310329725,2023-11-16,2024-12-16,1000.0,AU1806.SHF
