,CLOSE,HIGH,LOW,VOLUME,AMT,PCT_CHG,SWING,OI,ANAL_BASIS,BASISANNUALYIELD,ANAL_BASISPERCENT2,FTDATE,LASTTRADE_DATE,CONTRACTMULTIPLIER,TRADE_HISCODE
2018-01-02,2682.0,2686.0,2618.0,440670.0,11712997200.0,2.366412213740454,2.593440122044241,383896.0,-332.0,-30.712303422756708,-14.127659574468085,2023-11-16,2024-11-15,10.0,BU1806.SHF
2018-01-03,2662.0,2684.0,2660.0,233234.0,6229008600.0,0.22590361445782303,0.8948545861297539,389628.0,-312.0,-29.11534154535274,-13.276595744680849,2023-11-16,2024-11-15,10.0,BU1806.SHF
2018-01-04,2696.0,2702.0,2646.0,369982.0,9901872640.0,0.9737827715355696,2.103681442524418,403526.0,-346.0,-32.57390321973263,-14.72340425531915,2023-11-16,2024-11-15,10.0,BU1806.SHF
2018-01-05,2698.0,2712.0,2660.0,457546.0,12294458560.0,0.8221225710014934,1.9287833827893175,423280.0,-348.0,-33.05471124620061,-14.808510638297873,2023-11-16,2024-11-15,10.0,BU1806.SHF
2018-01-08,2690.0,2712.0,2676.0,333732.0,8985241120.0,0.14892032762472418,1.3343217197924389,434616.0,-340.0,-32.58577726662833,-14.468085106382977,2023-11-16,2024-11-15,10.0,BU1806.SHF
2018-01-09,2712.0,2730.0,2688.0,324530.0,8806099880.0,0.7429420505200568,1.5613382899628252,442126.0,-362.0,-35.009671179883945,-15.404255319148936,2023-11-16,2024-11-15,10.0,BU1806.SHF
2018-01-10,2758.0,2762.0,2700.0,473946.0,12949807120.0,1.6961651917404064,2.286135693215339,461060.0,-408.0,-39.820417723989856,-17.361702127659576,2023-11-16,2024-11-15,10.0,BU1806.SHF
2018-01-11,2750.0,2768.0,2740.0,212658.0,5852318959.999999,0.6588579795022032,1.015228426395939,453842.0,-400.0,-39.40110323089046,-17.02127659574468,2023-11-16,2024-11-15,10.0,BU1806.SHF
2018-01-12,2752.0,2766.0,2738.0,269802.0,7426143600.0,0.07272727272726875,1.0181818181818183,459436.0,-402.0,-39.96818452972759,-17.106382978723406,2023-11-16,2024-11-15,10.0,BU1806.SHF
2018-01-15,2808.0,2814.0,2736.0,401540.0,11172082560.0,2.034883720930236,2.8343023255813953,506050.0,-458.0,-45.96547571256523,-19.48936170212766,2023-11-16,2024-11-15,10.0,BU1806.SHF
2018-01-16,2766.0,2808.0,2762.0,314638.0,8765344920.0,-0.5751258087706712,1.638176638176638,458366.0,-416.0,-42.14792299898683,-17.70212765957447,2023-11-16,2024-11-15,10.0,BU1806.SHF
2018-01-17,2766.0,2790.0,2744.0,344972.0,9536546960.0,-0.6465517241379337,1.6630513376717282,454638.0,-416.0,-42.5531914893617,-17.70212765957447,2023-11-16,2024-11-15,10.0,BU1806.SHF
2018-01-18,2764.0,2786.0,2750.0,293892.0,8132397200.0,0.0,1.3015184381778742,457720.0,-414.0,-42.75976038008676,-17.617021276595747,2023-11-16,2024-11-15,10.0,BU1806.SHF
2018-01-19,2746.0,2772.0,2724.0,471130.0,12923135280.0,-0.7230657989877098,1.7366136034732274,443232.0,-396.0,-41.301627033792236,-16.851063829787233,2023-11-16,2024-11-15,10.0,BU1806.SHF
2018-01-22,2784.0,2794.0,2734.0,352890.0,9767592800.0,1.5317286652078765,2.1849963583394025,451564.0,-434.0,-45.71308194649252,-18.46808510638298,2023-11-16,2024-11-15,10.0,BU1806.SHF
2018-01-23,2770.0,2798.0,2752.0,418600.0,11623318000.0,0.1446131597975464,1.6522988505747127,429836.0,-420.0,-44.68085106382979,-17.872340425531917,2023-11-16,2024-11-15,10.0,BU1806.SHF
