,CLOSE,HIGH,LOW,VOLUME,AMT,PCT_CHG,SWING,OI,ANAL_BASIS,BASISANNUALYIELD,ANAL_BASISPERCENT2,FTDATE,LASTTRADE_DATE,CONTRACTMULTIPLIER,TRADE_HISCODE
2018-01-02,3273.0,3286.0,3273.0,10272.0,336581600.00000006,0.0,0.3980404164115126,9074.0,87.0,7.192460317460318,2.5892857142857144,2023-11-15,2024-11-14,10.0,B1805.DCE
2018-01-03,3267.0,3283.0,3250.0,14126.0,464011800.0,-0.27472527472527375,1.008249312557287,16640.0,93.0,7.774879614767255,2.767857142857143,2023-11-15,2024-11-14,10.0,B1805.DCE
2018-01-04,3268.0,3280.0,3257.0,20468.0,670240300.0,-0.487210718635811,0.7040097949188858,20446.0,92.0,7.778679653679655,2.738095238095238,2023-11-15,2024-11-14,10.0,B1805.DCE
2018-01-05,3273.0,3328.0,3252.0,16082.0,527507699.99999994,-0.030543677458760854,2.3255813953488373,19654.0,87.0,7.440476190476192,2.5892857142857144,2023-11-15,2024-11-14,10.0,B1805.DCE
2018-01-08,3268.0,3284.0,3257.0,12214.0,400040000.0,-0.3658536585365857,0.8249312557286892,19204.0,92.0,7.959579180509413,2.738095238095238,2023-11-15,2024-11-14,10.0,B1805.DCE
2018-01-09,3256.0,3279.0,3251.0,20160.0,659059299.9999999,-0.5801526717557293,0.8567931456548347,16842.0,104.0,9.103641456582633,3.0952380952380953,2023-11-15,2024-11-14,10.0,B1805.DCE
2018-01-10,3185.0,3264.0,3171.0,16604.0,540132600.0,-2.569593147751603,2.8562653562653564,15016.0,155.0,13.8116623895067,4.640718562874251,2023-11-15,2024-11-14,10.0,B1805.DCE
2018-01-11,3213.0,3226.0,3190.0,30464.0,977904400.0,-1.2296341838303082,1.130298273155416,17976.0,127.0,11.452997619219392,3.802395209580838,2023-11-15,2024-11-14,10.0,B1805.DCE
2018-01-12,3190.0,3224.0,3180.0,26626.0,851290700.0000001,-0.6230529595015577,1.3694366635543105,17076.0,150.0,13.692127939243464,4.491017964071856,2023-11-15,2024-11-14,10.0,B1805.DCE
2018-01-15,3177.0,3196.0,3105.0,23452.0,744926900.0,-0.625586487331875,2.852664576802508,16548.0,163.0,15.062467657278036,4.880239520958083,2023-11-15,2024-11-14,10.0,B1805.DCE
