,CLOSE,HIGH,LOW,VOLUME,AMT,PCT_CHG,SWING,OI,ANAL_BASIS,BASISANNUALYIELD,ANAL_BASISPERCENT2,FTDATE,LASTTRADE_DATE,CONTRACTMULTIPLIER,TRADE_HISCODE
2018-01-02,2139.0,2151.0,2119.0,192486.0,4118045300.0000005,0.8011310084825585,1.507300989166274,345944.0,11.0,1.421188630490956,0.5116279069767441,2023-11-15,2024-11-14,10.0,CS1805.DCE
2018-01-03,2163.0,2169.0,2140.0,220548.0,4764283100.0,1.1220196353436185,1.3557737260402059,371530.0,-13.0,-1.6984583224457797,-0.6046511627906976,2023-11-15,2024-11-14,10.0,CS1805.DCE
2018-01-04,2147.0,2163.0,2141.0,158580.0,3406862000.0,-0.6018518518518534,1.0171058714748036,362488.0,-47.0,-6.358225108225107,-2.238095238095238,2023-11-15,2024-11-14,10.0,CS1805.DCE
2018-01-05,2149.0,2160.0,2146.0,110242.0,2373013600.0,0.04655493482308426,0.6520726595249186,351350.0,-49.0,-6.704980842911877,-2.3333333333333335,2023-11-15,2024-11-14,10.0,CS1805.DCE
2018-01-08,2116.0,2152.0,2116.0,237982.0,5076182100.0,-1.6728624535315983,1.675197766402978,359636.0,-16.0,-2.2148394241417497,-0.7619047619047619,2023-11-15,2024-11-14,10.0,CS1805.DCE
2018-01-09,2121.0,2122.0,2107.0,160224.0,3387080600.0,-0.5625879043600568,0.7088846880907372,348626.0,-21.0,-2.941176470588235,-1.0,2023-11-15,2024-11-14,10.0,CS1805.DCE
2018-01-10,2124.0,2128.0,2115.0,128584.0,2728238100.0,0.5205868433506788,0.6129184347006129,346790.0,-24.0,-3.401360544217687,-1.1428571428571428,2023-11-15,2024-11-14,10.0,CS1805.DCE
2018-01-11,2112.0,2134.0,2110.0,173668.0,3682346400.0,-0.4243281471004279,1.1299435028248588,353724.0,-12.0,-1.7211703958691913,-0.5714285714285714,2023-11-15,2024-11-14,10.0,CS1805.DCE
2018-01-12,2126.0,2128.0,2106.0,151450.0,3206978000.0,0.2830188679245227,1.0416666666666665,336084.0,-26.0,-3.7746806039488967,-1.2380952380952381,2023-11-15,2024-11-14,10.0,CS1805.DCE
2018-01-15,2137.0,2155.0,2125.0,260494.0,5582335300.0,0.9447331128956016,1.4111006585136407,351908.0,-37.0,-5.4379776601998815,-1.7619047619047619,2023-11-15,2024-11-14,10.0,CS1805.DCE
2018-01-16,2136.0,2141.0,2120.0,145770.0,3109244600.0,-0.2801120448179262,0.9826860084230229,330976.0,-36.0,-5.357142857142858,-1.7142857142857144,2023-11-15,2024-11-14,10.0,CS1805.DCE
2018-01-17,2115.0,2138.0,2112.0,206110.0,4377282700.0,-0.7973733583489628,1.2172284644194757,322618.0,-15.0,-2.2603978300180834,-0.7142857142857143,2023-11-15,2024-11-14,10.0,CS1805.DCE
2018-01-18,2114.0,2119.0,2097.0,197646.0,4169670100.0,-0.42392840320301106,1.0401891252955082,314788.0,-14.0,-2.1367521367521367,-0.6666666666666667,2023-11-15,2024-11-14,10.0,CS1805.DCE
2018-01-19,2099.0,2116.0,2097.0,125110.0,2633937500.0,-0.4741583688952056,0.8987701040681173,313744.0,1.0,0.15460729746444032,0.047619047619047616,2023-11-15,2024-11-14,10.0,CS1805.DCE
2018-01-22,2093.0,2104.0,2088.0,147428.0,3087960800.0,-0.5700712589073675,0.7622677465459743,311906.0,7.0,1.0964912280701755,0.33333333333333337,2023-11-15,2024-11-14,10.0,CS1805.DCE
2018-01-23,2080.0,2100.0,2080.0,121260.0,2535973200.0,-0.6685768863419317,0.9555661729574774,314432.0,20.0,3.1746031746031753,0.9523809523809524,2023-11-15,2024-11-14,10.0,CS1805.DCE
2018-01-24,2084.0,2092.0,2079.0,102666.0,2141474900.0,-0.33476805356288386,0.625,309900.0,16.0,2.574002574002574,0.7619047619047619,2023-11-15,2024-11-14,10.0,CS1805.DCE
2018-01-25,2083.0,2098.0,2080.0,136144.0,2842501500.0,-0.09592326139088447,0.8637236084452975,322016.0,17.0,2.772341813437704,0.8095238095238094,2023-11-15,2024-11-14,10.0,CS1805.DCE
2018-01-26,2086.0,2091.0,2076.0,147472.0,3072189300.0,-0.04791566842357042,0.7201152184349496,329056.0,14.0,2.314814814814815,0.6666666666666667,2023-11-15,2024-11-14,10.0,CS1805.DCE
2018-01-29,2091.0,2093.0,2084.0,93470.0,1952111300.0,0.3840614498319628,0.4314477468839885,322332.0,9.0,1.5090543259557343,0.4285714285714286,2023-11-15,2024-11-14,10.0,CS1805.DCE
2018-01-30,2087.0,2096.0,2085.0,96996.0,2027790900.0,-0.04789272030650826,0.5260640841702534,316664.0,13.0,2.2108843537414966,0.6190476190476191,2023-11-15,2024-11-14,10.0,CS1805.DCE
2018-01-31,2082.0,2102.0,2080.0,228336.0,4773814800.0,-0.3827751196172291,1.0541447053186392,318768.0,18.0,3.1055900621118013,0.8571428571428572,2023-11-15,2024-11-14,10.0,CS1805.DCE
2018-02-01,2121.0,2130.0,2083.0,389262.0,8208544500.0,1.483253588516753,2.2574447646493754,314834.0,-21.0,-3.6764705882352944,-1.0,2023-11-15,2024-11-14,10.0,CS1805.DCE
2018-02-02,2116.0,2126.0,2109.0,144566.0,3059567600.0,0.379506641366234,0.8015087223008015,284266.0,-16.0,-2.8429282160625444,-0.7619047619047619,2023-11-15,2024-11-14,10.0,CS1805.DCE
