,CLOSE,HIGH,LOW,VOLUME,AMT,PCT_CHG,SWING,OI,ANAL_BASIS,BASISANNUALYIELD,ANAL_BASISPERCENT2,FTDATE,LASTTRADE_DATE,CONTRACTMULTIPLIER,TRADE_HISCODE
2018-01-02,3765.0,,,0.0,0.0,0.0,,0.0,-1226.5900000000001,-287.6261499277482,-48.3211931878617,2023-11-01,2024-10-31,10.0,FU1803.SHF
2018-01-03,3765.0,,,0.0,0.0,0.0,,0.0,-1254.35,-304.64125265393807,-49.961165435245846,2023-11-01,2024-10-31,10.0,FU1803.SHF
2018-01-04,3765.0,,,0.0,0.0,0.0,,0.0,-1227.48,-302.33259245247325,-48.37321479239572,2023-11-01,2024-10-31,10.0,FU1803.SHF
2018-01-05,3765.0,,,0.0,0.0,0.0,,0.0,-1237.21,-313.74573573490414,-48.94433477464505,2023-11-01,2024-10-31,10.0,FU1803.SHF
2018-01-08,3765.0,,,0.0,0.0,0.0,,0.0,-1249.9699999999998,-326.97370775319825,-49.70000357848613,2023-11-01,2024-10-31,10.0,FU1803.SHF
2018-01-09,3765.0,,,0.0,0.0,0.0,,0.0,-1235.73,-330.1160819931058,-48.85718013497966,2023-11-01,2024-10-31,10.0,FU1803.SHF
2018-01-10,3765.0,,,0.0,0.0,0.0,,0.0,-1232.1599999999999,-337.8289456367819,-48.647368171696584,2023-11-01,2024-10-31,10.0,FU1803.SHF
2018-01-11,3765.0,,,0.0,0.0,0.0,,0.0,-1227.1999999999998,-345.406032221384,-48.35684451099376,2023-11-01,2024-10-31,10.0,FU1803.SHF
2018-01-12,3765.0,,,0.0,0.0,0.0,,0.0,-1234.15,-358.5606556272074,-48.7642491653002,2023-11-01,2024-10-31,10.0,FU1803.SHF
2018-01-15,3765.0,,,0.0,0.0,0.0,,0.0,-1220.85,-363.53452573015096,-47.98655739637992,2023-11-01,2024-10-31,10.0,FU1803.SHF
2018-01-16,3765.0,,,0.0,0.0,0.0,,0.0,-1247.4099999999999,-387.0920453687852,-49.5477818072045,2023-11-01,2024-10-31,10.0,FU1803.SHF
2018-01-17,3765.0,,,0.0,0.0,0.0,,0.0,-1275.81,-413.33889026473054,-51.254022392826585,2023-11-01,2024-10-31,10.0,FU1803.SHF
