,CLOSE,HIGH,LOW,VOLUME,AMT,PCT_CHG,SWING,OI,ANAL_BASIS,BASISANNUALYIELD,ANAL_BASISPERCENT2,FTDATE,LASTTRADE_DATE,CONTRACTMULTIPLIER,TRADE_HISCODE
2018-01-02,3848.0,3857.0,3820.0,103114.0,3962339400.0,0.8385744234800763,0.9698558322411532,185912.0,652.0,36.588103254769926,14.48888888888889,2024-01-29,2025-01-28,10.0,JD1805.DCE
2018-01-03,3804.0,3861.0,3802.0,119490.0,4568292100.0,-0.9890681936491452,1.5332640332640333,197770.0,796.0,44.143744454303466,17.304347826086957,2024-01-29,2025-01-28,10.0,JD1805.DCE
2018-01-04,3797.0,3814.0,3767.0,115256.0,4369359300.0,-0.6800941668846483,1.2355415352260777,193662.0,903.0,49.51743803465672,19.21276595744681,2024-01-29,2025-01-28,10.0,JD1805.DCE
2018-01-05,3788.0,3807.0,3781.0,69968.0,2653793400.0000005,-0.07913479293062409,0.6847511193047142,197094.0,912.0,50.53191489361703,19.404255319148938,2024-01-29,2025-01-28,10.0,JD1805.DCE
2018-01-08,3717.0,3803.0,3714.0,200296.0,7493581500.0,-1.9778481012658222,2.349524815205913,222406.0,833.0,48.17813765182187,18.307692307692307,2024-01-29,2025-01-28,10.0,JD1805.DCE
2018-01-09,3720.0,3732.0,3715.0,72246.0,2691044699.9999995,-0.5613472333600655,0.45735808447672854,219010.0,780.0,46.09929078014185,17.333333333333336,2024-01-29,2025-01-28,10.0,JD1805.DCE
2018-01-10,3721.0,3737.0,3700.0,90462.0,3366886400.0,-0.08055853920515554,0.9946236559139785,222708.0,829.0,48.97790381661349,18.219780219780223,2024-01-29,2025-01-28,10.0,JD1805.DCE
2018-01-11,3722.0,3731.0,3710.0,61720.0,2296471800.0,0.026874496103190815,0.5643644181671593,217912.0,828.0,49.45054945054945,18.197802197802197,2024-01-29,2025-01-28,10.0,JD1805.DCE
2018-01-12,3722.0,3742.0,3676.0,155556.0,5769919300.000001,0.053763440860210565,1.7732401934443847,217126.0,828.0,49.99396208187417,18.197802197802197,2024-01-29,2025-01-28,10.0,JD1805.DCE
2018-01-15,3707.0,3731.0,3701.0,92788.0,3450077800.0000005,-0.053922890266921986,0.8060182697474476,218962.0,793.0,48.95061728395061,17.622222222222224,2024-01-29,2025-01-28,10.0,JD1805.DCE
2018-01-16,3672.0,3725.0,3670.0,109464.0,4050184600.0,-1.2372243141473893,1.483679525222552,223156.0,778.0,49.10996086352733,17.48314606741573,2024-01-29,2025-01-28,10.0,JD1805.DCE
2018-01-17,3672.0,3693.0,3663.0,92684.0,3407804099.9999995,-0.7567567567567601,0.8169934640522877,223996.0,778.0,49.66802860061287,17.48314606741573,2024-01-29,2025-01-28,10.0,JD1805.DCE
2018-01-18,3685.0,3699.0,3656.0,80734.0,2973569699.9999995,0.244831338411311,1.171023965141612,221628.0,715.0,46.695402298850574,16.25,2024-01-29,2025-01-28,10.0,JD1805.DCE
2018-01-19,3687.0,3710.0,3670.0,95092.0,3506740200.0,0.10860711376594612,1.0854816824966078,223026.0,613.0,41.44131963223364,14.255813953488373,2024-01-29,2025-01-28,10.0,JD1805.DCE
2018-01-22,3680.0,3715.0,3648.0,129928.0,4782468900.0,-0.18985625169514186,1.817195551939246,224792.0,670.0,45.300878972278575,15.402298850574713,2024-01-29,2025-01-28,10.0,JD1805.DCE
2018-01-23,3676.0,3696.0,3666.0,75182.0,2768106000.0,-0.10869565217391797,0.8152173913043478,222282.0,724.0,48.97186147186148,16.454545454545453,2024-01-29,2025-01-28,10.0,JD1805.DCE
2018-01-24,3708.0,3728.0,3676.0,135470.0,5016799200.0,0.7334963325183352,1.4145810663764962,226908.0,792.0,53.012048192771076,17.599999999999998,2024-01-29,2025-01-28,10.0,JD1805.DCE
2018-01-25,3681.0,3721.0,3671.0,121516.0,4493371500.0,-0.5941128814474728,1.348435814455232,229610.0,819.0,55.48780487804878,18.2,2024-01-29,2025-01-28,10.0,JD1805.DCE
2018-01-26,3676.0,3697.0,3663.0,92590.0,3407266599.9999995,-0.5680281309169644,0.9236620483564248,232190.0,824.0,56.51577503429355,18.31111111111111,2024-01-29,2025-01-28,10.0,JD1805.DCE
2018-01-29,3626.0,3685.0,3614.0,160302.0,5829649800.0,-1.440608861103565,1.9314472252448316,242740.0,874.0,60.69444444444445,19.42222222222222,2024-01-29,2025-01-28,10.0,JD1805.DCE
2018-01-30,3626.0,3640.0,3618.0,70974.0,2576550700.0,-0.2750275027502802,0.6067291781577496,232302.0,874.0,61.46272855133614,19.42222222222222,2024-01-29,2025-01-28,10.0,JD1805.DCE
2018-01-31,3623.0,3636.0,3590.0,116078.0,4192222000.0,-0.19283746556474357,1.26861555432984,236946.0,877.0,62.464387464387464,19.488888888888887,2024-01-29,2025-01-28,10.0,JD1805.DCE
2018-02-01,3615.0,3639.0,3604.0,71186.0,2577272700.0,0.11077263915812985,0.9660502346121999,232882.0,885.0,63.85281385281385,19.666666666666664,2024-01-29,2025-01-28,10.0,JD1805.DCE
2018-02-02,3614.0,3627.0,3580.0,96874.0,3494595000.0,-0.16574585635359407,1.3001383125864454,235382.0,886.0,64.76608187134502,19.68888888888889,2024-01-29,2025-01-28,10.0,JD1805.DCE
2018-02-05,3677.0,3708.0,3626.0,202134.0,7438545400.0,1.9406709176601034,2.2689540675152187,226272.0,1023.0,72.5531914893617,21.76595744680851,2024-01-29,2025-01-28,10.0,JD1805.DCE
2018-02-06,3682.0,3694.0,3660.0,90802.0,3338194600.0,0.05434782608695343,0.9246668479738919,220686.0,1018.0,73.17423806785509,21.659574468085108,2024-01-29,2025-01-28,10.0,JD1805.DCE
