,CLOSE,HIGH,LOW,VOLUME,AMT,PCT_CHG,SWING,OI,ANAL_BASIS,BASISANNUALYIELD,ANAL_BASISPERCENT2,FTDATE,LASTTRADE_DATE,CONTRACTMULTIPLIER,TRADE_HISCODE
2018-01-02,1338.0,1341.5,1308.0,314832.0,25045423100.0,1.787751996957021,2.551408987052551,249926.0,-188.0,-45.41062801932367,-16.34782608695652,2024-01-16,2025-01-15,60.0,JM1805.DCE
2018-01-03,1352.0,1372.0,1334.5,427594.0,34839371500.0,1.999245567710295,2.8026905829596416,287396.0,-202.0,-49.340498290180754,-17.565217391304348,2024-01-16,2025-01-15,60.0,JM1805.DCE
2018-01-04,1367.0,1377.0,1340.0,514264.0,41841150700.0,0.6998158379373898,2.7366863905325447,294114.0,-217.0,-53.60671936758893,-18.869565217391305,2024-01-16,2025-01-15,60.0,JM1805.DCE
2018-01-05,1360.5,1367.0,1324.5,396514.0,32133117200.000004,0.33185840707965486,3.108997805413314,266936.0,-210.5,-52.59870064967516,-18.304347826086957,2024-01-16,2025-01-15,60.0,JM1805.DCE
2018-01-08,1390.5,1392.0,1347.0,450368.0,36805273300.0,2.9618659755646037,3.307607497243661,317868.0,-240.5,-60.79373104145602,-20.91304347826087,2024-01-16,2025-01-15,60.0,JM1805.DCE
2018-01-09,1384.5,1393.5,1376.0,304638.0,25305728800.0,1.6519823788546217,1.2585400934915498,298790.0,-234.5,-59.974424552429674,-20.391304347826086,2024-01-16,2025-01-15,60.0,JM1805.DCE
2018-01-10,1357.0,1389.0,1352.0,398956.0,32733686800.0,-1.9508670520231197,2.6724449259660528,312864.0,-207.0,-53.57142857142857,-18.0,2024-01-16,2025-01-15,60.0,JM1805.DCE
2018-01-11,1377.0,1386.0,1353.0,403728.0,33053535800.0,0.7315288953913646,2.4318349299926307,325660.0,-227.0,-59.45521215295967,-19.73913043478261,2024-01-16,2025-01-15,60.0,JM1805.DCE
2018-01-12,1345.5,1377.0,1336.0,436964.0,35492820800.0,-1.3924514474166316,2.9774872912127814,322378.0,-195.5,-51.829268292682926,-17.0,2024-01-16,2025-01-15,60.0,JM1805.DCE
2018-01-15,1327.0,1349.0,1313.0,366202.0,29228296600.0,-1.9578869597340232,2.6755852842809364,313208.0,-177.0,-47.50402576489533,-15.391304347826088,2024-01-16,2025-01-15,60.0,JM1805.DCE
2018-01-16,1277.5,1333.0,1267.0,466586.0,36629547100.0,-3.9473684210526327,4.973624717407687,348808.0,-127.5,-34.64673913043478,-11.08695652173913,2024-01-16,2025-01-15,60.0,JM1805.DCE
2018-01-17,1284.0,1291.5,1257.0,459268.0,35119235800.0,-1.834862385321101,2.700587084148728,315632.0,-134.0,-36.87396807925152,-11.652173913043478,2024-01-16,2025-01-15,60.0,JM1805.DCE
2018-01-18,1276.0,1293.0,1267.0,337394.0,25903018600.0,0.15698587127157548,2.0249221183800623,302188.0,-126.0,-35.11705685618729,-10.956521739130434,2024-01-16,2025-01-15,60.0,JM1805.DCE
2018-01-19,1287.5,1293.0,1263.5,401706.0,30824248800.0,0.6252442360296984,2.311912225705329,301290.0,-137.5,-38.81987577639752,-11.956521739130435,2024-01-16,2025-01-15,60.0,JM1805.DCE
2018-01-22,1271.5,1312.0,1260.5,498312.0,38547294700.0,-0.5475166210402782,4.0,309868.0,-121.5,-34.754004576659035,-10.565217391304348,2024-01-16,2025-01-15,60.0,JM1805.DCE
2018-01-23,1284.5,1289.0,1253.0,430344.0,32864969600.0,-0.3491078355314148,2.8313016122689736,286978.0,-134.5,-38.98550724637681,-11.695652173913043,2024-01-16,2025-01-15,60.0,JM1805.DCE
2018-01-24,1289.0,1298.0,1271.0,359772.0,27743195000.0,1.29666011787819,2.1019852082522386,293012.0,-139.0,-40.83431257344301,-12.086956521739129,2024-01-16,2025-01-15,60.0,JM1805.DCE
2018-01-25,1319.0,1329.0,1286.0,388572.0,30495340299.999996,2.64591439688715,3.335919317300233,265064.0,-169.0,-50.32757593805837,-14.695652173913043,2024-01-16,2025-01-15,60.0,JM1805.DCE
2018-01-26,1301.0,1324.5,1298.5,308060.0,24231912500.0,-0.5351681957186494,1.9711902956785443,251596.0,-151.0,-45.591787439613526,-13.130434782608697,2024-01-16,2025-01-15,60.0,JM1805.DCE
2018-01-29,1286.5,1322.5,1281.5,369810.0,28725320900.0,-1.8313620755436855,3.1514219830899313,278568.0,-136.5,-41.794243723208815,-11.869565217391305,2024-01-16,2025-01-15,60.0,JM1805.DCE
2018-01-30,1295.0,1303.0,1282.5,293646.0,22785365000.0,0.03862495171880198,1.5934706568208317,257974.0,-145.0,-45.03105590062111,-12.608695652173912,2024-01-16,2025-01-15,60.0,JM1805.DCE
2018-01-31,1293.5,1315.0,1273.5,367480.0,28430682000.0,0.03866976024748947,3.2046332046332044,279062.0,-143.5,-45.211090107120356,-12.478260869565219,2024-01-16,2025-01-15,60.0,JM1805.DCE
2018-02-01,1289.0,1305.0,1284.5,301776.0,23430981200.0,0.0,1.5848473134905297,255884.0,-139.0,-44.43734015345269,-12.086956521739129,2024-01-16,2025-01-15,60.0,JM1805.DCE
2018-02-02,1331.5,1338.0,1290.0,410406.0,32351371100.0,2.8979907264296667,3.7238169123351437,294432.0,-181.5,-58.89033095392602,-15.782608695652172,2024-01-16,2025-01-15,60.0,JM1805.DCE
2018-02-05,1369.0,1380.0,1325.0,467332.0,37786850600.0,4.225352112676051,4.130679684566279,301686.0,-219.0,-72.13438735177866,-19.043478260869566,2024-01-16,2025-01-15,60.0,JM1805.DCE
2018-02-06,1359.0,1376.0,1350.0,316788.0,25884194900.000004,0.8534322820037188,1.8991964937910883,276926.0,-209.0,-69.89966555183945,-18.173913043478258,2024-01-16,2025-01-15,60.0,JM1805.DCE
2018-02-07,1368.0,1377.5,1350.5,244552.0,20030998500.0,0.4774146162320969,1.9867549668874174,262740.0,-218.0,-74.04891304347827,-18.956521739130437,2024-01-16,2025-01-15,60.0,JM1805.DCE
2018-02-08,1364.0,1373.0,1352.0,283356.0,23181269100.0,-0.073260073260073,1.5350877192982455,274690.0,-214.0,-73.8440303657695,-18.608695652173914,2024-01-16,2025-01-15,60.0,JM1805.DCE
2018-02-09,1356.0,1388.0,1342.5,357518.0,29209306600.0,-0.5135730007336803,3.3357771260997064,261698.0,-206.0,-72.23001402524545,-17.91304347826087,2024-01-16,2025-01-15,60.0,JM1805.DCE
2018-02-12,1364.0,1369.5,1343.0,240524.0,19581515200.0,0.1836210062431176,1.9542772861356934,248120.0,-214.0,-76.26514611546685,-18.608695652173914,2024-01-16,2025-01-15,60.0,JM1805.DCE
2018-02-13,1364.5,1367.5,1351.0,180478.0,14719321700.0,0.5897530409141094,1.2096774193548387,233858.0,-214.5,-77.71739130434783,-18.65217391304348,2024-01-16,2025-01-15,60.0,JM1805.DCE
2018-02-14,1373.5,1382.0,1359.0,162116.0,13344214600.0,1.0669610007358443,1.6855991205569805,217420.0,-223.5,-82.35077376565954,-19.434782608695652,2024-01-16,2025-01-15,60.0,JM1805.DCE
2018-02-22,1378.0,1408.5,1360.5,157768.0,13018224700.0,0.4739336492890933,3.4947215143793233,228838.0,-228.0,-85.45727136431783,-19.82608695652174,2024-01-16,2025-01-15,60.0,JM1805.DCE
2018-02-23,1398.0,1399.0,1367.0,236024.0,19555173700.0,1.6727272727272702,2.3222060957910013,269148.0,-248.0,-94.58428680396644,-21.565217391304348,2024-01-16,2025-01-15,60.0,JM1805.DCE
