,CLOSE,HIGH,LOW,VOLUME,AMT,PCT_CHG,SWING,OI,ANAL_BASIS,BASISANNUALYIELD,ANAL_BASISPERCENT2,FTDATE,LASTTRADE_DATE,CONTRACTMULTIPLIER,TRADE_HISCODE
2018-01-02,,,,0.0,0.0,0.0,,6.0,,,,2023-11-15,2024-11-14,20.0,JR807.CZC
2018-01-03,,,,0.0,0.0,0.0,,6.0,,,,2023-11-15,2024-11-14,20.0,JR807.CZC
2018-01-04,,,,0.0,0.0,0.0,,6.0,,,,2023-11-15,2024-11-14,20.0,JR807.CZC
2018-01-05,,,,0.0,0.0,0.0,,6.0,,,,2023-11-15,2024-11-14,20.0,JR807.CZC
2018-01-08,,,,0.0,0.0,0.0,,6.0,,,,2023-11-15,2024-11-14,20.0,JR807.CZC
2018-01-09,,,,0.0,0.0,0.0,,6.0,,,,2023-11-15,2024-11-14,20.0,JR807.CZC
2018-01-10,,,,0.0,0.0,0.0,,6.0,,,,2023-11-15,2024-11-14,20.0,JR807.CZC
2018-01-11,,,,0.0,0.0,0.0,,6.0,,,,2023-11-15,2024-11-14,20.0,JR807.CZC
2018-01-12,3204.0,3204.0,3204.0,2.0,128200.0,-4.014379868184537,0.0,6.0,-79.0,-5.138211382113822,-2.528,2023-11-15,2024-11-14,20.0,JR807.CZC
2018-01-15,3204.0,3204.0,3204.0,0.0,0.0,0.0,0.0,6.0,-79.0,-5.138211382113822,-2.528,2023-11-15,2024-11-14,20.0,JR807.CZC
2018-01-16,3204.0,3204.0,3204.0,0.0,0.0,0.0,0.0,6.0,-79.0,-5.138211382113822,-2.528,2023-11-15,2024-11-14,20.0,JR807.CZC
2018-01-17,3204.0,3204.0,3204.0,0.0,0.0,0.0,0.0,6.0,-79.0,-5.138211382113822,-2.528,2023-11-15,2024-11-14,20.0,JR807.CZC
2018-01-18,3204.0,3204.0,3204.0,0.0,0.0,0.0,0.0,6.0,-79.0,-5.138211382113822,-2.528,2023-11-15,2024-11-14,20.0,JR807.CZC
2018-01-19,3204.0,3204.0,3204.0,0.0,0.0,0.0,0.0,6.0,-79.0,-5.138211382113822,-2.528,2023-11-15,2024-11-14,20.0,JR807.CZC
2018-01-22,3204.0,3204.0,3204.0,0.0,0.0,0.0,0.0,6.0,-79.0,-5.138211382113822,-2.528,2023-11-15,2024-11-14,20.0,JR807.CZC
2018-01-23,3204.0,3204.0,3204.0,0.0,0.0,0.0,0.0,6.0,-79.0,-5.138211382113822,-2.528,2023-11-15,2024-11-14,20.0,JR807.CZC
2018-01-24,3204.0,3204.0,3204.0,0.0,0.0,-1.560549313358306,0.0,6.0,-79.0,-5.138211382113822,-2.528,2023-11-15,2024-11-14,20.0,JR807.CZC
2018-01-25,3204.0,3204.0,3204.0,0.0,0.0,0.0,0.0,6.0,-79.0,-5.138211382113822,-2.528,2023-11-15,2024-11-14,20.0,JR807.CZC
2018-01-26,3204.0,3204.0,3204.0,0.0,0.0,-2.631578947368418,0.0,6.0,-79.0,-5.138211382113822,-2.528,2023-11-15,2024-11-14,20.0,JR807.CZC
2018-01-29,3112.0,3194.0,3112.0,4.0,252200.0,1.3350700097688017,2.6701400195376097,4.0,18.0,1.2836604290278413,0.5750798722044729,2023-11-15,2024-11-14,20.0,JR807.CZC
2018-01-30,3112.0,3194.0,3112.0,0.0,0.0,0.06343165239455217,2.6701400195376097,4.0,18.0,1.2836604290278413,0.5750798722044729,2023-11-15,2024-11-14,20.0,JR807.CZC
2018-01-31,3112.0,3194.0,3112.0,0.0,0.0,0.0,2.6701400195376097,4.0,18.0,1.2836604290278413,0.5750798722044729,2023-11-15,2024-11-14,20.0,JR807.CZC
2018-02-01,3112.0,3194.0,3112.0,0.0,0.0,0.0,2.6701400195376097,4.0,18.0,1.2836604290278413,0.5750798722044729,2023-11-15,2024-11-14,20.0,JR807.CZC
2018-02-02,3112.0,3194.0,3112.0,0.0,0.0,0.0,2.6701400195376097,4.0,18.0,1.2836604290278413,0.5750798722044729,2023-11-15,2024-11-14,20.0,JR807.CZC
