,CLOSE,HIGH,LOW,VOLUME,AMT,PCT_CHG,SWING,OI,ANAL_BASIS,BASISANNUALYIELD,ANAL_BASISPERCENT2,FTDATE,LASTTRADE_DATE,CONTRACTMULTIPLIER,TRADE_HISCODE
2018-01-02,3440.0,3440.0,3440.0,2.0,137600.0,11.398963730569944,0.0,0.0,-780.0,-610.9022556390977,-29.32330827067669,2023-11-15,2024-11-14,20.0,LR801.CZC
2018-01-03,3440.0,3440.0,3440.0,0.0,0.0,0.0,0.0,0.0,-780.0,-610.9022556390977,-29.32330827067669,2023-11-15,2024-11-14,20.0,LR801.CZC
2018-01-04,3440.0,3440.0,3440.0,0.0,0.0,-10.232558139534886,0.0,2.0,-780.0,-610.9022556390977,-29.32330827067669,2023-11-15,2024-11-14,20.0,LR805.CZC
2018-01-05,3440.0,3440.0,3440.0,0.0,0.0,0.0,0.0,2.0,-780.0,-610.9022556390977,-29.32330827067669,2023-11-15,2024-11-14,20.0,LR805.CZC
2018-01-08,3440.0,3440.0,3440.0,0.0,0.0,0.0,0.0,2.0,-780.0,-610.9022556390977,-29.32330827067669,2023-11-15,2024-11-14,20.0,LR805.CZC
2018-01-09,3440.0,3440.0,3440.0,0.0,0.0,0.0,0.0,2.0,-780.0,-610.9022556390977,-29.32330827067669,2023-11-15,2024-11-14,20.0,LR805.CZC
2018-01-10,3440.0,3440.0,3440.0,0.0,0.0,0.0,0.0,2.0,-780.0,-610.9022556390977,-29.32330827067669,2023-11-15,2024-11-14,20.0,LR805.CZC
2018-01-11,3440.0,3440.0,3440.0,0.0,0.0,0.0,0.0,2.0,-780.0,-610.9022556390977,-29.32330827067669,2023-11-15,2024-11-14,20.0,LR805.CZC
2018-01-12,3440.0,3440.0,3440.0,0.0,0.0,0.0,0.0,2.0,-780.0,-610.9022556390977,-29.32330827067669,2023-11-15,2024-11-14,20.0,LR805.CZC
2018-01-15,3440.0,3440.0,3440.0,0.0,0.0,0.0,0.0,2.0,-780.0,-610.9022556390977,-29.32330827067669,2023-11-15,2024-11-14,20.0,LR805.CZC
2018-01-16,3440.0,3440.0,3440.0,0.0,0.0,0.0,0.0,2.0,-780.0,-610.9022556390977,-29.32330827067669,2023-11-15,2024-11-14,20.0,LR805.CZC
2018-01-17,3440.0,3440.0,3440.0,0.0,0.0,0.0,0.0,2.0,-780.0,-610.9022556390977,-29.32330827067669,2023-11-15,2024-11-14,20.0,LR805.CZC
