,CLOSE,HIGH,LOW,VOLUME,AMT,PCT_CHG,SWING,OI,ANAL_BASIS,BASISANNUALYIELD,ANAL_BASISPERCENT2,FTDATE,LASTTRADE_DATE,CONTRACTMULTIPLIER,TRADE_HISCODE
2018-01-02,9955.0,10095.0,9810.0,816092.0,40761492000.0,1.8935516888433979,2.9081632653061225,576250.0,-1105.0,-34.68298807281859,-12.48587570621469,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-01-03,9975.0,9995.0,9900.0,294862.0,14668857000.0,-0.10015022533800266,0.9542943244600702,547130.0,-1025.0,-32.16998305191137,-11.452513966480447,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-01-04,9990.0,10035.0,9885.0,398900.0,19892001600.0,0.4524886877828038,1.5037593984962405,539944.0,-990.0,-31.25,-11.0,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-01-05,9975.0,10015.0,9850.0,442418.0,21991241400.0,0.05015045135405849,1.6516516516516515,536522.0,-975.0,-31.13026819923372,-10.833333333333334,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-01-08,9960.0,10025.0,9930.0,256472.0,12789828000.0,0.2012072434607548,0.9523809523809524,527394.0,-910.0,-29.230373891815496,-10.05524861878453,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-01-09,9930.0,9995.0,9895.0,221002.0,10979155500.0,-0.4012036108325012,1.0040160642570282,530742.0,-930.0,-30.392156862745097,-10.333333333333334,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-01-10,10020.0,10110.0,9930.0,500548.0,25113932599.999996,0.8555611474584834,1.812688821752266,536404.0,-1070.0,-35.58127161479117,-11.955307262569832,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-01-11,10085.0,10110.0,10000.0,337508.0,16966017500.0,0.5483549351944061,1.097804391217565,564628.0,-1135.0,-38.19748266810258,-12.681564245810057,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-01-12,10150.0,10165.0,10035.0,419740.0,21208769400.0,0.995024875621886,1.2890431333663859,616584.0,-1150.0,-38.956639566395665,-12.777777777777777,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-01-15,10115.0,10180.0,10090.0,266106.0,13470041600.0,0.09896091044037103,0.8866995073891626,588744.0,-1115.0,-38.237311385459535,-12.38888888888889,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-01-16,9875.0,10145.0,9825.0,608812.0,30309490099.999996,-2.420948616600793,3.163618388531883,506848.0,-775.0,-26.614010989010993,-8.516483516483516,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-01-17,9820.0,9910.0,9810.0,215858.0,10639409600.0,-1.3561024610748373,1.0126582278481013,475982.0,-740.0,-25.79044220152791,-8.149779735682818,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-01-18,9825.0,9880.0,9800.0,189352.0,9319732700.0,-0.30441400304414,0.8146639511201629,466746.0,-795.0,-28.21790612488287,-8.803986710963455,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-01-19,9865.0,9895.0,9780.0,253472.0,12459842600.0,0.2540650406503975,1.1704834605597965,474582.0,-835.0,-30.022579856466898,-9.246954595791806,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-01-22,9890.0,9940.0,9860.0,203262.0,10059585400.0,0.6103763987792554,0.8109477952356817,477416.0,-860.0,-31.32832080200501,-9.523809523809524,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-01-23,9965.0,9970.0,9815.0,321858.0,15932297400.0,0.707427993936327,1.5672396359959553,501806.0,-965.0,-35.74074074074074,-10.722222222222221,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-01-24,9890.0,9990.0,9870.0,334890.0,16611086800.0,-0.10101010101010166,1.2042147516307076,482268.0,-840.0,-31.357324175003736,-9.281767955801106,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-01-25,9945.0,10050.0,9925.0,364720.0,18214018800.0,0.2520161290322509,1.2639029322548028,480178.0,-845.0,-31.800391389432487,-9.285714285714286,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-01-26,10010.0,10030.0,9890.0,271810.0,13546390000.0,0.25037556334501776,1.4077425842131726,490872.0,-910.0,-34.72222222222222,-10.0,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-01-29,9965.0,10065.0,9960.0,226256.0,11315316000.0,0.0,1.048951048951049,467360.0,-865.0,-33.47005107568488,-9.505494505494505,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-01-30,9840.0,9985.0,9815.0,323186.0,15998411600.0,-1.6000000000000014,1.7059708981435024,467142.0,-740.0,-29.04238618524333,-8.131868131868131,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-01-31,9795.0,9840.0,9750.0,255410.0,12507917200.0,-1.0606060606060619,0.9146341463414633,442584.0,-695.0,-27.67160375856028,-7.637362637362638,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-02-01,9720.0,9835.0,9700.0,243588.0,11873114000.0,-0.7150153217568955,1.3782542113323124,429582.0,-620.0,-25.048480930833872,-6.813186813186813,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-02-02,9660.0,9775.0,9655.0,200996.0,9766430800.0,-0.8722421754746024,1.2345679012345678,427718.0,-560.0,-22.962112514351322,-6.153846153846154,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-02-05,9715.0,9730.0,9615.0,249374.0,12066302200.0,0.0,1.1904761904761905,427032.0,-815.0,-34.68675519237317,-9.157303370786517,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-02-06,9610.0,9705.0,9575.0,281534.0,13566757600.0,-0.6718346253229979,1.3381369016984046,411502.0,-710.0,-30.682800345721695,-7.977528089887641,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-02-07,9585.0,9665.0,9570.0,196988.0,9468418000.0,-0.518941359626357,0.9885535900104058,420834.0,-685.0,-30.06495786516854,-7.6966292134831455,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-02-08,9555.0,9600.0,9470.0,336400.0,16045726600.0,-0.572320499479706,1.3562858633281167,408152.0,-715.0,-32.09617180205416,-8.088235294117647,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-02-09,9510.0,9595.0,9490.0,221408.0,10566861800.0,-0.2621919244887305,1.098901098901099,396434.0,-660.0,-30.071077091306726,-7.457627118644068,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-02-12,9440.0,9530.0,9425.0,225278.0,10680614600.0,-1.1000523834468257,1.1041009463722398,408924.0,-590.0,-27.322404371584703,-6.666666666666667,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-02-13,9420.0,9465.0,9400.0,127712.0,6022078600.0,-0.6329113924050667,0.6885593220338982,385148.0,-570.0,-26.83615819209039,-6.440677966101695,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-02-14,9535.0,9545.0,9435.0,185858.0,8837114200.0,1.1134676564156898,1.167728237791932,379152.0,-685.0,-32.79708895911137,-7.740112994350283,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-02-22,9520.0,9630.0,9515.0,181236.0,8674099400.0,0.15781167806416807,1.2060828526481384,382004.0,-670.0,-32.63198909020066,-7.5706214689265545,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-02-23,9590.0,9605.0,9550.0,173832.0,8325462100.0,0.2089864158829613,0.5777310924369748,394386.0,-930.0,-47.10100887322232,-10.739030023094688,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-02-26,9565.0,9665.0,9545.0,265180.0,12730602800.0,-0.1044386422976551,1.251303441084463,410284.0,-905.0,-46.653332233586276,-10.450346420323326,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-02-27,9485.0,9590.0,9425.0,343036.0,16293842800.0,-1.1979166666666652,1.7250392054364874,431542.0,-825.0,-43.302540415704385,-9.526558891454966,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-02-28,9485.0,9525.0,9465.0,187466.0,8901130700.0,-0.10531858873090716,0.632577754348972,424874.0,-825.0,-44.104439312291504,-9.526558891454966,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-03-01,9680.0,9705.0,9455.0,497622.0,23900472400.000004,1.9483938915218602,2.635740643120717,462932.0,-1030.0,-56.16752099465591,-11.907514450867051,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-03-02,9625.0,9670.0,9615.0,218166.0,10517359400.0,0.20822488287350893,0.5681818181818182,436008.0,-925.0,-51.116268788682575,-10.632183908045976,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-03-05,9540.0,9675.0,9540.0,289782.0,13908056200.000002,-1.0373443983402453,1.4025974025974026,428236.0,-890.0,-50.436359514904225,-10.289017341040463,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-03-06,9535.0,9580.0,9475.0,328454.0,15653866600.0,-0.6253256904637849,1.10062893081761,421374.0,-885.0,-51.15606936416185,-10.23121387283237,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-03-07,9470.0,9545.0,9400.0,388898.0,18411841400.0,-0.6295907660020972,1.5207131620346093,404336.0,-820.0,-48.36616727615902,-9.479768786127167,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-03-08,9305.0,9485.0,9285.0,353064.0,16563483600.000002,-1.6904384574749076,2.1119324181626187,437644.0,-655.0,-39.438824662813104,-7.572254335260116,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-03-09,9305.0,9360.0,9260.0,281654.0,13119875200.0,-0.7995735607675858,1.07469102632993,403534.0,-705.0,-43.6046511627907,-8.197674418604652,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-03-12,9160.0,9370.0,9135.0,463248.0,21377005000.0,-1.6639828234031095,2.525523911875336,420668.0,-610.0,-38.77447241291635,-7.1345029239766085,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-03-13,9195.0,9225.0,9145.0,186746.0,8584100000.0,-0.3252032520325243,0.8733624454148471,395472.0,-645.0,-41.91033138401559,-7.5438596491228065,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-03-14,9350.0,9365.0,9175.0,400000.0,18590169400.0,1.7410228509249226,2.066340402392605,380922.0,-850.0,-56.81818181818182,-10.0,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-03-15,9330.0,9365.0,9275.0,243382.0,11346942100.0,0.37654653039267405,0.9625668449197862,383460.0,-800.0,-54.5271136072412,-9.378663540445487,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-03-16,9260.0,9345.0,9225.0,276574.0,12820510900.0,-0.6437768240343367,1.2861736334405145,385894.0,-760.0,-53.221288515406165,-8.941176470588236,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-03-19,9345.0,9390.0,9225.0,365010.0,17047877300.0,0.8090614886731462,1.7818574514038878,403498.0,-815.0,-58.25922854773683,-9.55451348182884,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-03-20,9315.0,9365.0,9165.0,418688.0,19394048600.0,-0.2676659528907943,2.140181915462814,414786.0,-785.0,-57.51758499413834,-9.202813599062134,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-03-21,9275.0,9365.0,9240.0,243028.0,11310897400.0,0.16198704103671524,1.3419216317767042,390944.0,-705.0,-52.73314783233103,-8.22637106184364,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-03-22,9270.0,9410.0,9265.0,289602.0,13526245600.0,-0.37614185921547305,1.5633423180592994,391278.0,-740.0,-57.074103782316286,-8.675263774912075,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-03-23,9165.0,9230.0,9070.0,444560.0,20323583700.0,-1.873661670235549,1.7259978425026967,361350.0,-685.0,-54.579933707292206,-8.077830188679245,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-03-26,9060.0,9225.0,9045.0,288022.0,13126681000.0,-0.8752735229759279,1.9639934533551555,359318.0,-530.0,-43.148365246841216,-6.213364595545135,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-03-27,9175.0,9180.0,9065.0,253374.0,11572481200.000002,0.6582556226001124,1.2693156732891833,340802.0,-725.0,-61.284868977176664,-8.579881656804734,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-03-28,9140.0,9230.0,9110.0,239690.0,10988287200.0,0.10952902519167917,1.3079019073569482,335634.0,-640.0,-55.363321799307954,-7.529411764705881,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-03-29,9220.0,9220.0,9125.0,191618.0,8793032600.0,0.6001091107474155,1.0393873085339167,326158.0,-700.0,-62.24213970692845,-8.215962441314554,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-03-30,9225.0,9285.0,9185.0,272720.0,12596527000.0,0.5449591280654031,1.0845986984815619,302130.0,-675.0,-61.67763157894737,-7.894736842105263,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-04-02,9295.0,9320.0,9210.0,235576.0,10913706200.000002,0.6497022198159286,1.1924119241192412,256956.0,-695.0,-65.17254313578394,-8.081395348837209,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-04-03,9265.0,9285.0,9235.0,122610.0,5678716200.0,0.0,0.5379236148466917,239598.0,-665.0,-64.43798449612403,-7.732558139534884,2024-01-16,2025-01-15,5.0,L1805.DCE
2018-04-04,9145.0,9195.0,9110.0,136392.0,6237572900.0,-1.2419006479481687,0.9174311926605505,276536.0,-545.0,-13.657778668805133,-6.337209302325582,2024-01-16,2025-01-15,5.0,L1809.DCE
2018-04-09,9260.0,9285.0,9155.0,167682.0,7742370400.0,1.2575177692728312,1.4215418261344996,299382.0,-560.0,-13.993003498250875,-6.436781609195402,2024-01-16,2025-01-15,5.0,L1809.DCE
2018-04-10,9305.0,9330.0,9260.0,150668.0,6998431800.000001,0.8125677139761756,0.755939524838013,317280.0,-505.0,-12.584728867623603,-5.738636363636364,2024-01-16,2025-01-15,5.0,L1809.DCE
2018-04-11,9300.0,9380.0,9260.0,250058.0,11650806600.0,0.1615508885298933,1.2896292315959161,332602.0,-500.0,-12.57039420756235,-5.681818181818182,2024-01-16,2025-01-15,5.0,L1809.DCE
2018-04-12,9280.0,9345.0,9250.0,228564.0,10620490100.0,-0.37573805689747886,1.021505376344086,327812.0,-460.0,-11.641561386459346,-5.215419501133787,2024-01-16,2025-01-15,5.0,L1809.DCE
2018-04-13,9270.0,9340.0,9225.0,249536.0,11582578300.0,-0.21528525296017342,1.2392241379310345,351738.0,-470.0,-12.029074529074528,-5.340909090909091,2024-01-16,2025-01-15,5.0,L1809.DCE
2018-04-16,9160.0,9330.0,9135.0,435732.0,20123429700.0,-1.2931034482758674,2.103559870550162,388512.0,-380.0,-9.836405052805963,-4.328018223234624,2024-01-16,2025-01-15,5.0,L1809.DCE
2018-04-17,9175.0,9215.0,9140.0,232844.0,10683319200.0,-0.6497022198159175,0.8187772925764192,372370.0,-375.0,-9.773769808173476,-4.261363636363636,2024-01-16,2025-01-15,5.0,L1809.DCE
2018-04-18,9210.0,9270.0,9185.0,242358.0,11181998000.0,0.3814713896457711,0.9264305177111717,387042.0,-410.0,-10.784932659932661,-4.659090909090909,2024-01-16,2025-01-15,5.0,L1809.DCE
2018-04-19,9290.0,9350.0,9220.0,369444.0,17148136700.0,0.7046070460704712,1.4115092290988056,386362.0,-490.0,-13.00977060322855,-5.568181818181818,2024-01-16,2025-01-15,5.0,L1809.DCE
2018-04-20,9130.0,9335.0,9110.0,473508.0,21854285400.0,-1.6163793103448287,2.4219590958019377,446606.0,-350.0,-9.40172776894314,-3.986332574031891,2024-01-16,2025-01-15,5.0,L1809.DCE
2018-04-23,9195.0,9200.0,9135.0,231088.0,10597819200.0,-0.3791982665222071,0.7119386637458927,431068.0,-445.0,-12.108843537414966,-5.085714285714285,2024-01-16,2025-01-15,5.0,L1809.DCE
2018-04-24,9230.0,9250.0,9175.0,227670.0,10496971200.000002,0.6543075245365237,0.8156606851549755,429388.0,-480.0,-13.186813186813184,-5.485714285714286,2024-01-16,2025-01-15,5.0,L1809.DCE
2018-04-25,9275.0,9295.0,9160.0,339234.0,15664519100.0,0.5965292841648484,1.4626218851570965,430044.0,-575.0,-16.041736413346726,-6.609195402298851,2024-01-16,2025-01-15,5.0,L1809.DCE
2018-04-26,9260.0,9315.0,9250.0,214770.0,9967886800.0,0.2707092582566295,0.7008086253369272,423458.0,-560.0,-15.77642551273383,-6.436781609195402,2024-01-16,2025-01-15,5.0,L1809.DCE
2018-04-27,9275.0,9315.0,9250.0,195598.0,9079572800.0,-0.053879310344828735,0.7019438444924406,428050.0,-575.0,-16.359394560145667,-6.609195402298851,2024-01-16,2025-01-15,5.0,L1809.DCE
2018-05-02,9415.0,9425.0,9270.0,345510.0,16215196000.0,1.4547413793103425,1.6711590296495957,442980.0,-665.0,-18.999999999999996,-7.6,2024-01-16,2025-01-15,5.0,L1809.DCE
2018-05-03,9485.0,9495.0,9390.0,265798.0,12545584200.0,1.0655301012253648,1.1152416356877324,455178.0,-705.0,-20.276799889556155,-8.029612756264237,2024-01-16,2025-01-15,5.0,L1809.DCE
2018-05-04,9540.0,9545.0,9480.0,234492.0,11156927400.0,1.11287758346581,0.6852925672113864,463168.0,-670.0,-19.269263511492536,-7.5535512965050735,2024-01-16,2025-01-15,5.0,L1809.DCE
2018-05-07,9575.0,9590.0,9505.0,252068.0,12039044400.0,0.6305832895428187,0.890985324947589,472150.0,-755.0,-22.06208944058723,-8.560090702947845,2024-01-16,2025-01-15,5.0,L1809.DCE
2018-05-08,9550.0,9565.0,9490.0,196904.0,9385369800.0,0.0,0.7832898172323759,464020.0,-700.0,-20.597928436911488,-7.909604519774012,2024-01-16,2025-01-15,5.0,L1809.DCE
2018-05-09,9530.0,9635.0,9510.0,287380.0,13739627600.0,0.0,1.3089005235602094,464296.0,-630.0,-18.628030751034892,-7.078651685393258,2024-01-16,2025-01-15,5.0,L1809.DCE
2018-05-10,9515.0,9575.0,9470.0,238458.0,11354551600.0,-0.4707112970711247,1.1017838405036726,457790.0,-595.0,-17.740435072989218,-6.670403587443946,2024-01-16,2025-01-15,5.0,L1809.DCE
2018-05-11,9520.0,9540.0,9440.0,252024.0,11971870300.0,0.0,1.0509721492380453,448664.0,-620.0,-18.726591760299623,-6.96629213483146,2024-01-16,2025-01-15,5.0,L1809.DCE
2018-05-14,9440.0,9595.0,9410.0,348284.0,16550893400.0,-0.6315789473684164,1.9432773109243697,460306.0,-540.0,-16.487542745481193,-6.067415730337078,2024-01-16,2025-01-15,5.0,L1809.DCE
2018-05-15,9440.0,9470.0,9405.0,172384.0,8136932600.0,-0.6315789473684164,0.6885593220338982,451294.0,-560.0,-17.32501732501732,-6.306306306306306,2024-01-16,2025-01-15,5.0,L1809.DCE
2018-05-16,9455.0,9535.0,9420.0,319776.0,15144208700.000002,0.15889830508475367,1.2182203389830508,453222.0,-595.0,-18.65437672435415,-6.715575620767495,2024-01-16,2025-01-15,5.0,L1809.DCE
2018-05-17,9375.0,9490.0,9350.0,329540.0,15522032300.0,-1.003167898627244,1.4806980433633,454062.0,-575.0,-18.354187946884572,-6.534090909090909,2024-01-16,2025-01-15,5.0,L1809.DCE
