,CLOSE,HIGH,LOW,VOLUME,AMT,PCT_CHG,SWING,OI,ANAL_BASIS,BASISANNUALYIELD,ANAL_BASISPERCENT2,FTDATE,LASTTRADE_DATE,CONTRACTMULTIPLIER,TRADE_HISCODE
2018-01-02,2923.0,2940.0,2851.0,826562.0,23995858700.0,2.31011550577529,3.1195233087977567,619616.0,517.0,42.21648811079174,15.029069767441861,2024-01-16,2025-01-14,10.0,MA805.CZC
2018-01-03,2909.0,2929.0,2891.0,785480.0,22849938200.0,0.20668274199104886,1.3000342114266163,615706.0,541.0,44.54874835309618,15.681159420289855,2024-01-16,2025-01-14,10.0,MA805.CZC
2018-01-04,2933.0,2948.0,2902.0,1051802.0,30771301900.0,0.8250257820556994,1.581299415606738,648542.0,527.0,43.767855956414856,15.231213872832368,2024-01-16,2025-01-14,10.0,MA805.CZC
2018-01-05,2924.0,2947.0,2896.0,925516.0,27072987700.0,-0.06835269993165083,1.7388339584043642,619200.0,661.0,53.59865070870228,18.437935843793586,2024-01-16,2025-01-14,10.0,MA805.CZC
2018-01-08,2992.0,3000.0,2916.0,1183460.0,35097569300.0,2.2905982905983002,2.8727770177838576,750748.0,648.0,52.35940530058178,17.802197802197803,2024-01-16,2025-01-14,10.0,MA805.CZC
2018-01-09,2980.0,3040.0,2972.0,694298.0,20747093600.0,0.47201618341199403,2.272727272727273,714380.0,745.0,59.52380952380953,20.0,2024-01-16,2025-01-14,10.0,MA805.CZC
2018-01-10,2977.0,3004.0,2965.0,821528.0,24504198800.0,-0.3681392235609149,1.308724832214765,724790.0,753.0,60.806227591330476,20.187667560321714,2024-01-16,2025-01-14,10.0,MA805.CZC
2018-01-11,2975.0,2985.0,2955.0,720904.0,21405972799.999996,-0.2681863895407255,1.0077258985555928,718530.0,765.0,62.36141906873615,20.454545454545457,2024-01-16,2025-01-14,10.0,MA805.CZC
2018-01-12,2952.0,2983.0,2942.0,719580.0,21288548900.0,-0.5725833614011466,1.3781512605042017,663556.0,778.0,64.37626187402773,20.857908847184987,2024-01-16,2025-01-14,10.0,MA805.CZC
2018-01-15,2937.0,2964.0,2928.0,655152.0,19300625000.0,-0.7099391480730244,1.2195121951219512,662138.0,653.0,56.841922005571035,18.18941504178273,2024-01-16,2025-01-14,10.0,MA805.CZC
