,CLOSE,HIGH,LOW,VOLUME,AMT,PCT_CHG,SWING,OI,ANAL_BASIS,BASISANNUALYIELD,ANAL_BASISPERCENT2,FTDATE,LASTTRADE_DATE,CONTRACTMULTIPLIER,TRADE_HISCODE
2018-01-02,2765.0,2777.0,2762.0,391182.0,10831135000.0,-0.5395683453237377,0.5432814197754438,1964960.0,155.0,14.745053272450534,5.308219178082192,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-01-03,2773.0,2783.0,2766.0,600912.0,16674193700.000002,0.18063583815028927,0.6148282097649186,2020708.0,147.0,14.141142065568724,5.034246575342466,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-01-04,2770.0,2775.0,2761.0,494492.0,13684676600.0,-0.14419610670511895,0.5048683736025965,1995102.0,150.0,14.59371108343711,5.136986301369863,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-01-05,2775.0,2780.0,2750.0,789018.0,21831126900.0,0.2891217925551137,1.083032490974729,2007274.0,145.0,14.269406392694062,4.965753424657534,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-01-08,2767.0,2786.0,2766.0,532642.0,14775255500.0,0.03615328994939215,0.7207207207207207,1965854.0,153.0,15.231761707550174,5.239726027397261,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-01-09,2776.0,2789.0,2768.0,647806.0,18005096600.0,0.10818608005769281,0.7589447054571739,1982990.0,144.0,14.5044319097502,4.931506849315069,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-01-10,2768.0,2777.0,2764.0,446050.0,12356896600.0,-0.3958258366318801,0.46829971181556196,1985236.0,152.0,15.4924983692107,5.205479452054795,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-01-11,2754.0,2771.0,2745.0,673034.0,18543052500.0,-0.5776173285198527,0.9393063583815029,1999108.0,166.0,17.123287671232877,5.684931506849315,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-01-12,2729.0,2759.0,2725.0,710122.0,19439676500.0,-0.9437386569872919,1.2345679012345678,1973420.0,171.0,17.977291841883936,5.896551724137931,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-01-15,2757.0,2769.0,2720.0,743010.0,20402667200.0,0.7307270734380644,1.7955294979846097,1952462.0,143.0,15.219242230736482,4.931034482758621,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-01-16,2754.0,2765.0,2748.0,551472.0,15202580900.0,0.3278688524590123,0.6166122597025753,1933140.0,146.0,15.732758620689655,5.0344827586206895,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-01-17,2770.0,2770.0,2731.0,684094.0,18903367800.0,0.5079825834542806,1.4161220043572984,1961570.0,100.0,11.02633087813699,3.484320557491289,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-01-18,2767.0,2779.0,2758.0,582262.0,16126288300.0,0.1447701773434673,0.7581227436823105,1943568.0,103.0,11.502724917359066,3.588850174216028,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-01-19,2780.0,2783.0,2762.0,566124.0,15709333400.0,0.3972553268327905,0.7589447054571739,1953974.0,90.0,10.181456174487533,3.1358885017421603,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-01-22,2786.0,2792.0,2774.0,577842.0,16089334500.0,0.43258832011536796,0.6474820143884892,1881036.0,84.0,9.627727856225931,2.9268292682926833,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-01-23,2784.0,2796.0,2777.0,546660.0,15232442400.0,0.0,0.6819813352476669,1896440.0,86.0,9.988385598141697,2.996515679442509,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-01-24,2758.0,2789.0,2757.0,740850.0,20515671900.0,-1.005025125628145,1.1494252873563218,1893020.0,112.0,13.183915622940013,3.902439024390244,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-01-25,2781.0,2783.0,2758.0,610790.0,16933097100.0,0.43336944745395733,0.9064539521392313,1870492.0,99.0,11.772260273972602,3.4375000000000004,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-01-26,2771.0,2785.0,2753.0,555146.0,15384440100.0,-0.03607503607503393,1.1506652283351313,1862222.0,89.0,10.805167055167054,3.1118881118881117,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-01-29,2808.0,2812.0,2761.0,980678.0,27357122200.000004,1.3352580295922012,1.8404907975460123,1942662.0,52.0,6.402048655569782,1.8181818181818181,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-01-30,2804.0,2812.0,2792.0,685532.0,19198365900.0,0.5378271782000787,0.7122507122507122,1944584.0,56.0,6.993006993006993,1.9580419580419581,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-01-31,2815.0,2822.0,2799.0,618720.0,17397331900.0,0.5357142857142838,0.8202567760342369,1903506.0,45.0,5.700820918212223,1.5734265734265735,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-02-01,2799.0,2808.0,2792.0,569754.0,15948916800.0,-0.4268943436499417,0.5683836589698046,1926680.0,61.0,7.841423282599753,2.132867132867133,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-02-02,2767.0,2796.0,2762.0,688628.0,19125513600.0,-1.1432654519471286,1.2147195426938193,1906800.0,93.0,12.13338899906064,3.2517482517482517,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-02-05,2769.0,2778.0,2763.0,450010.0,12463305800.0,-0.28808066258552145,0.5421033610408384,1865758.0,61.0,8.164685726523183,2.15547703180212,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-02-06,2764.0,2776.0,2757.0,510660.0,14128239300.0,-0.18057060310581186,0.6861682918020947,1888812.0,46.0,6.296194908294553,1.6370106761565837,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-02-07,2805.0,2810.0,2771.0,743306.0,20764390500.0,1.4099783080260275,1.410998552821997,1875420.0,45.0,6.167763157894737,1.5789473684210527,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-02-08,2806.0,2808.0,2791.0,520152.0,14564504900.0,0.46544933762979745,0.6060606060606061,1875152.0,44.0,6.1264271790587586,1.5438596491228072,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-02-09,2801.0,2819.0,2794.0,570014.0,15992503799.999998,0.03571428571429447,0.8909479686386316,1807036.0,49.0,6.932654216185625,1.719298245614035,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-02-12,2841.0,2843.0,2793.0,749848.0,21165639500.0,1.2834224598930577,1.785076758300607,1868784.0,9.0,1.2942191544434858,0.3157894736842105,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-02-13,2843.0,2859.0,2833.0,614514.0,17487933900.0,0.7441530829199072,0.9151707145371348,1821062.0,7.0,1.0233918128654973,0.2456140350877193,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-02-14,2857.0,2865.0,2847.0,496508.0,14186146500.0,0.4217926186291798,0.6331340133661625,1776822.0,-7.0,-1.0407374368123699,-0.2456140350877193,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-02-22,2959.0,2962.0,2918.0,850812.0,25055972100.0,3.570178508925448,1.5400770038501925,1757134.0,41.0,5.89080459770115,1.3666666666666667,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-02-23,2957.0,2962.0,2945.0,705288.0,20830421400.0,0.44157608695651884,0.5745184183845894,1817934.0,43.0,6.28654970760234,1.4333333333333333,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-02-26,2972.0,2995.0,2959.0,1077356.0,32048327300.0,0.6434134778191769,1.217450118363206,1860840.0,78.0,11.416861826697893,2.5573770491803276,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-02-27,2972.0,2994.0,2967.0,723748.0,21550791400.0,-0.06724949562878502,0.9084791386271871,1863690.0,78.0,11.624441132637854,2.5573770491803276,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-02-28,3008.0,3015.0,2969.0,1024922.0,30710603200.0,1.0413167618407826,1.547779273216689,1982354.0,72.0,10.822510822510822,2.3376623376623376,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-03-01,3054.0,3057.0,3000.0,1373052.0,41578002900.0,1.9359145527369837,1.8949468085106385,2072020.0,26.0,3.981867189414359,0.8441558441558441,2024-01-16,2025-01-15,10.0,M1805.DCE
2018-03-02,3129.0,3159.0,3039.0,2708168.0,84197191800.0,3.335535006605017,3.9292730844793713,2079602.0,71.0,10.667067307692307,2.21875,2024-01-16,2025-01-15,10.0,M1805.DCE
