,CLOSE,HIGH,LOW,VOLUME,AMT,PCT_CHG,SWING,OI,ANAL_BASIS,BASISANNUALYIELD,ANAL_BASISPERCENT2,FTDATE,LASTTRADE_DATE,CONTRACTMULTIPLIER,TRADE_HISCODE
2018-01-02,99170.0,99470.0,98080.0,410050.0,40494727160.0,2.3637489677952095,1.4349127696913389,529614.0,-1460.0,-4.060373865876396,-1.4942175826425135,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-01-03,98620.0,99980.0,98260.0,620810.0,61558667200.0,-0.13164556962025342,1.7343954825047896,515014.0,-630.0,-1.7662712835689671,-0.642922747219104,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-01-04,99180.0,99200.0,97210.0,725542.0,71176790540.0,0.030257186081694698,2.0178462786453055,514988.0,-2360.0,-6.770869195987974,-2.4375129105556703,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-01-05,98580.0,99640.0,97870.0,682494.0,67445825340.0,0.48929663608563434,1.7846339987900786,499422.0,-570.0,-1.6336328900169554,-0.5815733088460362,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-01-08,98490.0,98710.0,97000.0,659222.0,64629118000.0,-0.3339404978749294,1.7346317711503345,477646.0,-1350.0,-3.94814419675445,-1.3897467572575664,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-01-09,99380.0,99750.0,98140.0,576140.0,57122233140.0,1.377129450168324,1.634683724235963,504024.0,-990.0,-2.8913787846395937,-1.0061998170545787,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-01-10,100420.0,100900.0,98910.0,806584.0,80933198880.0,1.2911034900141116,2.0024149728315557,532080.0,-950.0,-2.776342522345174,-0.9550618276867398,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-01-11,101430.0,102380.0,100710.0,599622.0,60772542620.0,1.086306557703809,1.66301533559052,535222.0,-1500.0,-4.414855104455471,-1.5010507355148603,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-01-12,99570.0,101500.0,98600.0,783130.0,78152349440.0,-1.7562900838677842,2.859114660356896,481772.0,-1110.0,-3.355242157801573,-1.1273613650213283,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-01-15,100210.0,100660.0,98500.0,733326.0,73003594820.0,0.4208838560977979,2.16932811087677,500056.0,-970.0,-2.944061615263958,-0.9774284562676341,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-01-16,97810.0,100480.0,97720.0,802706.0,79627272840.0,-1.7478653942742395,2.754216146093204,481932.0,900.0,2.7797613605758187,0.9117617262688684,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-01-17,96950.0,97970.0,96390.0,740004.0,71929644060.0,-2.2582921665490474,1.615376750843472,470912.0,-90.0,-0.2867827563264276,-0.09291761304976255,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-01-18,96780.0,97440.0,96500.0,584154.0,56680177180.0,-0.43209876543209846,0.9695719443011862,471862.0,-390.0,-1.264394646747588,-0.4046062869592281,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-01-19,96830.0,97800.0,95700.0,792194.0,76665834200.0,-0.19583591012162227,2.1698698078115313,450508.0,-1300.0,-4.306421072577108,-1.3608290589343661,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-01-22,98540.0,98860.0,97080.0,757364.0,74259351040.0,1.829079260101274,1.838273262418672,460512.0,-780.0,-2.5572831423895255,-0.7978723404255319,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-01-23,99720.0,99760.0,97110.0,852496.0,83959352460.0,1.7135862913096656,2.6892632433529533,475008.0,-2130.0,-7.086365832138965,-2.1826006762988013,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-01-24,98640.0,99810.0,98270.0,805358.0,79859094560.0,0.16246953696181787,1.5443241075010028,473946.0,-280.0,-0.9364097515036066,-0.2846685644570964,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-01-25,104740.0,105090.0,99560.0,1384708.0,142055830680.0,5.637922339889068,5.60624493106245,585362.0,-1980.0,-6.422732580770727,-1.9268197742312185,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-01-26,104360.0,104750.0,103280.0,888200.0,92454790600.0,1.7352310391889336,1.4034752721023487,599144.0,-2050.0,-6.7693047362678875,-2.0037142019352947,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-01-29,105920.0,107050.0,103620.0,1132986.0,119211827540.0,1.7580939571524734,3.286699885013415,617980.0,-660.0,-2.147324693713414,-0.6270188105643169,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-01-30,103780.0,106100.0,103310.0,965772.0,101308265940.0,-1.35918638912651,2.634063444108761,570366.0,730.0,2.4253394146227367,0.6984977514113482,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-01-31,102620.0,104460.0,101550.0,1136170.0,116654657080.0,-2.1641719897035006,2.804008479475814,520118.0,-1510.0,-5.258531706508461,-1.4934230046484027,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-02-01,102090.0,103150.0,101620.0,860566.0,88146967080.0,-0.5649167234829999,1.4909374390956929,502610.0,-620.0,-2.1822072674541384,-0.6110180348871588,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-02-02,104530.0,105780.0,102210.0,1090262.0,113669796520.0,2.0601445030267618,3.496914487217161,522146.0,-350.0,-1.217235498204056,-0.33595699750431945,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-02-05,102190.0,104490.0,100000.0,1587594.0,161987781320.0,-1.9760191846522779,4.29541758346886,491826.0,-1820.0,-6.66651038217419,-1.8132908239513796,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-02-06,101260.0,104240.0,100530.0,1515994.0,155207945480.0,-0.754679996079588,3.6304922203738133,483786.0,-620.0,-2.2987210212846736,-0.6160572337042926,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-02-07,102260.0,103260.0,100850.0,1224438.0,124893585500.0,-0.1172103926548207,2.3800118506814143,475210.0,-100.0,-0.3707790512802259,-0.09788566953797964,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-02-08,100470.0,102480.0,99220.0,1438336.0,144983649080.0,-1.5000000000000013,3.1879522785057692,448810.0,-340.0,-1.3059945148230379,-0.3395585738539898,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-02-09,98770.0,101180.0,98420.0,1215786.0,121735836560.0,-2.004167080067465,2.747088683189012,443252.0,240.0,0.9468740531259469,0.2423997576002424,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-02-12,99820.0,100300.0,97770.0,590974.0,58565541420.0,-0.29964043148221764,2.5615065303229727,454368.0,-810.0,-3.2464253250032464,-0.8180991819008181,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-02-13,100870.0,101230.0,99340.0,444774.0,44621443439.99999,1.7860746720484322,1.8934081346423561,438146.0,-610.0,-2.4532988423646906,-0.6084181129064433,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-02-14,103490.0,103500.0,100750.0,447314.0,45781518240.0,3.1598883572567793,2.7262813522355507,421808.0,-1470.0,-5.905303042476402,-1.4408939423642422,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-02-22,102840.0,104000.0,101900.0,216024.0,22231964800.0,0.4885675200312578,2.029181563436081,417206.0,-750.0,-3.061024586149476,-0.7346459006758742,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-02-23,104950.0,105370.0,102910.0,519170.0,54368042880.0,1.9823146438635808,2.3920653442240374,483238.0,-970.0,-3.952846212276807,-0.9328717060973265,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-02-26,105470.0,105580.0,103680.0,527612.0,55377069580.0,0.716195569136735,1.810385898046689,496642.0,-2060.0,-8.586510342159933,-1.9920703993811042,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-02-27,106000.0,106590.0,104300.0,536948.0,56601743580.0,1.0004764173416003,2.171233526121172,520620.0,-1660.0,-6.9778625209756235,-1.5909526547824422,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-02-28,105010.0,105860.0,103820.0,511922.0,53739609740.00001,-0.3794706384593449,1.9245283018867922,496072.0,-1020.0,-4.378855109694613,-0.9808635445715934,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-03-01,104780.0,105380.0,103490.0,519416.0,54274717420.0,-0.18100409640849913,1.7998285877535474,491184.0,-1445.0,-6.356202465942632,-1.398364542507379,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-03-02,102180.0,103870.0,101680.0,619302.0,63609798380.00001,-2.2107378696526014,2.0900935292994847,501914.0,-500.0,-2.276568464609377,-0.49173878835562546,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-03-05,101440.0,102890.0,101440.0,459628.0,46969581100.0,-1.2364910914224536,1.419064396163633,483776.0,130.0,0.603729001840909,0.1279905483902727,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-03-06,102410.0,102830.0,100650.0,515210.0,52454030080.0,0.21528525296017342,2.1490536277602525,505504.0,-620.0,-2.9283517347177823,-0.6090971608212987,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-03-07,102060.0,103530.0,102050.0,436148.0,44862663860.0,0.24555544641979843,1.4451713699834001,471720.0,250.0,1.197820541568206,0.244355390479914,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-03-08,100730.0,102800.0,100450.0,460718.0,46914584980.0,-2.07077581178301,2.302567117381932,482830.0,1140.0,5.595366643761657,1.1190733287523313,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-03-09,100420.0,101010.0,99770.0,522806.0,52478939760.0,-1.3749754468670217,1.231013600714782,450238.0,-600.0,-3.066744630130153,-0.6010819475055099,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-03-12,103640.0,105020.0,100870.0,620518.0,63891881020.0,3.2579456012752805,4.132642899820753,458634.0,20.0,0.10048877741333849,0.019293845263360986,2023-11-16,2024-11-15,1.0,NI1805.SHF
2018-03-13,103440.0,104490.0,103020.0,390078.0,40482781140.0,0.4662004662004726,1.4183712852180625,430464.0,40.0,0.2056107049157407,0.038654812524159254,2023-11-16,2024-11-15,1.0,NI1805.SHF
