,CLOSE,HIGH,LOW,VOLUME,AMT,PCT_CHG,SWING,OI,ANAL_BASIS,BASISANNUALYIELD,ANAL_BASISPERCENT2,FTDATE,LASTTRADE_DATE,CONTRACTMULTIPLIER,TRADE_HISCODE
2018-01-02,6538.0,6550.0,6442.0,106312.0,6938224100.0,1.9014962593516316,1.6827672172016206,278554.0,-38.0,-1.6421780466724285,-0.5846153846153846,2024-01-16,2025-01-14,10.0,OI805.CZC
2018-01-03,6560.0,6580.0,6532.0,85508.0,5608381600.0,0.520992951271837,0.7341694707861731,283108.0,-10.0,-0.4337265787647467,-0.15267175572519084,2024-01-16,2025-01-14,10.0,OI805.CZC
2018-01-04,6602.0,6604.0,6566.0,80380.0,5292739600.0,0.6402439024390194,0.5792682926829268,279006.0,-52.0,-2.2813020970430817,-0.7938931297709925,2024-01-16,2025-01-14,10.0,OI805.CZC
2018-01-05,6628.0,6652.0,6568.0,124678.0,8251677400.0,0.6377163680534537,1.2723417146319298,281020.0,-8.0,-0.3512962832853228,-0.12084592145015105,2024-01-16,2025-01-14,10.0,OI805.CZC
2018-01-08,6580.0,6626.0,6556.0,102944.0,6784892000.0,-0.5741915986702928,1.056125528062764,281968.0,40.0,1.777145903678692,0.6042296072507553,2024-01-16,2025-01-14,10.0,OI805.CZC
2018-01-09,6590.0,6610.0,6564.0,78502.0,5170844200.0,-0.030339805825241317,0.6990881458966566,279716.0,30.0,1.3487268018990075,0.4531722054380665,2024-01-16,2025-01-14,10.0,OI805.CZC
2018-01-10,6586.0,6614.0,6564.0,86498.0,5698304900.0,-0.030358227079541056,0.7587253414264037,278116.0,34.0,1.5469733920576567,0.513595166163142,2024-01-16,2025-01-14,10.0,OI805.CZC
2018-01-11,6570.0,6608.0,6552.0,66740.0,4387628100.0,-0.2732240437158473,0.850288490737929,281052.0,50.0,2.3027042959251345,0.7552870090634441,2024-01-16,2025-01-14,10.0,OI805.CZC
2018-01-12,6512.0,6590.0,6486.0,106380.0,6943046600.0,-0.9431092181320322,1.5829528158295283,285092.0,38.0,1.790594665912732,0.5801526717557252,2024-01-16,2025-01-14,10.0,OI805.CZC
2018-01-15,6492.0,6548.0,6472.0,103988.0,6769247800.0,-0.5514705882352922,1.167076167076167,292942.0,58.0,2.767175572519084,0.8854961832061069,2024-01-16,2025-01-14,10.0,OI805.CZC
2018-01-16,6432.0,6508.0,6420.0,119180.0,7700586800.000001,-1.1981566820276512,1.3555144793592113,293322.0,118.0,5.701033916320418,1.801526717557252,2024-01-16,2025-01-14,10.0,OI805.CZC
2018-01-17,6452.0,6464.0,6416.0,105146.0,6773845699.999999,-0.15475085112968134,0.7462686567164178,287276.0,48.0,2.366863905325444,0.7384615384615384,2024-01-16,2025-01-14,10.0,OI805.CZC
2018-01-18,6466.0,6476.0,6422.0,115440.0,7451235800.0,0.3725551071095845,0.8369497830130193,291550.0,34.0,1.6983016983016983,0.5230769230769231,2024-01-16,2025-01-14,10.0,OI805.CZC
2018-01-19,6386.0,6468.0,6380.0,169636.0,10884645900.0,-1.0842627013630701,1.3609650479430868,296958.0,44.0,2.25096177457641,0.6842923794712287,2024-01-16,2025-01-14,10.0,OI805.CZC
2018-01-22,6444.0,6456.0,6382.0,104910.0,6741108500.0,0.436408977556102,1.1587848418415283,296788.0,-14.0,-0.7257646448937274,-0.2177293934681182,2024-01-16,2025-01-14,10.0,OI805.CZC
2018-01-23,6460.0,6468.0,6428.0,86494.0,5578756500.0,0.5291005291005346,0.6207324643078833,297122.0,-30.0,-1.5762263040645625,-0.46656298600311047,2024-01-16,2025-01-14,10.0,OI805.CZC
