,CLOSE,HIGH,LOW,VOLUME,AMT,PCT_CHG,SWING,OI,ANAL_BASIS,BASISANNUALYIELD,ANAL_BASISPERCENT2,FTDATE,LASTTRADE_DATE,CONTRACTMULTIPLIER,TRADE_HISCODE
2018-01-02,19020.0,19220.0,18880.0,37084.0,3524594650.0000005,-0.7306889352818424,1.7736045905059992,40980.0,-70.0,-2.716126028247711,-0.36939313984168864,2023-11-16,2024-11-15,5.0,PB1802.SHF
2018-01-03,19310.0,19390.0,19095.0,59086.0,5687975300.0,1.6048408313601659,1.5509989484752893,42516.0,-30.0,-1.1788004526593738,-0.15560165975103735,2023-11-16,2024-11-15,5.0,PB1802.SHF
2018-01-04,19405.0,19495.0,19205.0,48210.0,4664712850.0,0.8051948051948088,1.5018125323666496,43036.0,-205.0,-8.341471354166668,-1.0677083333333333,2023-11-16,2024-11-15,5.0,PB1802.SHF
2018-01-05,19480.0,19565.0,19325.0,41500.0,4027288100.0,0.6718346253229868,1.2367946405565575,42652.0,-140.0,-5.837808986889949,-0.7238883143743536,2023-11-16,2024-11-15,5.0,PB1802.SHF
2018-01-08,19405.0,19590.0,19345.0,47440.0,4612491850.0,0.0,1.257700205338809,41510.0,-65.0,-2.8007583591864877,-0.3360910031023785,2023-11-16,2024-11-15,5.0,PB1802.SHF
2018-01-09,19620.0,19650.0,19320.0,40624.0,3964236350.0,0.8999742864489679,1.7005926307652668,40288.0,-130.0,-5.750075193290988,-0.6670087224217547,2023-11-16,2024-11-15,5.0,PB1802.SHF
2018-01-10,19415.0,19685.0,19350.0,38552.0,3759125600.0,-0.5124263387138117,1.7074413863404687,36732.0,-55.0,-2.5365259740259742,-0.2840909090909091,2023-11-16,2024-11-15,5.0,PB1802.SHF
2018-01-11,19390.0,19515.0,19325.0,25206.0,2445798350.0,-0.5641025641025643,0.9786247746587691,34752.0,-70.0,-3.354804079441761,-0.36231884057971014,2023-11-16,2024-11-15,5.0,PB1802.SHF
2018-01-12,19250.0,19490.0,19180.0,33314.0,3211866500.0,-0.7987632053594429,1.5987622485817432,31034.0,-50.0,-2.50400641025641,-0.26041666666666663,2023-11-16,2024-11-15,5.0,PB1802.SHF
2018-01-15,19185.0,19210.0,19005.0,35774.0,3419895450.0,-0.4927385892116165,1.064935064935065,29650.0,-105.0,-5.50314465408805,-0.550314465408805,2023-11-16,2024-11-15,5.0,PB1802.SHF
2018-01-16,18820.0,19205.0,18745.0,39234.0,3732018900.0,-1.5432906094690058,2.397706541568934,24766.0,260.0,14.194619147449336,1.3626834381551363,2023-11-16,2024-11-15,5.0,PB1802.SHF
2018-01-17,19195.0,19265.0,18815.0,45658.0,4361244300.0,0.9200841219768607,2.3910733262486716,32840.0,-75.0,-2.3348774656306035,-0.3922594142259414,2023-11-16,2024-11-15,5.0,PB1803.SHF
2018-01-18,19330.0,19340.0,19080.0,46984.0,4515436100.0,1.2041884816753834,1.3545194060953372,37432.0,-140.0,-4.448455115087889,-0.7295466388744137,2023-11-16,2024-11-15,5.0,PB1803.SHF
2018-01-19,19570.0,19595.0,19355.0,60022.0,5842815100.0,1.821019771071808,1.2415933781686497,42956.0,-170.0,-5.47680412371134,-0.8762886597938144,2023-11-16,2024-11-15,5.0,PB1803.SHF
2018-01-22,19480.0,19575.0,19305.0,53950.0,5242721900.0,0.07706139224248343,1.3796627491057742,40976.0,-220.0,-7.322203583885828,-1.142263759086189,2023-11-16,2024-11-15,5.0,PB1803.SHF
2018-01-23,19800.0,19815.0,19425.0,67798.0,6638607250.0,1.8780550553125774,2.002053388090349,49846.0,-320.0,-10.807305738679347,-1.642710472279261,2023-11-16,2024-11-15,5.0,PB1803.SHF
2018-01-24,19575.0,19780.0,19560.0,48702.0,4794823850.0,-0.025536261491321266,1.1111111111111112,47512.0,105.0,3.6049769281476602,0.5335365853658537,2023-11-16,2024-11-15,5.0,PB1803.SHF
2018-01-25,19650.0,19890.0,19545.0,70204.0,6906388550.0,-0.2031488065007636,1.7624521072796935,45326.0,-100.0,-3.5521454958795116,-0.5115089514066496,2023-11-16,2024-11-15,5.0,PB1803.SHF
2018-01-26,19470.0,19630.0,19395.0,53436.0,5210882900.0,-1.041931385006356,1.1959287531806615,43418.0,-60.0,-2.20799293442261,-0.3091190108191654,2023-11-16,2024-11-15,5.0,PB1803.SHF
