,CLOSE,HIGH,LOW,VOLUME,AMT,PCT_CHG,SWING,OI,ANAL_BASIS,BASISANNUALYIELD,ANAL_BASISPERCENT2,FTDATE,LASTTRADE_DATE,CONTRACTMULTIPLIER,TRADE_HISCODE
2018-01-02,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,50.0,PM805.CZC
2018-01-03,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,50.0,PM805.CZC
2018-01-04,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,50.0,PM805.CZC
2018-01-05,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,50.0,PM805.CZC
2018-01-08,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,50.0,PM805.CZC
2018-01-09,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,50.0,PM805.CZC
2018-01-10,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,50.0,PM805.CZC
2018-01-11,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,50.0,PM805.CZC
2018-01-12,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,50.0,PM805.CZC
2018-01-15,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,50.0,PM805.CZC
2018-01-16,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,50.0,PM805.CZC
2018-01-17,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,50.0,PM805.CZC
2018-01-18,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,50.0,PM805.CZC
2018-01-19,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,50.0,PM805.CZC
2018-01-22,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,50.0,PM805.CZC
2018-01-23,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,50.0,PM805.CZC
2018-01-24,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,50.0,PM805.CZC
2018-01-25,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,50.0,PM805.CZC
2018-01-26,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,50.0,PM805.CZC
2018-01-29,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,50.0,PM805.CZC
2018-01-30,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,50.0,PM805.CZC
2018-01-31,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,50.0,PM805.CZC
2018-02-01,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,50.0,PM805.CZC
2018-02-02,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,50.0,PM805.CZC
2018-02-05,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,50.0,PM805.CZC
2018-02-06,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,50.0,PM805.CZC
2018-02-07,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,50.0,PM805.CZC
2018-02-08,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,50.0,PM805.CZC
2018-02-09,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,50.0,PM805.CZC
2018-02-12,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,50.0,PM805.CZC
2018-02-13,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,50.0,PM805.CZC
2018-02-14,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,50.0,PM805.CZC
2018-02-22,2624.0,2624.0,2478.0,4.0,510200.00000000006,-1.501501501501501,5.48048048048048,2.0,-81.7800000000002,-14.109094040890117,-3.2168734413229463,2023-11-15,2024-11-14,50.0,PM805.CZC
2018-02-23,2642.0,2654.0,2578.0,6.0,787400.0,3.567228537828293,2.8963414634146343,2.0,-99.7800000000002,-17.52194651019304,-3.9249160182832408,2023-11-15,2024-11-14,50.0,PM805.CZC
