,CLOSE,HIGH,LOW,VOLUME,AMT,PCT_CHG,SWING,OI,ANAL_BASIS,BASISANNUALYIELD,ANAL_BASISPERCENT2,FTDATE,LASTTRADE_DATE,CONTRACTMULTIPLIER,TRADE_HISCODE
2018-01-02,9493.0,9560.0,9300.0,675036.0,32020897200.000004,2.273216979099324,2.8002154011847065,548540.0,-118.0,-3.496296296296296,-1.2586666666666666,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-01-03,9490.0,9515.0,9454.0,280648.0,13311304800.0,0.03162221987984548,0.6425787422311177,516452.0,-90.0,-2.689457327277074,-0.9574468085106382,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-01-04,9524.0,9565.0,9430.0,389460.0,18509064400.0,0.4005903436643532,1.422550052687039,516480.0,-124.0,-3.7475822050290133,-1.3191489361702127,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-01-05,9508.0,9554.0,9441.0,396494.0,18832421700.0,0.042087542087543284,1.1864762704745906,514038.0,-108.0,-3.301540719002201,-1.148936170212766,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-01-08,9529.0,9604.0,9465.0,378628.0,18082109800.0,0.31582271818086927,1.461926798485486,520284.0,-79.0,-2.430171034822198,-0.835978835978836,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-01-09,9499.0,9575.0,9455.0,305640.0,14516008000.0,-0.5444456077897564,1.259313674047644,507380.0,-74.0,-2.3092526135122484,-0.7851458885941645,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-01-10,9588.0,9645.0,9480.0,466632.0,22357565400.0,0.9475679090334754,1.7370249499947361,541026.0,-138.0,-4.34618291761149,-1.4603174603174605,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-01-11,9632.0,9640.0,9562.0,287540.0,13802653899.999998,0.5218117303277037,0.8135168961201502,549096.0,-132.0,-4.185161699429296,-1.3894736842105264,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-01-12,9679.0,9683.0,9592.0,355290.0,17122298799.999998,0.8229166666666732,0.944767441860465,586786.0,-179.0,-5.7445442875481385,-1.8842105263157896,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-01-15,9664.0,9695.0,9606.0,319842.0,15436343600.000002,0.2697655115169173,0.9195164789751008,562106.0,-114.0,-3.6843125848361447,-1.193717277486911,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-01-16,9416.0,9679.0,9381.0,601486.0,28609219000.0,-2.4450891007045117,3.083609271523179,531310.0,134.0,4.384816753926701,1.4031413612565447,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-01-17,9380.0,9448.0,9350.0,278838.0,13111634200.0,-1.38772077375946,1.040781648258284,477216.0,95.0,3.172906716542533,1.0026385224274408,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-01-18,9400.0,9468.0,9383.0,264886.0,12480282300.0,-0.042535091450446316,0.906183368869936,484226.0,75.0,2.5370407956159937,0.79155672823219,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-01-19,9468.0,9509.0,9315.0,381238.0,17948647300.0,0.47755491881567025,2.0638297872340425,492352.0,7.0,0.23986567522187577,0.07387862796833773,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-01-22,9456.0,9518.0,9443.0,250900.0,11890860200.0,0.4354753053637861,0.7921419518377694,484250.0,44.0,1.5235457063711912,0.46315789473684216,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-01-23,9537.0,9550.0,9385.0,427482.0,20262055400.0,0.6224941970879971,1.7449238578680204,528870.0,-87.0,-3.068783068783069,-0.9206349206349206,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-01-24,9497.0,9562.0,9480.0,319956.0,15221054400.0,0.1898934486760151,0.8598091643074343,507678.0,-47.0,-1.6802516802516803,-0.4973544973544974,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-01-25,9543.0,9626.0,9530.0,408194.0,19542557900.0,0.304813958377137,1.0108455301674213,533032.0,-18.0,-0.6471793765505339,-0.1889763779527559,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-01-26,9596.0,9646.0,9492.0,398884.0,19066017800.0,0.21932114882505793,1.6137482971811798,550156.0,-71.0,-2.588218139399242,-0.7454068241469817,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-01-29,9564.0,9668.0,9545.0,318274.0,15270078300.0,0.0523067266450461,1.2817840766986244,551616.0,-14.0,-0.5161861219674064,-0.14659685863874344,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-01-30,9489.0,9600.0,9470.0,449708.0,21434909700.000004,-1.1047420531526853,1.3592639063153493,536356.0,61.0,2.281226626776365,0.6387434554973822,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-01-31,9512.0,9520.0,9442.0,317800.0,15064906900.0,-0.20981955518254436,0.8220044261776794,533148.0,13.0,0.4945034044657461,0.13648293963254593,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-02-01,9408.0,9528.0,9402.0,348798.0,16478803100.0,-0.75949367088608,1.3246425567703952,529374.0,117.0,4.515979620194535,1.2283464566929132,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-02-02,9375.0,9460.0,9360.0,256816.0,12097624600.0,-0.7726502963590232,1.0629251700680271,513962.0,125.0,4.9096622152395915,1.3157894736842104,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-02-05,9500.0,9500.0,9336.0,337956.0,15926410800.0,0.8385521706825161,1.7493333333333334,535404.0,-50.0,-2.004168670835337,-0.5291005291005291,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-02-06,9416.0,9489.0,9390.0,350276.0,16527283500.0,-0.09549071618036864,1.0421052631578946,504170.0,59.0,2.394966511061498,0.6226912928759895,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-02-07,9306.0,9473.0,9288.0,450102.0,21074376100.0,-1.3777024162780815,1.9647408666100257,539000.0,119.0,4.932029177718833,1.2625994694960212,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-02-08,9239.0,9297.0,9187.0,392830.0,18139060900.0,-1.3348996155489123,1.1820330969267139,533450.0,111.0,4.710975299210593,1.1871657754010694,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-02-09,9238.0,9267.0,9205.0,237382.0,10955519400.0,0.03248511099078755,0.6710682974347874,520366.0,112.0,4.830084526479213,1.1978609625668448,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-02-12,9203.0,9257.0,9161.0,317312.0,14615251100.000002,-0.2925243770314223,1.0391859709893916,527150.0,122.0,5.361930294906165,1.3083109919571045,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-02-13,9204.0,9218.0,9150.0,180666.0,8295279399.999999,-0.075996091629571,0.738889492556775,492132.0,121.0,5.4066130473637175,1.2975871313672922,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-02-14,9326.0,9375.0,9207.0,308776.0,14374884700.0,1.5572253076336695,1.8252933507170794,465374.0,-1.0,-0.0454400872449675,-0.010723860589812333,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-02-22,9282.0,9395.0,9264.0,208774.0,9725070700.0,-0.3007518796992459,1.4046751018657515,464306.0,43.0,1.9876120920772862,0.4611260053619303,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-02-23,9304.0,9336.0,9280.0,241936.0,11263303400.0,-0.12881064834693312,0.603318250377074,483770.0,-4.0,-0.18864365214110546,-0.043010752688172046,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-02-26,9210.0,9395.0,9210.0,451562.0,20952757300.0,-1.074113856068748,1.9883920894239036,526832.0,40.0,1.9305019305019304,0.43243243243243246,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-02-27,9174.0,9238.0,9115.0,383254.0,17581325300.0,-1.1422413793103492,1.3355048859934855,516680.0,51.0,2.5129342202512936,0.5528455284552846,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-02-28,9149.0,9196.0,9142.0,241040.0,11049887000.0,-0.27250926531502406,0.5886200130804448,508156.0,51.0,2.566425120772947,0.5543478260869564,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-03-01,9272.0,9302.0,9097.0,505484.0,23295748600.0,1.1343804537521818,2.240682041753197,509836.0,-47.0,-2.403231579485606,-0.5094850948509485,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-03-02,9262.0,9284.0,9204.0,269974.0,12479623600.000002,0.48822827384180645,0.8628127696289906,465750.0,-37.0,-1.9282885136543673,-0.4010840108401084,2024-01-16,2025-01-15,5.0,PP1805.DCE
2018-03-05,9172.0,9294.0,9161.0,321566.0,14820015700.0,-0.7896160086533266,1.4359749514143814,484508.0,53.0,2.8163026728306497,0.5745257452574526,2024-01-16,2025-01-15,5.0,PP1805.DCE
