,CLOSE,HIGH,LOW,VOLUME,AMT,PCT_CHG,SWING,OI,ANAL_BASIS,BASISANNUALYIELD,ANAL_BASISPERCENT2,FTDATE,LASTTRADE_DATE,CONTRACTMULTIPLIER,TRADE_HISCODE
2018-01-02,5326.0,5334.0,5242.0,275198.0,14577159400.0,1.8355640535372864,1.7604286261002677,505862.0,-116.0,-6.18468756664534,-2.2264875239923225,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-01-03,5320.0,5338.0,5296.0,228352.0,12148143000.0,0.45317220543805714,0.7885843034171987,476372.0,-140.0,-7.591861524445795,-2.7027027027027026,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-01-04,5356.0,5384.0,5342.0,319442.0,17134434400.0,0.7145543437382385,0.7894736842105263,480464.0,-136.0,-7.401602229188435,-2.6053639846743293,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-01-05,5362.0,5392.0,5336.0,229936.0,12331222600.0,0.0,1.0455563853622107,472518.0,-122.0,-6.6903571115205756,-2.32824427480916,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-01-08,5308.0,5354.0,5294.0,221340.0,11783575600.0,-1.0070869078702027,1.1189854531891086,485334.0,-68.0,-3.7724125687910526,-1.297709923664122,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-01-09,5366.0,5368.0,5324.0,224360.0,11993838600.000002,0.8267568583239404,0.8289374529012812,493518.0,-126.0,-7.072294566681634,-2.404580152671756,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-01-10,5330.0,5372.0,5314.0,297556.0,15890865300.0,-0.2619760479041888,1.080879612374208,504534.0,-70.0,-3.9607097591888465,-1.3307984790874523,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-01-11,5328.0,5354.0,5320.0,190874.0,10186643200.0,-0.22471910112359383,0.6378986866791745,488608.0,-68.0,-3.893902606624216,-1.2927756653992395,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-01-12,5262.0,5318.0,5250.0,297810.0,15726745400.0,-1.3868065967016507,1.2762762762762763,511500.0,-2.0,-0.1159232124640638,-0.03802281368821293,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-01-15,5258.0,5298.0,5242.0,224522.0,11823588400.0,-0.4166666666666652,1.0642341315089319,504108.0,2.0,0.11735436323522508,0.03802281368821293,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-01-16,5228.0,5280.0,5192.0,324468.0,16994066200.000002,-0.7216103304215737,1.6736401673640167,532030.0,-8.0,-0.4789272030651341,-0.15325670498084293,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-01-17,5182.0,5240.0,5174.0,310328.0,16160033000.0,-1.031321619556913,1.2624330527926548,526110.0,-52.0,-3.207738051175759,-1.01364522417154,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-01-18,5216.0,5218.0,5170.0,293370.0,15228251900.0,0.19208605455243166,0.9262832883056734,525784.0,-136.0,-8.580658186957399,-2.677165354330709,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-01-19,5150.0,5200.0,5146.0,367196.0,19000675100.0,-0.770712909441229,1.0352760736196318,526352.0,-70.0,-4.473872584108805,-1.3779527559055118,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-01-22,5190.0,5212.0,5148.0,286270.0,14821516200.000002,0.30923850019326515,1.2427184466019419,525800.0,-110.0,-7.122876087857438,-2.1653543307086616,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-01-23,5202.0,5216.0,5170.0,250918.0,13036759200.0,0.502318392581147,0.8863198458574182,522036.0,-82.0,-5.338541666666666,-1.6015624999999998,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-01-24,5230.0,5244.0,5214.0,261988.0,13699516600.0,0.6931074316518959,0.5767012687427913,520062.0,-110.0,-7.258234797297297,-2.1484375,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-01-25,5226.0,5256.0,5214.0,322576.0,16882605000.0,-0.038255547054322214,0.8030592734225621,538628.0,-106.0,-7.090111301369863,-2.0703125,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-01-26,5228.0,5258.0,5202.0,329976.0,17257003300.0,-0.0764525993883769,1.0715652506697282,552074.0,-108.0,-7.324218750000002,-2.109375,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-01-29,5256.0,5264.0,5208.0,258684.0,13552461200.000002,0.535577658760511,1.0711553175210407,533394.0,-136.0,-9.352992957746478,-2.65625,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-01-30,5190.0,5260.0,5174.0,335858.0,17515226600.0,-0.9163802978235935,1.6362252663622525,561626.0,-70.0,-4.8828125,-1.3671875,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-01-31,5192.0,5208.0,5180.0,211850.0,11004056800.0,-0.42194092827003704,0.5394990366088632,544090.0,-92.0,-6.535947712418301,-1.803921568627451,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-02-01,5136.0,5192.0,5108.0,339602.0,17447007100.0,-1.116673084328068,1.6178736517719567,569176.0,-96.0,-7.002801120448181,-1.9047619047619049,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-02-02,5090.0,5154.0,5086.0,286782.0,14683009100.0,-0.8956386292834906,1.32398753894081,568826.0,-50.0,-3.7017294479981047,-0.992063492063492,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-02-05,5098.0,5098.0,5050.0,267976.0,13608398799.999998,-0.3907776475185587,0.9430255402750491,564048.0,-78.0,-5.885548714233972,-1.5537848605577689,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-02-06,5106.0,5138.0,5078.0,348014.0,17762761200.0,0.5513981882630858,1.1769321302471558,550354.0,-86.0,-6.589028501379099,-1.7131474103585658,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-02-07,5122.0,5142.0,5086.0,226956.0,11620008799.999998,0.3526645768024972,1.0967489228358793,535630.0,-72.0,-5.569306930693069,-1.425742574257426,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-02-08,5130.0,5146.0,5062.0,335890.0,17169673400.0,0.23446658851113966,1.6399843811011325,549492.0,-80.0,-6.286342920006286,-1.5841584158415842,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-02-09,5120.0,5158.0,5116.0,259530.0,13329754800.0,0.1956947162426559,0.8187134502923977,520740.0,-70.0,-5.589268604279782,-1.3861386138613863,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-02-12,5192.0,5198.0,5092.0,314710.0,16232826900.0,1.0903426791277315,2.0703125,501746.0,-142.0,-11.52410322999513,-2.811881188118812,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-02-13,5174.0,5198.0,5160.0,185366.0,9597249900.0,0.3101977510663101,0.7318952234206472,465320.0,-124.0,-10.231023102310232,-2.4554455445544554,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-02-14,5140.0,5184.0,5110.0,176746.0,9090881100.0,-0.695517774343124,1.4302280633938926,467014.0,-90.0,-7.551602617888907,-1.782178217821782,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-02-22,5150.0,5192.0,5132.0,166464.0,8588993500.0,0.1555814858031912,1.1673151750972763,458104.0,-50.0,-4.2258282623394186,-0.9803921568627451,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-02-23,5256.0,5260.0,5142.0,384666.0,20045385100.0,1.8999612252811104,2.29126213592233,477680.0,-76.0,-6.435006435006435,-1.4671814671814671,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-02-26,5288.0,5290.0,5226.0,286534.0,15087217200.0,1.497120921305184,1.21765601217656,460252.0,-58.0,-4.950833105708823,-1.1089866156787764,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-02-27,5296.0,5300.0,5262.0,264736.0,13984756800.0,0.6079027355623046,0.7186081694402421,443250.0,-96.0,-8.391608391608392,-1.8461538461538463,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-02-28,5330.0,5334.0,5264.0,267488.0,14156537600.0,0.9087466868610283,1.321752265861027,444268.0,-110.0,-9.755924506882362,-2.10727969348659,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-03-01,5340.0,5350.0,5290.0,260870.0,13886893100.0,0.9070294784580435,1.125703564727955,427256.0,-120.0,-10.843634786380395,-2.2988505747126435,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-03-02,5266.0,5332.0,5250.0,637102.0,33712133300.0,-1.0522360015031929,1.5355805243445693,392882.0,-16.0,-1.465201465201465,-0.3047619047619048,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-03-05,5254.0,5280.0,5210.0,335362.0,17583501400.0,-0.680529300567112,1.329282187618686,374684.0,-54.0,-5.090497737556561,-1.0384615384615385,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-03-06,5256.0,5286.0,5242.0,292166.0,15382348700.000002,0.26707363601679024,0.8374571754853445,375954.0,-56.0,-5.384615384615385,-1.0769230769230769,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-03-07,5212.0,5290.0,5206.0,256592.0,13463855900.0,-0.9878419452887588,1.5981735159817352,370370.0,-12.0,-1.1773940345368918,-0.23076923076923078,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-03-08,5134.0,5198.0,5130.0,369754.0,19079017100.0,-2.1349599695005717,1.3046815042210285,362204.0,-24.0,-2.4461839530332683,-0.46966731898238745,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-03-09,5064.0,5156.0,5052.0,361918.0,18477897400.0,-1.822411787514544,2.025710946630308,341608.0,46.0,4.788274971894908,0.9001956947162427,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-03-12,5074.0,5118.0,5064.0,283482.0,14424281399.999998,-0.5877742946708508,1.066350710900474,345194.0,-14.0,-1.5036947929197457,-0.2766798418972332,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-03-13,5112.0,5128.0,5026.0,379246.0,19282366500.0,0.4716981132075526,2.010248324793063,333014.0,-52.0,-5.709266578831796,-1.0276679841897234,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-03-14,5108.0,5144.0,5104.0,203000.0,10396646000.0,0.472069236821393,0.7824726134585289,319076.0,-48.0,-5.389867049946102,-0.9486166007905139,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-03-15,5110.0,5126.0,5074.0,189276.0,9659276600.0,-0.1953125,1.0180109631949883,321794.0,-70.0,-8.074935400516795,-1.3888888888888888,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-03-16,5100.0,5144.0,5098.0,231284.0,11848692600.0,-0.03920031360250542,0.9001956947162427,303642.0,0.0,0.0,0.0,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-03-19,5108.0,5116.0,5056.0,215062.0,10956295200.0,-0.2733307301835186,1.1764705882352942,302088.0,-38.0,-4.570164044835715,-0.7495069033530571,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-03-20,5130.0,5146.0,5054.0,344162.0,17529200400.0,0.7067137809187329,1.8010963194988252,299704.0,-90.0,-11.160714285714285,-1.7857142857142856,2024-01-16,2025-01-15,10.0,P1805.DCE
2018-03-21,5090.0,5144.0,5084.0,162990.0,8333028800.0,-0.039277297721918014,1.1695906432748537,351716.0,-50.0,-1.9683799445704209,-0.992063492063492,2024-01-16,2025-01-15,10.0,P1809.DCE
2018-03-22,5118.0,5140.0,5102.0,160858.0,8241319700.0,0.11737089201877549,0.7465618860510805,349856.0,-78.0,-3.0952380952380953,-1.5476190476190477,2024-01-16,2025-01-15,10.0,P1809.DCE
2018-03-23,5112.0,5138.0,5090.0,275752.0,14112988500.0,-0.1952362358453752,0.9378663540445485,343872.0,-72.0,-2.880184331797235,-1.4285714285714286,2024-01-16,2025-01-15,10.0,P1809.DCE
2018-03-26,5104.0,5116.0,4980.0,438070.0,22202454000.0,-0.27354435326298887,2.660406885758998,363452.0,-34.0,-1.363031381793108,-0.6706114398422091,2024-01-16,2025-01-15,10.0,P1809.DCE
2018-03-27,5076.0,5122.0,5062.0,268910.0,13689033600.000002,0.15785319652723562,1.1755485893416928,386748.0,-6.0,-0.24250654767678728,-0.1183431952662722,2024-01-16,2025-01-15,10.0,P1809.DCE
2018-03-28,5078.0,5094.0,5054.0,206032.0,10463600000.0,-0.23575638506876384,0.7880220646178092,393680.0,-8.0,-0.326014312028298,-0.15779092702169625,2024-01-16,2025-01-15,10.0,P1809.DCE
2018-03-29,5010.0,5068.0,4994.0,374822.0,18821789100.0,-1.3391098857818085,1.45726664040961,461678.0,-20.0,-0.8350033400133602,-0.4008016032064128,2024-01-16,2025-01-15,10.0,P1809.DCE
