,CLOSE,HIGH,LOW,VOLUME,AMT,PCT_CHG,SWING,OI,ANAL_BASIS,BASISANNUALYIELD,ANAL_BASISPERCENT2,FTDATE,LASTTRADE_DATE,CONTRACTMULTIPLIER,TRADE_HISCODE
2018-01-02,3874.0,3886.0,3794.0,2961436.0,113801751780.0,2.1085925144965767,2.4248813916710596,2413572.0,456.0,28.617331057335075,10.531177829099308,2024-01-16,2025-01-15,10.0,RB1805.SHF
2018-01-03,3809.0,3877.0,3803.0,3523844.0,135518108780.0,-0.8589276418532021,1.9101703665462055,2433636.0,481.0,30.802530802530804,11.212121212121213,2024-01-16,2025-01-15,10.0,RB1805.SHF
2018-01-04,3819.0,3842.0,3788.0,3747764.0,142863517220.0,-0.6762028608582549,1.4176949330532949,2581090.0,321.0,21.537842190016107,7.753623188405798,2024-01-16,2025-01-15,10.0,RB1805.SHF
2018-01-05,3798.0,3827.0,3760.0,3941160.0,149436057060.0,-0.34111781684597053,1.7543859649122806,2744436.0,202.0,14.185393258426968,5.050000000000001,2024-01-16,2025-01-15,10.0,RB1805.SHF
2018-01-08,3818.0,3820.0,3733.0,4329290.0,163328001540.0,0.7122131363756168,2.2906793048973144,2717212.0,102.0,7.392161410018552,2.6020408163265305,2024-01-16,2025-01-15,10.0,RB1805.SHF
2018-01-09,3819.0,3843.0,3810.0,3148548.0,120402198239.99998,1.2460233297985068,0.8643268727082243,2564464.0,101.0,7.4038235984048795,2.576530612244898,2024-01-16,2025-01-15,10.0,RB1805.SHF
2018-01-10,3849.0,3868.0,3792.0,4174000.0,160009407740.0,0.6537656903765621,1.9900497512437811,2676566.0,71.0,5.265187470336971,1.8112244897959182,2024-01-16,2025-01-15,10.0,RB1805.SHF
2018-01-11,3838.0,3876.0,3824.0,3631732.0,139853081620.0,0.1304461257500611,1.3510002598077422,2597150.0,52.0,3.9316497807349164,1.3367609254498714,2024-01-16,2025-01-15,10.0,RB1805.SHF
2018-01-12,3790.0,3849.0,3778.0,3298806.0,125616078900.0,-1.558441558441559,1.849921834288692,2733076.0,30.0,2.3373223635003737,0.7853403141361256,2024-01-16,2025-01-15,10.0,RB1805.SHF
2018-01-15,3802.0,3811.0,3749.0,3097214.0,117229536260.0,-0.13133701076963877,1.6358839050131926,2833502.0,-42.0,-3.3645219174570626,-1.1170212765957448,2024-01-16,2025-01-15,10.0,RB1805.SHF
2018-01-16,3790.0,3844.0,3788.0,3670054.0,139992380360.0,0.1585623678646897,1.4729089952656496,2637024.0,-10.0,-0.806555684604465,-0.26455026455026454,2024-01-16,2025-01-15,10.0,RB1805.SHF
2018-01-17,3827.0,3841.0,3783.0,4281478.0,163417727660.0,0.3408495018353497,1.5303430079155673,2736546.0,-37.0,-3.0131274634352905,-0.9762532981530342,2024-01-16,2025-01-15,10.0,RB1805.SHF
2018-01-18,3859.0,3868.0,3815.0,3516314.0,135141189620.0,1.126834381551367,1.3848967859942514,2926692.0,-29.0,-2.3661879895561353,-0.7571801566579635,2024-01-16,2025-01-15,10.0,RB1805.SHF
2018-01-19,3926.0,3927.0,3855.0,4341444.0,168582101660.0,2.1597710122300384,1.865768333765224,3154466.0,-56.0,-4.579203872698132,-1.4470284237726097,2024-01-16,2025-01-15,10.0,RB1805.SHF
2018-01-22,3927.0,3974.0,3916.0,3595842.0,141657405260.0,1.1331444759206777,1.477330616403464,3235974.0,13.0,1.0575296108291032,0.3299492385786802,2024-01-16,2025-01-15,10.0,RB1805.SHF
2018-01-23,3912.0,3933.0,3874.0,4132416.0,161383305240.0,-0.6854531607006886,1.502419149477973,3017524.0,-22.0,-1.8362100624311422,-0.5655526992287918,2024-01-16,2025-01-15,10.0,RB1805.SHF
2018-01-24,3937.0,3948.0,3896.0,2808360.0,110215743920.00002,0.8194622279129371,1.329243353783231,3132256.0,-47.0,-3.9744283588147744,-1.2082262210796915,2024-01-16,2025-01-15,10.0,RB1805.SHF
2018-01-25,3966.0,3998.0,3916.0,3860830.0,152819298360.0,1.0703363914372988,2.082804165608331,3207556.0,-66.0,-5.6410256410256405,-1.6923076923076923,2024-01-16,2025-01-15,10.0,RB1805.SHF
2018-01-26,3945.0,3976.0,3920.0,2985708.0,117881595460.0,-0.3284487114704415,1.4120020171457388,3094676.0,-45.0,-3.898128898128898,-1.153846153846154,2024-01-16,2025-01-15,10.0,RB1805.SHF
2018-01-29,3945.0,3968.0,3923.0,2502918.0,98741962200.0,-0.07598784194529085,1.1406844106463878,3065612.0,-45.0,-3.951527924130664,-1.153846153846154,2024-01-16,2025-01-15,10.0,RB1805.SHF
2018-01-30,3921.0,3944.0,3903.0,2680272.0,105164552559.99998,-0.6083650190114032,1.0392902408111533,2943354.0,-31.0,-2.767066552413596,-0.7969151670951157,2024-01-16,2025-01-15,10.0,RB1805.SHF
2018-01-31,3915.0,3988.0,3892.0,2741322.0,107418321400.0,-0.20392556716798405,2.448355011476664,2858688.0,-25.0,-2.2629349360947173,-0.6426735218508998,2024-01-16,2025-01-15,10.0,RB1805.SHF
2018-02-01,3931.0,3969.0,3919.0,3082336.0,121483955760.0,0.3318019397651861,1.277139208173691,2909296.0,-41.0,-3.764230627983842,-1.0539845758354756,2024-01-16,2025-01-15,10.0,RB1805.SHF
2018-02-02,3961.0,3973.0,3913.0,2699418.0,106619840600.0,0.5074854097944614,1.5263291783261257,2912456.0,-61.0,-5.667038275733928,-1.564102564102564,2024-01-16,2025-01-15,10.0,RB1805.SHF
2018-02-05,3967.0,3971.0,3922.0,2520722.0,99485257960.0,0.4558115978728683,1.237061348144408,2786752.0,-67.0,-6.315987933634992,-1.7179487179487178,2024-01-16,2025-01-15,10.0,RB1805.SHF
2018-02-06,3943.0,3998.0,3931.0,3078200.0,121906195480.0,-0.07602635580334915,1.688933703050164,2719124.0,-43.0,-4.114045158821278,-1.1025641025641024,2024-01-16,2025-01-15,10.0,RB1805.SHF
