,CLOSE,HIGH,LOW,VOLUME,AMT,PCT_CHG,SWING,OI,ANAL_BASIS,BASISANNUALYIELD,ANAL_BASISPERCENT2,FTDATE,LASTTRADE_DATE,CONTRACTMULTIPLIER,TRADE_HISCODE
2018-01-02,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,20.0,RI807.CZC
2018-01-03,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,20.0,RI807.CZC
2018-01-04,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,20.0,RI807.CZC
2018-01-05,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,20.0,RI807.CZC
2018-01-08,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,20.0,RI807.CZC
2018-01-09,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,20.0,RI807.CZC
2018-01-10,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,20.0,RI807.CZC
2018-01-11,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,20.0,RI807.CZC
2018-01-12,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,20.0,RI807.CZC
2018-01-15,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,20.0,RI807.CZC
2018-01-16,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,20.0,RI807.CZC
2018-01-17,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,20.0,RI807.CZC
2018-01-18,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,20.0,RI807.CZC
2018-01-19,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,20.0,RI807.CZC
2018-01-22,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,20.0,RI807.CZC
2018-01-23,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,20.0,RI807.CZC
2018-01-24,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,20.0,RI807.CZC
2018-01-25,2806.0,2867.0,2658.0,28.0,1563400.0,1.3362224629830166,7.54785120982304,2.0,-286.0,-24.888610414926205,-11.34920634920635,2023-11-15,2024-11-14,20.0,RI807.CZC
2018-01-26,2806.0,2867.0,2658.0,0.0,0.0,0.0,7.54785120982304,2.0,-286.0,-24.888610414926205,-11.34920634920635,2023-11-15,2024-11-14,20.0,RI807.CZC
2018-01-29,2806.0,2867.0,2658.0,0.0,0.0,0.0,7.54785120982304,2.0,-286.0,-24.888610414926205,-11.34920634920635,2023-11-15,2024-11-14,20.0,RI807.CZC
2018-01-30,2806.0,2867.0,2658.0,0.0,0.0,0.0,7.54785120982304,2.0,-286.0,-24.888610414926205,-11.34920634920635,2023-11-15,2024-11-14,20.0,RI807.CZC
