,CLOSE,HIGH,LOW,VOLUME,AMT,PCT_CHG,SWING,OI,ANAL_BASIS,BASISANNUALYIELD,ANAL_BASISPERCENT2,FTDATE,LASTTRADE_DATE,CONTRACTMULTIPLIER,TRADE_HISCODE
2018-01-02,2288.0,2306.0,2279.0,276174.0,6327132300.0,-0.952380952380949,1.1790393013100438,606340.0,42.0,5.063413222741959,1.8025751072961373,2024-01-16,2025-01-14,10.0,RM805.CZC
2018-01-03,2294.0,2303.0,2288.0,331632.0,7610930100.0,0.13094718463553257,0.6555944055944056,608344.0,36.0,4.389387436597737,1.5450643776824033,2024-01-16,2025-01-14,10.0,RM805.CZC
2018-01-04,2283.0,2298.0,2276.0,410686.0,9395087800.0,-0.5228758169934622,0.959023539668701,625648.0,47.0,5.796457994178876,2.017167381974249,2024-01-16,2025-01-14,10.0,RM805.CZC
2018-01-05,2293.0,2302.0,2271.0,494790.0,11315218600.000002,0.21853146853145766,1.3578624616732369,614906.0,37.0,4.616229164587285,1.5879828326180259,2024-01-16,2025-01-14,10.0,RM805.CZC
2018-01-08,2280.0,2301.0,2280.0,354590.0,8116515300.0,-0.3060778312199419,0.9158307893589185,612182.0,50.0,6.311537490532694,2.1459227467811157,2024-01-16,2025-01-14,10.0,RM805.CZC
2018-01-09,2296.0,2311.0,2284.0,495240.0,11390733700.000002,0.3058103975535076,1.1842105263157896,609004.0,34.0,4.342938892295116,1.4592274678111588,2024-01-16,2025-01-14,10.0,RM805.CZC
2018-01-10,2287.0,2303.0,2283.0,383704.0,8795084400.0,-0.5652173913043512,0.8710801393728222,627854.0,43.0,5.558715548890842,1.8454935622317596,2024-01-16,2025-01-14,10.0,RM805.CZC
2018-01-11,2270.0,2293.0,2263.0,454168.0,10331189800.0,-0.9598603839441555,1.3117621337997376,653666.0,50.0,6.570647603027754,2.1551724137931036,2024-01-16,2025-01-14,10.0,RM805.CZC
2018-01-12,2246.0,2274.0,2243.0,402038.0,9071980300.0,-1.2747252747252746,1.3656387665198237,674188.0,54.0,7.246376811594203,2.3478260869565215,2024-01-16,2025-01-14,10.0,RM805.CZC
2018-01-15,2270.0,2279.0,2241.0,380952.0,8619577100.0,0.620567375886516,1.6918967052537845,646858.0,30.0,4.076086956521738,1.3043478260869565,2024-01-16,2025-01-14,10.0,RM805.CZC
2018-01-16,2269.0,2275.0,2262.0,286852.0,6508467500.0,0.2651347768448886,0.5726872246696035,649808.0,51.0,6.956569183762549,2.1982758620689653,2024-01-16,2025-01-14,10.0,RM805.CZC
