,CLOSE,HIGH,LOW,VOLUME,AMT,PCT_CHG,SWING,OI,ANAL_BASIS,BASISANNUALYIELD,ANAL_BASISPERCENT2,FTDATE,LASTTRADE_DATE,CONTRACTMULTIPLIER,TRADE_HISCODE
2018-01-02,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,10.0,RS807.CZC
2018-01-03,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,10.0,RS807.CZC
2018-01-04,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,10.0,RS807.CZC
2018-01-05,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,10.0,RS807.CZC
2018-01-08,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,10.0,RS807.CZC
2018-01-09,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,10.0,RS807.CZC
2018-01-10,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,10.0,RS807.CZC
2018-01-11,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,10.0,RS807.CZC
2018-01-12,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,10.0,RS807.CZC
2018-01-15,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,10.0,RS807.CZC
2018-01-16,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,10.0,RS807.CZC
2018-01-17,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,10.0,RS807.CZC
2018-01-18,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,10.0,RS807.CZC
2018-01-19,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,10.0,RS807.CZC
2018-01-22,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,10.0,RS807.CZC
2018-01-23,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,10.0,RS807.CZC
2018-01-24,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,10.0,RS807.CZC
2018-01-25,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,10.0,RS807.CZC
2018-01-26,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,10.0,RS807.CZC
2018-01-29,,,,0.0,0.0,0.0,,2.0,,,,2023-11-15,2024-11-14,10.0,RS807.CZC
2018-01-30,5318.0,5318.0,5318.0,4.0,212700.0,5.746669317955866,0.0,16.0,-618.0,-21.07201309328969,-13.148936170212766,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-01-31,5318.0,5318.0,5318.0,0.0,0.0,0.0,0.0,16.0,-618.0,-21.07201309328969,-13.148936170212766,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-02-01,5318.0,5318.0,5318.0,0.0,0.0,0.0,0.0,16.0,-618.0,-21.07201309328969,-13.148936170212766,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-02-02,5318.0,5318.0,5318.0,0.0,0.0,0.0,0.0,16.0,-618.0,-21.07201309328969,-13.148936170212766,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-02-05,5257.0,5257.0,5253.0,14.0,735600.0,-1.1470477623166553,0.07521624670928921,6.0,-557.0,-19.491881298992162,-11.851063829787234,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-02-06,5374.0,5374.0,5229.0,4.0,212100.0,2.283974114960041,2.7582271257371125,6.0,-674.0,-23.74242637734254,-14.340425531914894,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-02-07,5374.0,5374.0,5229.0,0.0,0.0,0.0,2.7582271257371125,6.0,-674.0,-23.74242637734254,-14.340425531914894,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-02-08,5374.0,5374.0,5229.0,0.0,0.0,0.0,2.7582271257371125,6.0,-674.0,-23.74242637734254,-14.340425531914894,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-02-09,5374.0,5374.0,5229.0,0.0,0.0,0.0,2.7582271257371125,6.0,-674.0,-23.74242637734254,-14.340425531914894,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-02-12,5309.0,5347.0,5202.0,20.0,1057800.0,0.13202565069785344,2.7348170501697475,8.0,-609.0,-22.03647416413374,-12.957446808510639,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-02-13,5309.0,5347.0,5202.0,0.0,0.0,0.0,2.7348170501697475,8.0,-609.0,-22.03647416413374,-12.957446808510639,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-02-14,5309.0,5347.0,5202.0,0.0,0.0,0.0,2.7348170501697475,8.0,-609.0,-22.03647416413374,-12.957446808510639,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-02-22,5309.0,5347.0,5202.0,0.0,0.0,0.0,2.7348170501697475,8.0,-609.0,-22.03647416413374,-12.957446808510639,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-02-23,5309.0,5347.0,5202.0,0.0,0.0,0.0,2.7348170501697475,8.0,-609.0,-22.03647416413374,-12.957446808510639,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-02-26,5309.0,5347.0,5202.0,0.0,0.0,0.0,2.7348170501697475,8.0,-609.0,-22.03647416413374,-12.957446808510639,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-02-27,5309.0,5347.0,5202.0,0.0,0.0,0.0,2.7348170501697475,8.0,-609.0,-22.03647416413374,-12.957446808510639,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-02-28,5309.0,5347.0,5202.0,0.0,0.0,0.0,2.7348170501697475,8.0,-609.0,-22.03647416413374,-12.957446808510639,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-03-01,5309.0,5347.0,5202.0,0.0,0.0,0.0,2.7348170501697475,8.0,-609.0,-22.03647416413374,-12.957446808510639,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-03-02,5309.0,5347.0,5202.0,0.0,0.0,0.0,2.7348170501697475,8.0,-609.0,-22.03647416413374,-12.957446808510639,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-03-05,5309.0,5347.0,5202.0,0.0,0.0,0.0,2.7348170501697475,8.0,-609.0,-22.03647416413374,-12.957446808510639,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-03-06,5309.0,5347.0,5202.0,0.0,0.0,0.0,2.7348170501697475,8.0,-609.0,-22.03647416413374,-12.957446808510639,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-03-07,5309.0,5347.0,5202.0,0.0,0.0,0.0,2.7348170501697475,8.0,-609.0,-22.03647416413374,-12.957446808510639,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-03-08,5309.0,5347.0,5202.0,0.0,0.0,0.0,2.7348170501697475,8.0,-609.0,-22.03647416413374,-12.957446808510639,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-03-09,5217.0,5464.0,5217.0,10.0,538400.0,-1.3613159387407814,4.670069956513519,4.0,-517.0,-20.67669172932331,-11.0,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-03-12,5217.0,5464.0,5217.0,0.0,0.0,0.0,4.670069956513519,4.0,-517.0,-20.67669172932331,-11.0,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-03-13,5288.0,5434.0,5171.0,8.0,421500.0,-1.7830609212481474,4.884843982169391,4.0,-588.0,-23.875263927237288,-12.51063829787234,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-03-14,5284.0,5285.0,5193.0,14.0,738000.0,0.2846840007591611,1.739788199697428,10.0,-584.0,-23.895253682487727,-12.425531914893618,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-03-15,5284.0,5285.0,5193.0,0.0,0.0,0.0,1.739788199697428,10.0,-584.0,-23.895253682487727,-12.425531914893618,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-03-16,5284.0,5285.0,5193.0,0.0,0.0,0.0,1.739788199697428,10.0,-584.0,-23.895253682487727,-12.425531914893618,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-03-19,5284.0,5285.0,5193.0,0.0,0.0,0.0,1.739788199697428,10.0,-584.0,-23.895253682487727,-12.425531914893618,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-03-20,5284.0,5285.0,5193.0,0.0,0.0,0.0,1.739788199697428,10.0,-584.0,-23.895253682487727,-12.425531914893618,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-03-21,5279.0,5406.0,5279.0,6.0,319400.0,0.13277693474962327,2.4089529590288317,8.0,-579.0,-24.638297872340427,-12.319148936170214,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-03-22,5090.0,5560.0,4888.0,46.0,2438800.0,-4.377230884839378,12.729683652206859,18.0,-390.0,-16.729581331503088,-8.297872340425531,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-03-23,5090.0,5560.0,4888.0,0.0,0.0,-0.9996227838551475,12.729683652206859,18.0,-390.0,-16.729581331503088,-8.297872340425531,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-03-26,5090.0,5560.0,4888.0,0.0,0.0,0.0,12.729683652206859,18.0,-390.0,-16.729581331503088,-8.297872340425531,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-03-27,5090.0,5560.0,4888.0,0.0,0.0,0.0,12.729683652206859,18.0,-390.0,-16.729581331503088,-8.297872340425531,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-03-28,5171.0,5219.0,5147.0,6.0,310700.0,-1.4859973328252951,1.3716898456848923,18.0,-471.0,-20.877659574468087,-10.02127659574468,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-03-29,5201.0,5349.0,5185.0,14.0,732000.0,0.42479243097122144,3.1715335525043513,14.0,-501.0,-22.394064008582156,-10.659574468085106,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-03-30,5239.0,5239.0,5208.0,20.0,1042800.0,0.19124115509656647,0.5960392232263027,10.0,-539.0,-24.296790479624956,-11.46808510638298,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-04-02,5289.0,5292.0,5135.0,14.0,734599.9999999999,1.43843498273879,2.9967551059362476,2.0,-589.0,-26.7775959265321,-12.53191489361702,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-04-03,5289.0,5292.0,5135.0,0.0,0.0,0.0,2.9967551059362476,2.0,-589.0,-26.7775959265321,-12.53191489361702,2023-11-15,2024-11-14,10.0,RS809.CZC
2018-04-04,5278.0,5280.0,5183.0,14.0,735600.0,0.5908137983609674,1.848675433581094,4.0,-578.0,-26.734505087881594,-12.297872340425533,2023-11-15,2024-11-14,10.0,RS809.CZC
