,CLOSE,HIGH,LOW,VOLUME,AMT,PCT_CHG,SWING,OI,ANAL_BASIS,BASISANNUALYIELD,ANAL_BASISPERCENT2,FTDATE,LASTTRADE_DATE,CONTRACTMULTIPLIER,TRADE_HISCODE
2018-01-02,6466.0,6534.0,6250.0,309492.0,9941269800.0,-0.7673419275629256,4.362519201228879,211072.0,2034.0,67.21744877726371,23.929411764705883,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-01-03,6468.0,6610.0,6428.0,388306.0,12663497100.0,0.6849315068493178,2.814723167336839,207286.0,1632.0,57.239057239057246,20.14814814814815,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-01-04,6454.0,6550.0,6384.0,284828.0,9221919800.0,-1.0426249616682037,2.5664811379097094,216670.0,1646.0,58.393642684830425,20.320987654320987,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-01-05,6396.0,6506.0,6360.0,305016.0,9792479100.0,-1.2353304508956109,2.2621629996901147,226432.0,1704.0,61.154177433247206,21.037037037037038,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-01-08,6418.0,6428.0,6360.0,148820.0,4762488900.0,-0.06228589224540615,1.0631644777986242,212702.0,1482.0,55.174981384959054,18.759493670886076,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-01-09,6460.0,6522.0,6432.0,205266.0,6652432900.0,0.9374999999999911,1.4023060143346837,221524.0,1040.0,41.269841269841265,13.866666666666665,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-01-10,6472.0,6506.0,6390.0,166500.0,5388975600.000001,-0.1542733724159251,1.7956656346749225,211936.0,1028.0,41.285140562249,13.706666666666667,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-01-11,6440.0,6534.0,6410.0,205988.0,6656144600.0,-0.5251776336113734,1.9159456118665017,231598.0,1060.0,43.08943089430895,14.133333333333335,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-01-12,6456.0,6496.0,6370.0,203338.0,6559868500.0,-0.12376237623762387,1.956521739130435,222168.0,844.0,35.68408591239641,11.561643835616438,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-01-15,6466.0,6488.0,6420.0,166956.0,5395571200.0,0.21698698078116418,1.0532837670384139,219320.0,834.0,35.70205479452055,11.424657534246576,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-01-16,6692.0,6758.0,6464.0,505052.0,16730233200.0,3.527227722772275,4.546860501082586,237822.0,608.0,26.35685798508756,8.32876712328767,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-01-17,6688.0,6748.0,6620.0,256776.0,8591131800.0,0.935707817687903,1.9127316198445903,213296.0,612.0,26.870389884088514,8.383561643835616,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-01-18,6896.0,6916.0,6688.0,391640.0,13324622600.0,3.048416019127309,3.4090909090909087,241342.0,404.0,17.968333036826188,5.534246575342466,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-01-19,6914.0,6952.0,6866.0,310978.0,10743696800.0,1.5868351454598972,1.2470997679814384,220164.0,386.0,17.393655371304977,5.287671232876712,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-01-22,6812.0,6992.0,6778.0,295250.0,10147094200.0,-1.4182344428364635,3.095169221868672,226768.0,488.0,22.283105022831048,6.684931506849315,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-01-23,6760.0,6786.0,6522.0,534144.0,17835573400.0,-1.6584230433517644,3.875513799177922,220848.0,540.0,24.99074416882636,7.397260273972603,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-01-24,6740.0,6788.0,6682.0,239570.0,8065183199.999999,0.9284216831386694,1.5680473372781067,194332.0,560.0,26.27134546819291,7.671232876712329,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-01-25,6744.0,6828.0,6700.0,284300.0,9599801500.0,0.14850014850014137,1.8991097922848663,206948.0,556.0,26.445966514459663,7.616438356164383,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-01-26,6582.0,6736.0,6568.0,292022.0,9686705800.0,-2.5466390287237184,2.491103202846975,187750.0,718.0,34.63245224773298,9.835616438356166,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-01-29,6650.0,6678.0,6562.0,211246.0,7009978800.0,0.24118179077479152,1.76238225463385,183420.0,650.0,31.80039138943248,8.904109589041095,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-01-30,6628.0,6710.0,6584.0,190336.0,6320908500.0,-0.15064778547755342,1.8947368421052633,173060.0,672.0,33.353186420488385,9.205479452054794,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-01-31,6594.0,6640.0,6550.0,148108.0,4880482000.0,-0.722673893405601,1.3578756789378394,156256.0,706.0,35.556003223207085,9.671232876712327,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-02-01,6624.0,6688.0,6602.0,157800.0,5237693900.0,0.5159332321699628,1.3042159538974827,164014.0,676.0,34.55326109180126,9.26027397260274,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-02-02,6644.0,6690.0,6620.0,120868.0,4020928300.0,0.09038867128652317,1.0567632850241546,152444.0,656.0,34.039020340390195,8.986301369863012,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-02-05,6758.0,6820.0,6552.0,244210.0,8223776200.0,1.562969642320411,4.0337146297411195,195622.0,542.0,28.556375131717598,7.424657534246576,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-02-06,6688.0,6746.0,6578.0,195862.0,6534761400.0,-0.7125890736342066,2.4859425865640725,163316.0,512.0,27.77777777777778,7.111111111111111,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-02-07,6718.0,6810.0,6700.0,192172.0,6485635000.0,0.6592747977224978,1.644736842105263,182992.0,482.0,26.5652557319224,6.694444444444445,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-02-08,6622.0,6762.0,6608.0,224946.0,7514122300.0,-1.896296296296296,2.2923489133670736,161180.0,578.0,32.37007168458781,8.027777777777779,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-02-09,6614.0,6690.0,6598.0,152872.0,5072223000.0,-1.0176593834181347,1.389308366052552,153274.0,586.0,33.35610200364299,8.13888888888889,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-02-12,6656.0,6678.0,6618.0,85094.0,2829440800.0,0.3013863773357439,0.9071666162685214,145910.0,544.0,31.48148148148148,7.555555555555555,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-02-13,6638.0,6688.0,6630.0,93872.0,3122287100.0,-0.18045112781954753,0.8713942307692308,136156.0,562.0,33.07438794726931,7.805555555555556,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-02-14,6766.0,6800.0,6658.0,118168.0,3977925200.0,1.7137702946482314,2.1391985537812594,134122.0,434.0,25.981800766283524,6.027777777777778,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-02-22,6774.0,6840.0,6736.0,64370.0,2179812600.0,0.5940005940005877,1.537097250960686,134124.0,426.0,25.950292397660817,5.916666666666667,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-02-23,6796.0,6806.0,6758.0,123202.0,4180214300.0,0.32477118393858806,0.70859167404783,177690.0,404.0,25.049603174603174,5.611111111111111,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-02-26,6778.0,6888.0,6702.0,218088.0,7419747600.0,-0.11788977306218529,2.7369040612124778,198276.0,422.0,26.641414141414145,5.861111111111112,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-02-27,6776.0,6786.0,6720.0,91022.0,3078290000.0,-0.4115226337448541,0.9737385659486574,191944.0,424.0,27.263374485596703,5.888888888888888,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-02-28,6794.0,6828.0,6732.0,143774.0,4884778400.0,0.44352454169129807,1.4167650531286895,201792.0,306.0,20.329524315705555,4.309859154929577,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-03-01,6734.0,6838.0,6720.0,144986.0,4910736000.0,-0.912301353737488,1.73682661171622,210266.0,366.0,24.783315276273026,5.154929577464789,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-03-02,6610.0,6708.0,6548.0,188248.0,6238258400.0,-2.4210215529967494,2.376002376002376,185336.0,490.0,33.830433581883455,6.901408450704226,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-03-05,6400.0,6596.0,6388.0,231616.0,7498009399.999999,-3.4399517199758645,3.146747352496218,193582.0,500.0,36.231884057971016,7.246376811594203,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-03-06,6416.0,6464.0,6400.0,123518.0,3973016800.0,-0.9264978381717137,1.0,174282.0,384.0,28.811524609843943,5.647058823529412,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-03-07,6318.0,6422.0,6268.0,209710.0,6632758500.0,-1.8029219769972071,2.4002493765586035,182646.0,482.0,36.91789215686274,7.088235294117647,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-03-08,6304.0,6370.0,6288.0,103508.0,3270189800.0,-0.34777110338286565,1.2978790756568535,173042.0,496.0,38.798498122653314,7.294117647058823,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-03-09,6094.0,6300.0,6014.0,305262.0,9379642900.0,-3.5759493670886044,4.536802030456853,202182.0,606.0,49.15639195327709,9.044776119402984,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-03-12,6178.0,6208.0,6134.0,145898.0,4503833500.0,0.520663846404168,1.2143091565474238,170920.0,522.0,43.28358208955224,7.791044776119403,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-03-13,6164.0,6200.0,6130.0,96282.0,2973434099.9999995,-0.16196954972464983,1.1330527678860474,175742.0,536.0,45.45454545454545,8.0,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-03-14,6152.0,6190.0,6064.0,156828.0,4813213100.0,-0.4208481709291001,2.044127190136275,183610.0,548.0,47.55293300937174,8.17910447761194,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-03-15,6168.0,6206.0,6112.0,124366.0,3835663000.0,0.4887585532746819,1.527958387516255,182608.0,532.0,47.2636815920398,7.940298507462687,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-03-16,6164.0,6194.0,6124.0,92718.0,2856867300.0,-0.06485084306095956,1.1348897535667963,174938.0,336.0,31.519699812382733,5.169230769230769,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-03-19,6152.0,6182.0,6080.0,118462.0,3636506000.0,-0.1622849724115527,1.654769630110318,179294.0,348.0,33.46153846153847,5.353846153846154,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-03-20,6268.0,6288.0,6130.0,278106.0,8659685300.0,2.084690553745938,2.5682704811443435,196960.0,232.0,22.879684418145953,3.569230769230769,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-03-21,6244.0,6308.0,6214.0,127788.0,3995294900.0,0.25690430314708745,1.4996809189534142,178870.0,56.0,5.847953216374269,0.8888888888888888,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-03-22,6246.0,6280.0,6220.0,89352.0,2787824900.0,-0.12791813239526606,0.9609224855861628,176424.0,54.0,5.7915057915057915,0.8571428571428572,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-03-23,6120.0,6162.0,5960.0,277084.0,8434412300.0,-1.9230769230769273,3.234069804674992,146148.0,180.0,19.841269841269842,2.857142857142857,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-03-26,6000.0,6144.0,5980.0,139232.0,4196947000.0,-1.4454664914586024,2.679738562091503,147104.0,300.0,34.01360544217687,4.761904761904762,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-03-27,5850.0,6050.0,5832.0,260284.0,7698999100.0,-2.985074626865669,3.6333333333333337,181412.0,450.0,52.52100840336135,7.142857142857142,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-03-28,5846.0,5886.0,5802.0,113912.0,3327836200.0,-1.1832319134550406,1.435897435897436,156970.0,454.0,54.59355459355459,7.2063492063492065,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-03-29,5802.0,5868.0,5790.0,106904.0,3113819099.9999995,-0.7186858316221789,1.3342456380431065,161776.0,298.0,38.16598360655738,4.885245901639344,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-03-30,5862.0,5878.0,5812.0,113206.0,3312605600.0,0.6179196704428458,1.1375387797311272,161668.0,238.0,31.46483342147012,3.901639344262295,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-04-02,5894.0,5960.0,5866.0,161542.0,4778704100.0,0.7177033492822948,1.6035482770385534,197728.0,206.0,28.142076502732237,3.3770491803278686,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-04-03,5876.0,5928.0,5870.0,93156.0,2747211599.9999995,-0.6761325219743042,0.9840515778758059,182950.0,224.0,31.65630299604296,3.6721311475409837,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-04-04,5834.0,5878.0,5814.0,80010.0,2340329900.0,-1.0851135978297677,1.0891763104152483,177888.0,66.0,9.987893462469735,1.1186440677966103,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-04-09,5850.0,5888.0,5738.0,73190.0,2135553200.0,0.0,2.571134727459719,171632.0,-50.0,-7.982120051085569,-0.8620689655172413,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-04-10,5892.0,5916.0,5854.0,101226.0,2977434900.0,0.9595613433858841,1.0598290598290598,180838.0,-92.0,-15.251989389920425,-1.5862068965517242,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-04-11,5870.0,5930.0,5850.0,98638.0,2907351500.0,-0.23793337865397612,1.3577732518669383,170822.0,-170.0,-29.82456140350877,-2.982456140350877,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-04-12,5866.0,5900.0,5852.0,64912.0,1905315700.0,-0.5088195386702798,0.8177172061328791,158732.0,-166.0,-30.336257309941523,-2.912280701754386,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-04-13,6224.0,6224.0,5836.0,325724.0,9977619500.0,6.03066439522999,6.614387998636209,173524.0,-524.0,-99.92372234935165,-9.192982456140351,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-04-16,6196.0,6260.0,6112.0,223046.0,6923608800.0,1.1426705843943896,2.377892030848329,141608.0,-496.0,-98.88357256778309,-8.701754385964913,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-04-17,6500.0,6546.0,6164.0,293188.0,9432253300.0,4.703608247422686,6.1652679147837315,139728.0,-800.0,-167.0843776106934,-14.035087719298245,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-04-18,6260.0,6584.0,6214.0,256574.0,8147905699.999999,-2.7043829654957996,5.6923076923076925,105314.0,-560.0,-122.80701754385966,-9.824561403508772,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-04-19,6150.0,6316.0,6034.0,155076.0,4795239400.0,-3.180100755667503,4.50479233226837,78720.0,-450.0,-103.87811634349029,-7.894736842105263,2024-01-16,2025-01-14,5.0,SF805.CZC
2018-04-20,6110.0,6260.0,6088.0,182276.0,5626451800.000001,-1.1966364812419195,2.796747967479675,107916.0,-310.0,-12.725779967159278,-5.344827586206897,2024-01-16,2025-01-14,5.0,SF809.CZC
2018-04-23,6174.0,6246.0,6116.0,148950.0,4610617300.0,0.0,2.127659574468085,132010.0,-374.0,-15.500663129973475,-6.448275862068965,2024-01-16,2025-01-14,5.0,SF809.CZC
2018-04-24,6410.0,6540.0,6168.0,533338.0,16973473700.000002,3.520671834625322,6.025267249757046,192530.0,-610.0,-25.5272849012387,-10.517241379310345,2024-01-16,2025-01-14,5.0,SF809.CZC
2018-04-25,6536.0,6566.0,6392.0,350322.0,11363806299.999998,2.670436694941869,2.7145085803432134,190440.0,-736.0,-31.102096010818126,-12.689655172413794,2024-01-16,2025-01-14,5.0,SF809.CZC
2018-04-26,6460.0,6558.0,6420.0,293176.0,9508446400.0,-0.4315659679408168,2.1113831089351285,182592.0,-660.0,-28.16660976442472,-11.379310344827587,2024-01-16,2025-01-14,5.0,SF809.CZC
2018-04-27,6476.0,6502.0,6358.0,209230.0,6735403300.0,-0.18495684340320562,2.2291021671826625,163506.0,-676.0,-29.13793103448276,-11.655172413793103,2024-01-16,2025-01-14,5.0,SF809.CZC
2018-05-02,6430.0,6500.0,6374.0,160174.0,5150688800.0,-0.12426219322770882,1.945645460160593,181280.0,-630.0,-27.429467084639498,-10.86206896551724,2024-01-16,2025-01-14,5.0,SF809.CZC
2018-05-03,6458.0,6608.0,6418.0,319236.0,10407311300.0,0.4042288557214002,2.9548989113530326,186770.0,-658.0,-28.94088669950739,-11.344827586206897,2024-01-16,2025-01-14,5.0,SF809.CZC
2018-05-04,6516.0,6530.0,6394.0,165278.0,5363904500.0,-0.06134969325153339,2.1059151440074326,171670.0,-716.0,-31.81656594383221,-12.344827586206897,2024-01-16,2025-01-14,5.0,SF809.CZC
2018-05-07,6626.0,6670.0,6502.0,291986.0,9634978800.0,2.064078866296981,2.578268876611418,220232.0,-826.0,-37.08692528735632,-14.24137931034483,2024-01-16,2025-01-14,5.0,SF809.CZC
2018-05-08,6600.0,6636.0,6570.0,120986.0,3990325300.0000005,0.0,0.9960760639903411,199680.0,-800.0,-36.297640653357526,-13.793103448275861,2024-01-16,2025-01-14,5.0,SF809.CZC
2018-05-09,6590.0,6660.0,6516.0,176866.0,5839879000.0,-0.090964220739842,2.181818181818182,203646.0,-790.0,-36.225238444607484,-13.620689655172413,2024-01-16,2025-01-14,5.0,SF809.CZC
2018-05-10,6508.0,6614.0,6492.0,171370.0,5599242300.0,-1.4536644457904258,1.8512898330804248,180856.0,-708.0,-32.81423804226918,-12.206896551724137,2024-01-16,2025-01-14,5.0,SF809.CZC
2018-05-11,6544.0,6626.0,6502.0,184142.0,6045942500.0,0.1223990208078396,1.9053472649047325,182238.0,-744.0,-34.8575712143928,-12.827586206896552,2024-01-16,2025-01-14,5.0,SF809.CZC
2018-05-14,6690.0,6722.0,6552.0,236102.0,7878630699.999999,1.8574908647990274,2.597799511002445,215338.0,-890.0,-42.156119742326645,-15.344827586206897,2024-01-16,2025-01-14,5.0,SF809.CZC
2018-05-15,6748.0,6786.0,6686.0,209394.0,7058373600.0,1.1087803416242048,1.4947683109118086,216760.0,-798.0,-37.254901960784316,-13.411764705882353,2024-01-16,2025-01-14,5.0,SF809.CZC
2018-05-16,6892.0,7042.0,6748.0,372790.0,12894923000.0,2.224859092257492,4.356846473029045,248390.0,-942.0,-44.47172127277877,-15.831932773109244,2024-01-16,2025-01-14,5.0,SF809.CZC
