,CLOSE,HIGH,LOW,VOLUME,AMT,PCT_CHG,SWING,OI,ANAL_BASIS,BASISANNUALYIELD,ANAL_BASISPERCENT2,FTDATE,LASTTRADE_DATE,CONTRACTMULTIPLIER,TRADE_HISCODE
2018-01-02,7256.0,7330.0,7084.0,118350.0,4293257000.0,0.027570995312919955,3.399668325041459,77010.0,,,,2024-01-16,2025-01-14,5.0,SM805.CZC
2018-01-03,7120.0,7350.0,7090.0,174744.0,6319103900.0,-1.8743109151047377,3.583241455347299,81278.0,,,,2024-01-16,2025-01-14,5.0,SM805.CZC
2018-01-04,7156.0,7198.0,7006.0,188696.0,6703563500.0,-1.050884955752207,2.696629213483146,80348.0,,,,2024-01-16,2025-01-14,5.0,SM805.CZC
2018-01-05,7080.0,7182.0,7012.0,142378.0,5050863700.0,-0.3658879819870564,2.375628842929011,75112.0,,,,2024-01-16,2025-01-14,5.0,SM805.CZC
2018-01-08,7154.0,7168.0,7050.0,99130.0,3527762500.0,0.8173618940247929,1.6666666666666667,75474.0,,,,2024-01-16,2025-01-14,5.0,SM805.CZC
2018-01-09,7240.0,7292.0,7158.0,111178.0,4030446700.0,1.7139645967968464,1.8730779983226167,72072.0,,,,2024-01-16,2025-01-14,5.0,SM805.CZC
2018-01-10,7246.0,7310.0,7160.0,103588.0,3758301200.0,-0.055172413793103114,2.071823204419889,67652.0,,,,2024-01-16,2025-01-14,5.0,SM805.CZC
2018-01-11,7178.0,7276.0,7114.0,128234.0,4594932400.0,-1.0749724366041935,2.235716257245377,77486.0,,,,2024-01-16,2025-01-14,5.0,SM805.CZC
2018-01-12,7372.0,7396.0,7118.0,191546.0,6952757400.0,2.87468601730394,3.872945110058512,90168.0,,,,2024-01-16,2025-01-14,5.0,SM805.CZC
2018-01-15,7400.0,7454.0,7320.0,169790.0,6269767000.0,1.9283746556473913,1.8176885512750949,94834.0,,,,2024-01-16,2025-01-14,5.0,SM805.CZC
