,CLOSE,HIGH,LOW,VOLUME,AMT,PCT_CHG,SWING,OI,ANAL_BASIS,BASISANNUALYIELD,ANAL_BASISPERCENT2,FTDATE,LASTTRADE_DATE,CONTRACTMULTIPLIER,TRADE_HISCODE
2018-01-02,5897.0,5965.0,5885.0,328678.0,19459482400.0,-0.6904681711013771,1.3474818932120598,476462.0,383.0,17.13125313103843,6.098726114649682,2024-01-16,2025-01-14,10.0,SR805.CZC
2018-01-03,5905.0,5917.0,5891.0,231028.0,13637825400.0,-0.2702246242188844,0.44090215363744273,480132.0,355.0,16.110586697647403,5.6709265175718855,2024-01-16,2025-01-14,10.0,SR805.CZC
2018-01-04,5858.0,5898.0,5829.0,496558.0,29084428200.0,-0.7623242419108944,1.1685012701100763,492682.0,372.0,17.15835501190015,5.971107544141252,2024-01-16,2025-01-14,10.0,SR805.CZC
2018-01-05,5867.0,5873.0,5835.0,313370.0,18339205900.0,0.17073587160663095,0.6486855582109935,492040.0,353.0,16.497794062663576,5.67524115755627,2024-01-16,2025-01-14,10.0,SR805.CZC
2018-01-08,5874.0,5885.0,5850.0,225162.0,13215255400.0,0.3759398496240518,0.5965570138060338,490912.0,336.0,15.913611821540211,5.4106280193236715,2024-01-16,2025-01-14,10.0,SR805.CZC
2018-01-09,5864.0,5888.0,5848.0,311858.0,18294269000.0,-0.0851933889930101,0.6809669731018045,503782.0,346.0,16.58231730695499,5.571658615136876,2024-01-16,2025-01-14,10.0,SR805.CZC
2018-01-10,5877.0,5885.0,5859.0,221964.0,13035570900.0,0.18752130923969101,0.44338335607094137,491724.0,323.0,15.69179945588807,5.209677419354838,2024-01-16,2025-01-14,10.0,SR805.CZC
2018-01-11,5872.0,5890.0,5853.0,223696.0,13138329700.0,-0.017027073046138597,0.6295729113493279,496638.0,313.0,15.428751700613208,5.060630557801131,2024-01-16,2025-01-14,10.0,SR805.CZC
2018-01-12,5862.0,5869.0,5846.0,186336.0,10919207700.0,-0.18729780350758007,0.3916893732970027,501540.0,323.0,16.11824705330499,5.222312045270817,2024-01-16,2025-01-14,10.0,SR805.CZC
2018-01-15,5815.0,5876.0,5805.0,400942.0,23386225000.0,-0.7679180887371961,1.2111907198908223,548302.0,370.0,18.694421988682297,5.982215036378335,2024-01-16,2025-01-14,10.0,SR805.CZC
2018-01-16,5815.0,5825.0,5808.0,167616.0,9751428100.0,-0.308589062232123,0.292347377472055,547052.0,300.0,15.525218129314716,4.905968928863451,2024-01-16,2025-01-14,10.0,SR805.CZC
2018-01-17,5785.0,5830.0,5779.0,364134.0,21123263300.0,-0.5672052251632809,0.8770421324161651,540430.0,370.0,19.267220729446564,6.011372867587327,2024-01-16,2025-01-14,10.0,SR805.CZC
2018-01-18,5768.0,5800.0,5765.0,265608.0,15365406900.0,-0.5688674366488566,0.6050129645635264,559110.0,387.0,20.414191819553317,6.2875710804224205,2024-01-16,2025-01-14,10.0,SR805.CZC
2018-01-19,5759.0,5774.0,5721.0,407074.0,23405621700.0,-0.44943820224718767,0.9188626907073508,557168.0,396.0,21.1637949463423,6.433793663688059,2024-01-16,2025-01-14,10.0,SR805.CZC
2018-01-22,5769.0,5771.0,5736.0,324332.0,18661688300.0,0.34788658897200175,0.6077444000694565,578640.0,366.0,19.885900570497146,5.965770171149145,2024-01-16,2025-01-14,10.0,SR805.CZC
2018-01-23,5757.0,5777.0,5751.0,228914.0,13192802100.0,0.05213764337852478,0.45068469405442885,573386.0,318.0,17.684351017684353,5.234567901234568,2024-01-16,2025-01-14,10.0,SR805.CZC
2018-01-24,5792.0,5828.0,5776.0,437816.0,25402853100.0,0.5032101336109651,0.903248219558798,551284.0,283.0,15.953548678054005,4.658436213991769,2024-01-16,2025-01-14,10.0,SR805.CZC
2018-01-25,5796.0,5820.0,5784.0,216010.0,12535001200.000002,-0.10341261633919352,0.6215469613259669,537330.0,259.0,14.852280025690431,4.277456647398844,2024-01-16,2025-01-14,10.0,SR805.CZC
2018-01-26,5787.0,5824.0,5780.0,244478.0,14188153200.0,-0.27571945545407095,0.759144237405107,557852.0,268.0,15.58483851083379,4.426094137076796,2024-01-16,2025-01-14,10.0,SR805.CZC
2018-01-29,5764.0,5805.0,5745.0,264664.0,15273496100.000002,-0.6720661726693056,1.0368066355624677,572088.0,291.0,17.164091069953994,4.805945499587118,2024-01-16,2025-01-14,10.0,SR805.CZC
2018-01-30,5757.0,5781.0,5755.0,187240.0,10810237900.0,-0.24259227170334574,0.4510756419153366,567820.0,298.0,17.831711724649647,4.921552436003303,2024-01-16,2025-01-14,10.0,SR805.CZC
2018-01-31,5807.0,5856.0,5760.0,498220.0,28956610400.0,0.6586930143872349,1.6675351745700884,535804.0,248.0,15.058046339923251,4.095788604459124,2024-01-16,2025-01-14,10.0,SR805.CZC
2018-02-01,5784.0,5812.0,5755.0,340518.0,19687997500.0,-0.4817618719889838,0.9815739624591011,525706.0,271.0,16.700149130483013,4.475639966969447,2024-01-16,2025-01-14,10.0,SR805.CZC
2018-02-02,5778.0,5808.0,5770.0,241922.0,14006959400.0,0.0,0.656984785615491,518066.0,262.0,16.430864940798713,4.33774834437086,2024-01-16,2025-01-14,10.0,SR805.CZC
2018-02-05,5784.0,5796.0,5770.0,186458.0,10786028300.0,-0.10362694300518616,0.4499826929733472,517224.0,256.0,16.301579215486502,4.23841059602649,2024-01-16,2025-01-14,10.0,SR805.CZC
2018-02-06,5782.0,5799.0,5763.0,264336.0,15291907900.0,-0.03457814661134151,0.6224066390041494,509196.0,258.0,16.685637417218544,4.271523178807947,2024-01-16,2025-01-14,10.0,SR805.CZC
2018-02-07,5760.0,5784.0,5755.0,239740.0,13829539300.0,-0.4321521175453813,0.5015565548253199,507686.0,280.0,18.395879323031643,4.635761589403973,2024-01-16,2025-01-14,10.0,SR805.CZC
2018-02-08,5788.0,5797.0,5755.0,246772.0,14270951500.0,0.32934650719362857,0.7291666666666666,492872.0,237.0,15.86133047784768,3.9336099585062243,2024-01-16,2025-01-14,10.0,SR805.CZC
2018-02-09,5738.0,5802.0,5738.0,293932.0,16966845700.0,-0.7781428324399098,1.10573600552868,502692.0,287.0,19.522481463845995,4.763485477178423,2024-01-16,2025-01-14,10.0,SR805.CZC
