,CLOSE,HIGH,LOW,VOLUME,AMT,PCT_CHG,SWING,OI,ANAL_BASIS,BASISANNUALYIELD,ANAL_BASISPERCENT2,FTDATE,LASTTRADE_DATE,CONTRACTMULTIPLIER,TRADE_HISCODE
2018-01-02,5576.0,5578.0,5496.0,661906.0,18334702100.0,1.2345679012345734,1.4855072463768115,1039766.0,164.0,8.025682182985554,2.857142857142857,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-01-03,5552.0,5586.0,5528.0,555672.0,15426542600.0,0.21660649819494893,1.0401721664275465,1046946.0,243.0,11.912699035218449,4.193270060396894,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-01-04,5634.0,5674.0,5546.0,1225196.0,34357877100.0,1.4769452449567622,2.3054755043227666,1246046.0,231.0,11.317870476526442,3.938618925831202,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-01-05,5630.0,5648.0,5604.0,580968.0,16342857600.0,0.35650623885918886,0.7809726659566916,1209508.0,185.0,9.248335299646065,3.181427343078246,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-01-08,5688.0,5704.0,5614.0,817576.0,23148134400.0,1.1020263064344116,1.5985790408525755,1359922.0,172.0,8.632804657699259,2.9351535836177476,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-01-09,5692.0,5714.0,5666.0,543428.0,15453088300.0,0.4943502824858781,0.8438818565400843,1396084.0,168.0,8.532423208191126,2.8668941979522184,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-01-10,5670.0,5696.0,5610.0,873832.0,24708801800.0,-0.31645569620253333,1.510892480674631,1328930.0,190.0,9.766026563592252,3.242320819112628,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-01-11,5678.0,5684.0,5634.0,539538.0,15275639000.0,0.38896746817538297,0.8818342151675485,1349524.0,147.0,7.693918140898148,2.5236051502145926,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-01-12,5640.0,5702.0,5624.0,676594.0,19095271500.0,-0.3885552808195025,1.3737231419513913,1331544.0,175.0,9.288451535513731,3.0094582975064488,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-01-15,5676.0,5700.0,5606.0,653426.0,18492723400.0,0.5313496280552554,1.6666666666666667,1385710.0,149.0,7.9935622317596575,2.55793991416309,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-01-16,5626.0,5698.0,5602.0,927284.0,26204740700.0,-0.6007067137809186,1.6913319238900635,1333744.0,124.0,6.824435883324161,2.1565217391304348,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-01-17,5592.0,5626.0,5558.0,770056.0,21515860000.0,-1.0615711252653925,1.2086740135087097,1287742.0,73.0,4.130174033086654,1.2886142983230362,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-01-18,5598.0,5624.0,5576.0,496146.0,13888825300.0,0.17895490336434783,0.8583690987124464,1284602.0,67.0,3.839937643997662,1.1827007943512797,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-01-19,5614.0,5638.0,5566.0,659930.0,18465638400.0,0.24999999999999467,1.2861736334405145,1269388.0,21.0,1.2258908139915006,0.37267080745341613,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-01-22,5668.0,5704.0,5596.0,828728.0,23441261900.0,1.2866333095068017,1.9237620235126471,1305252.0,7.0,0.4111600587371512,0.12334801762114538,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-01-23,5674.0,5706.0,5646.0,675436.0,19167430500.0,0.28278543655002597,1.058574453069866,1321644.0,-9.0,-0.5367238376947114,-0.1588702559576346,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-01-24,5754.0,5774.0,5664.0,1417204.0,40689620000.0,1.374207188160681,1.9386676066267186,1438308.0,-64.0,-3.851987384741315,-1.124780316344464,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-01-25,5762.0,5796.0,5736.0,663578.0,19122986900.0,0.34831069313827623,1.0427528675703857,1433456.0,-52.0,-3.162093792566647,-0.9106830122591943,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-01-26,5736.0,5762.0,5712.0,524252.0,15024397600.0,-0.4857737682165131,0.8677542519958347,1409248.0,-81.0,-5.043523741921022,-1.4323607427055705,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-01-29,5740.0,5788.0,5722.0,455160.0,13096482100.0,0.13956734124214165,1.1506276150627615,1407074.0,-65.0,-4.090623033354311,-1.145374449339207,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-01-30,5696.0,5740.0,5664.0,684926.0,19516980000.0,-1.0423905489923557,1.32404181184669,1326332.0,-71.0,-4.573268921095008,-1.2622222222222221,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-01-31,5726.0,5738.0,5676.0,819354.0,23399958200.0,0.45614035087719884,1.0884831460674158,1361242.0,-71.0,-4.615904717324596,-1.25552608311229,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-02-01,5660.0,5738.0,5644.0,754166.0,21453666500.0,-0.9103641456582601,1.6416346489696123,1298248.0,-35.0,-2.321724709784411,-0.6222222222222222,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-02-02,5668.0,5706.0,5654.0,469174.0,13321559100.0,-0.38664323374341114,0.9187279151943463,1263020.0,-43.0,-2.8956228956228953,-0.7644444444444444,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-02-05,5668.0,5684.0,5636.0,570114.0,16121953899.999998,-0.21126760563380254,0.8468595624558928,1217402.0,-58.0,-3.976415741121623,-1.033868092691622,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-02-06,5652.0,5720.0,5620.0,890940.0,25212859400.0,-0.07072135785006761,1.7642907551164433,1160412.0,-42.0,-2.924465240641711,-0.7486631016042781,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-02-07,5644.0,5668.0,5618.0,530606.0,14963707900.0,-0.2826855123674865,0.8846426043878274,1140016.0,-24.0,-1.6946280291476026,-0.42704626334519574,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-02-08,5630.0,5664.0,5606.0,600720.0,16909120500.0,-0.17730496453900457,1.0276399716513112,1085824.0,-5.0,-0.3584229390681004,-0.08888888888888889,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-02-09,5602.0,5660.0,5588.0,650640.0,18284487600.0,-0.497335701598578,1.2788632326820604,1059216.0,3.0,0.21935917871923485,0.05352363960749331,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-02-12,5596.0,5646.0,5582.0,652224.0,18292782100.0,-0.4270462633451988,1.1424491253123885,1039838.0,44.0,3.250591016548463,0.7801418439716312,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-02-13,5610.0,5626.0,5584.0,357308.0,10009575600.0,0.0,0.7505360972122944,988164.0,100.0,7.420819852177268,1.7513134851138354,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-02-14,5630.0,5646.0,5598.0,328432.0,9234004100.0,0.4639543183440509,0.8556149732620321,949628.0,80.0,6.039012017633915,1.4010507880910683,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-02-22,5704.0,5758.0,5638.0,572520.0,16370333200.0,1.4224751066856278,2.1314387211367674,963880.0,156.0,11.675947548051015,2.6621160409556315,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-02-23,5754.0,5780.0,5706.0,534644.0,15372283600.000002,0.5944055944056004,1.2973352033660588,962570.0,101.0,7.700988166402342,1.7250213492741246,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-02-26,5832.0,5866.0,5756.0,665794.0,19362617000.0,1.4260869565217327,1.9117135905457074,1029108.0,118.0,9.014514896867837,1.9831932773109244,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-02-27,5852.0,5888.0,5802.0,622774.0,18195640600.0,0.6189821182943644,1.4746227709190671,1085102.0,98.0,7.625272331154685,1.647058823529412,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-02-28,5848.0,5878.0,5814.0,480058.0,14019105200.0,0.0684462696783017,1.0936431989063569,1059882.0,77.0,6.130085184300612,1.29957805907173,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-03-01,5820.0,5856.0,5750.0,711198.0,20625960700.0,-0.3765833618623704,1.8125854993160055,1048734.0,130.0,10.504201680672267,2.1848739495798317,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-03-02,5828.0,5838.0,5780.0,575570.0,16732992500.0,0.4827586206896495,0.9965635738831614,1050122.0,157.0,12.85894474748964,2.6232247284878865,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-03-05,5786.0,5864.0,5784.0,873688.0,25436105900.0,-0.4815961472308228,1.3726835964310227,1071370.0,239.0,19.83402489626556,3.966804979253112,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-03-06,5774.0,5818.0,5766.0,519830.0,15042793899.999998,-0.8585164835164805,0.8987210508123057,1036238.0,251.0,21.254975019053266,4.16597510373444,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-03-07,5698.0,5796.0,5662.0,955120.0,27302401700.0,-1.5549412577747113,2.3207481815032907,1039726.0,117.0,10.479363714531384,2.0120378331900257,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-03-08,5656.0,5694.0,5642.0,521458.0,14769973799.999998,-1.0842952081147272,0.9126009126009126,995960.0,119.0,10.960670535138622,2.0606060606060606,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-03-09,5582.0,5676.0,5550.0,789736.0,22159064800.0,-1.4825273561595464,2.2277227722772275,981276.0,98.0,9.376913655848133,1.7253521126760565,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-03-12,5568.0,5630.0,5558.0,512522.0,14327967800.0,-0.7840342124019961,1.2898602651379434,968168.0,102.0,9.994121105232216,1.7989417989417988,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-03-13,5596.0,5606.0,5556.0,474050.0,13225946399.999998,0.07153075822603494,0.8979885057471264,977942.0,79.0,7.909491389667601,1.3920704845814977,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-03-14,5560.0,5616.0,5542.0,706786.0,19708097300.0,-0.35842293906810374,1.3223731236597571,989920.0,85.0,8.754402949718829,1.5057573073516386,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-03-15,5582.0,5592.0,5532.0,574820.0,16007088500.0,0.0717102904266742,1.079136690647482,957594.0,98.0,10.269953051643194,1.7253521126760565,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-03-16,5544.0,5578.0,5512.0,620500.0,17203386600.0,-0.46678635547576786,1.1823719097097813,971366.0,81.0,8.780487804878048,1.44,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-03-19,5560.0,5588.0,5536.0,444900.0,12377229800.0,0.25243418680129803,0.937950937950938,925494.0,85.0,9.410983170947741,1.5057573073516386,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-03-20,5524.0,5590.0,5486.0,678466.0,18772066100.0,-0.7189072609633307,1.870503597122302,858876.0,31.0,3.577280805003577,0.5580558055805581,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-03-21,5526.0,5564.0,5508.0,448178.0,12402337300.0,-0.14456089627755686,1.0137581462708183,824118.0,29.0,3.4345539817139605,0.522052205220522,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-03-22,5560.0,5600.0,5514.0,611870.0,17018216900.0,0.43352601156070314,1.556279406442273,732296.0,-5.0,-0.6081689250006082,-0.09000900090009001,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-03-23,5494.0,5556.0,5426.0,754174.0,20704903500.0,-1.2580877066858398,2.338129496402878,699866.0,1.0,0.12637751491254676,0.018198362147406735,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-03-26,5506.0,5524.0,5472.0,414314.0,11391915500.0,0.25491624180626893,0.9464870768110666,685914.0,4.0,0.5185377236193933,0.07259528130671505,2024-01-16,2025-01-14,5.0,TA805.CZC
2018-03-27,5464.0,5510.0,5414.0,374744.0,10225178400.0,-0.6545454545454521,1.7435524881946969,732568.0,-4.0,-0.1513637877274241,-0.07326007326007326,2024-01-16,2025-01-14,5.0,TA809.CZC
2018-03-28,5414.0,5492.0,5376.0,332452.0,9002876700.0,-0.8061561011359464,2.12298682284041,802670.0,16.0,0.6138735420503376,0.29465930018416203,2024-01-16,2025-01-14,5.0,TA809.CZC
2018-03-29,5388.0,5416.0,5372.0,254746.0,6866782700.0,-0.5169867060561328,0.8127077946065755,834830.0,17.0,0.6607638430025108,0.31452358926919516,2024-01-16,2025-01-14,5.0,TA809.CZC
2018-03-30,5430.0,5460.0,5380.0,364346.0,9894816600.0,0.7047477744807074,1.4847809948032664,847042.0,30.0,1.1640901471409948,0.5494505494505495,2024-01-16,2025-01-14,5.0,TA809.CZC
2018-04-02,5446.0,5490.0,5430.0,411308.0,11213296500.0,0.2577319587628857,1.1049723756906076,865018.0,29.0,1.1317956523435975,0.5296803652968036,2024-01-16,2025-01-14,5.0,TA809.CZC
2018-04-03,5452.0,5460.0,5406.0,406350.0,11035856399.999998,-0.03667033370003958,0.9915534337128168,903626.0,18.0,0.7091975036247872,0.3290676416819013,2024-01-16,2025-01-14,5.0,TA809.CZC
2018-04-04,5398.0,5460.0,5394.0,347346.0,9413758800.0,-0.6259204712812938,1.210564930300807,927990.0,42.0,1.6783887468030692,0.7720588235294118,2024-01-16,2025-01-14,5.0,TA809.CZC
2018-04-09,5376.0,5418.0,5340.0,366870.0,9857613400.0,-0.8118081180811809,1.4449796220822526,981762.0,34.0,1.3782144826020688,0.6284658040665434,2024-01-16,2025-01-14,5.0,TA809.CZC
2018-04-10,5432.0,5458.0,5372.0,549642.0,14884824600.0,1.0792705619650178,1.599702380952381,965094.0,13.0,0.5282105040753471,0.23875114784205695,2024-01-16,2025-01-14,5.0,TA809.CZC
2018-04-11,5460.0,5504.0,5430.0,630342.0,17239860100.0,0.8124076809453484,1.362297496318115,1003918.0,25.0,1.0173850761817944,0.4557885141294439,2024-01-16,2025-01-14,5.0,TA809.CZC
2018-04-12,5474.0,5508.0,5456.0,487150.0,13351283000.0,0.0731261425959806,0.9523809523809524,1027764.0,11.0,0.4516823112994489,0.20054694621695532,2024-01-16,2025-01-14,5.0,TA809.CZC
2018-04-13,5452.0,5488.0,5444.0,501920.0,13715142600.0,-0.5472455308281665,0.8037997807818781,1021528.0,23.0,0.9547530095475302,0.4200913242009132,2024-01-16,2025-01-14,5.0,TA809.CZC
2018-04-16,5456.0,5502.0,5434.0,613528.0,16773423400.0,-0.18294914013904373,1.247248716067498,988856.0,9.0,0.37771641051898236,0.1646843549862763,2024-01-16,2025-01-14,5.0,TA809.CZC
2018-04-17,5498.0,5564.0,5460.0,794746.0,21890071000.0,0.548646671543529,1.906158357771261,994216.0,17.0,0.7135421913300426,0.3082502266545784,2024-01-16,2025-01-14,5.0,TA809.CZC
2018-04-18,5534.0,5550.0,5498.0,470594.0,13009462600.0,0.4355716878402971,0.9457984721716988,1013630.0,1.0,0.04221226012883182,0.01806684733514002,2024-01-16,2025-01-14,5.0,TA809.CZC
2018-04-19,5614.0,5622.0,5544.0,823072.0,23018170200.0,1.51898734177216,1.40946873870618,1041150.0,-19.0,-0.8009172610315816,-0.33958891867739055,2024-01-16,2025-01-14,5.0,TA809.CZC
2018-04-20,5576.0,5640.0,5552.0,634228.0,17723327500.0,-0.32177332856632157,1.5675097969362308,1005488.0,-21.0,-0.9000900090009001,-0.37803780378037805,2024-01-16,2025-01-14,5.0,TA809.CZC
2018-04-23,5608.0,5626.0,5566.0,440822.0,12339482300.0,0.3220035778175312,1.0760401721664277,1045898.0,-28.0,-1.2062310449407223,-0.5017921146953405,2024-01-16,2025-01-14,5.0,TA809.CZC
2018-04-24,5616.0,5644.0,5572.0,472830.0,13265107600.0,0.3215434083601254,1.2838801711840229,1052372.0,-36.0,-1.5659254619480114,-0.6451612903225806,2024-01-16,2025-01-14,5.0,TA809.CZC
2018-04-25,5600.0,5622.0,5572.0,503528.0,14091886700.0,-0.2138275124732747,0.8903133903133903,1030406.0,-20.0,-0.878487595755148,-0.35842293906810035,2024-01-16,2025-01-14,5.0,TA809.CZC
2018-04-26,5576.0,5616.0,5566.0,528174.0,14767125300.0,-0.3929974991068286,0.8928571428571428,1049544.0,14.0,0.6199188791866663,0.25044722719141327,2024-01-16,2025-01-14,5.0,TA809.CZC
2018-04-27,5580.0,5600.0,5570.0,380380.0,10621204400.0,-0.21459227467811592,0.5380200860832138,1050134.0,0.0,0.0,0.0,2024-01-16,2025-01-14,5.0,TA809.CZC
2018-05-02,5630.0,5650.0,5560.0,485240.0,13623582400.0,0.7876834944504196,1.6129032258064515,1085484.0,-30.0,-1.3528138528138527,-0.5357142857142857,2024-01-16,2025-01-14,5.0,TA809.CZC
2018-05-03,5620.0,5632.0,5600.0,358288.0,10067788200.0,0.07122507122507837,0.5683836589698046,1086968.0,-15.0,-0.6826994847894554,-0.2676181980374665,2024-01-16,2025-01-14,5.0,TA809.CZC
2018-05-04,5612.0,5622.0,5580.0,510932.0,14306668200.0,-0.1423487544483959,0.7473309608540926,1099744.0,-12.0,-0.5522827687776142,-0.2142857142857143,2024-01-16,2025-01-14,5.0,TA809.CZC
2018-05-07,5656.0,5694.0,5612.0,952812.0,26982964900.000004,1.0000000000000009,1.4611546685673558,1272830.0,4.0,0.18404004711425206,0.0706713780918728,2024-01-16,2025-01-14,5.0,TA809.CZC
2018-05-08,5670.0,5704.0,5646.0,591604.0,16786910900.0,0.10593220338983578,1.0254596888260255,1287420.0,-5.0,-0.23226645607841317,-0.088261253309797,2024-01-16,2025-01-14,5.0,TA809.CZC
2018-05-09,5664.0,5690.0,5598.0,715494.0,20215830000.0,-0.21141649048626032,1.6225749559082892,1241708.0,-19.0,-0.8951623541827639,-0.3365810451727192,2024-01-16,2025-01-14,5.0,TA809.CZC
2018-05-10,5736.0,5744.0,5670.0,801374.0,22911183800.0,1.4861995753715496,1.3064971751412429,1339432.0,-21.0,-0.9877797533372845,-0.3674540682414698,2024-01-16,2025-01-14,5.0,TA809.CZC
2018-05-11,5794.0,5816.0,5722.0,924636.0,26653692100.0,1.3291360615599768,1.6387726638772664,1438062.0,-34.0,-1.604015700483092,-0.5902777777777778,2024-01-16,2025-01-14,5.0,TA809.CZC
2018-05-14,5794.0,5834.0,5782.0,734492.0,21314555400.0,0.4856052722858051,0.8974801518812565,1439882.0,-4.0,-0.18979293590692553,-0.0690846286701209,2024-01-16,2025-01-14,5.0,TA809.CZC
2018-05-15,5850.0,5864.0,5794.0,706846.0,20618040000.0,0.7925568573397657,1.2081463583016916,1465098.0,-25.0,-1.1921793037672865,-0.4291845493562232,2024-01-16,2025-01-14,5.0,TA809.CZC
2018-05-16,5848.0,5924.0,5826.0,1080596.0,31659062799.999996,0.23997257456289667,1.6752136752136753,1424620.0,2.0,0.09603380389897244,0.03418803418803419,2024-01-16,2025-01-14,5.0,TA809.CZC
