,CLOSE,HIGH,LOW,VOLUME,AMT,PCT_CHG,SWING,OI,ANAL_BASIS,BASISANNUALYIELD,ANAL_BASISPERCENT2,FTDATE,LASTTRADE_DATE,CONTRACTMULTIPLIER,TRADE_HISCODE
2018-01-02,6780.0,6860.0,6650.0,680214.0,23052784200.0,2.0316027088036037,3.155522163786627,326354.0,-165.0,-6.928697404887882,-2.494331065759637,2024-01-16,2025-01-15,5.0,V1805.DCE
2018-01-03,6770.0,6815.0,6750.0,261066.0,8850249500.0,-0.07380073800737907,0.9587020648967551,331772.0,-120.0,-5.068851905043508,-1.8045112781954888,2024-01-16,2025-01-15,5.0,V1805.DCE
2018-01-04,6825.0,6825.0,6735.0,379094.0,12862596500.0,0.6637168141592875,1.329394387001477,344132.0,-175.0,-7.476076555023924,-2.631578947368421,2024-01-16,2025-01-15,5.0,V1805.DCE
2018-01-05,6830.0,6920.0,6770.0,560400.0,19187524700.0,0.6632277081798144,2.197802197802198,338704.0,-165.0,-7.113847427374084,-2.4756189047261814,2024-01-16,2025-01-15,5.0,V1805.DCE
2018-01-08,6830.0,6880.0,6805.0,238840.0,8180294200.0,-0.21913805697589828,1.0980966325036603,341356.0,-155.0,-6.750283076387073,-2.3220973782771535,2024-01-16,2025-01-15,5.0,V1805.DCE
2018-01-09,6795.0,6870.0,6775.0,263948.0,8986971100.0,-0.8029197080291928,1.390922401171303,347362.0,-130.0,-5.73672829972199,-1.9504876219054765,2024-01-16,2025-01-15,5.0,V1805.DCE
2018-01-10,6760.0,6840.0,6750.0,342434.0,11635421900.0,-0.6612784717119791,1.3245033112582782,341652.0,-95.0,-4.242131961561819,-1.4253563390847712,2024-01-16,2025-01-15,5.0,V1805.DCE
2018-01-11,6740.0,6790.0,6705.0,328100.0,11064665000.0,-0.8094186902133926,1.257396449704142,342380.0,-100.0,-4.536217157787778,-1.5060240963855422,2024-01-16,2025-01-15,5.0,V1805.DCE
2018-01-12,6825.0,6840.0,6710.0,381962.0,12969243200.0,1.261127596439171,1.9287833827893175,348500.0,-160.0,-7.318902896455821,-2.4006001500375094,2024-01-16,2025-01-15,5.0,V1805.DCE
2018-01-15,6810.0,6865.0,6780.0,297108.0,10139012400.0,0.2945508100147265,1.2454212454212454,352326.0,-145.0,-6.714641623368806,-2.175543885971493,2024-01-16,2025-01-15,5.0,V1805.DCE
2018-01-16,6630.0,6845.0,6615.0,558812.0,18747698800.0,-2.857142857142858,3.3773861967694567,304692.0,-15.0,-0.7086167800453516,-0.22675736961451248,2024-01-16,2025-01-15,5.0,V1805.DCE
2018-01-17,6570.0,6660.0,6540.0,285300.0,9407020500.0,-2.0134228187919434,1.809954751131222,280548.0,5.0,0.24065071954565143,0.07604562737642585,2024-01-16,2025-01-15,5.0,V1805.DCE
