,CLOSE,HIGH,LOW,VOLUME,AMT,PCT_CHG,SWING,OI,ANAL_BASIS,BASISANNUALYIELD,ANAL_BASISPERCENT2,FTDATE,LASTTRADE_DATE,CONTRACTMULTIPLIER,TRADE_HISCODE
2018-01-02,3121.0,,,0.0,0.0,0.0,,0.0,1489.0,538.3224873463486,32.29934924078091,2024-01-16,2025-01-15,10.0,WR1801.SHF
2018-01-03,3121.0,,,0.0,0.0,0.0,,0.0,1459.0,568.8552713661884,31.85589519650655,2024-01-16,2025-01-15,10.0,WR1801.SHF
2018-01-04,3121.0,,,0.0,0.0,0.0,,0.0,1339.0,577.3542600896861,30.022421524663677,2024-01-16,2025-01-15,10.0,WR1801.SHF
2018-01-05,3121.0,,,0.0,0.0,0.0,,0.0,1199.0,578.221450617284,27.75462962962963,2024-01-16,2025-01-15,10.0,WR1801.SHF
2018-01-08,3121.0,,,0.0,0.0,0.0,,0.0,1109.0,595.8521384053299,26.217494089834513,2024-01-16,2025-01-15,10.0,WR1801.SHF
2018-01-09,3121.0,,,0.0,0.0,0.0,,0.0,1109.0,655.4373522458629,26.217494089834513,2024-01-16,2025-01-15,10.0,WR1801.SHF
2018-01-10,3121.0,,,0.0,0.0,0.0,,0.0,1089.0,718.5273159144893,25.866983372921617,2024-01-16,2025-01-15,10.0,WR1801.SHF
2018-01-11,3121.0,,,0.0,0.0,0.0,,0.0,1069.0,797.2852028639618,25.513126491646776,2024-01-16,2025-01-15,10.0,WR1801.SHF
2018-01-12,3121.0,,,0.0,0.0,0.0,,0.0,969.0,846.1404121550821,23.6919315403423,2024-01-16,2025-01-15,10.0,WR1801.SHF
2018-01-15,3121.0,,,0.0,0.0,0.0,,0.0,889.0,221.6957605985037,22.169576059850375,2024-01-16,2025-01-15,10.0,WR1802.SHF
2018-01-16,3121.0,,,0.0,0.0,0.0,,0.0,889.0,230.93308395677474,22.169576059850375,2024-01-16,2025-01-15,10.0,WR1802.SHF
2018-01-17,3121.0,,,0.0,0.0,0.0,,0.0,899.0,243.07808782176073,22.36318407960199,2024-01-16,2025-01-15,10.0,WR1802.SHF
2018-01-18,3121.0,,,0.0,0.0,0.0,,0.0,929.0,260.66217732884394,22.938271604938272,2024-01-16,2025-01-15,10.0,WR1802.SHF
2018-01-19,3121.0,,,0.0,0.0,0.0,,0.0,949.0,277.58277758277757,23.316953316953317,2024-01-16,2025-01-15,10.0,WR1802.SHF
2018-01-22,3121.0,,,0.0,0.0,0.0,,0.0,1029.0,309.93975903614455,24.795180722891565,2024-01-16,2025-01-15,10.0,WR1802.SHF
2018-01-23,3121.0,,,0.0,0.0,0.0,,0.0,979.0,314.1848523748395,23.878048780487802,2024-01-16,2025-01-15,10.0,WR1802.SHF
2018-01-24,3121.0,,,0.0,0.0,0.0,,0.0,959.0,326.4569716775599,23.504901960784313,2024-01-16,2025-01-15,10.0,WR1802.SHF
2018-01-25,3121.0,,,0.0,0.0,0.0,,0.0,979.0,351.14777618364417,23.878048780487802,2024-01-16,2025-01-15,10.0,WR1802.SHF
2018-01-26,3121.0,,,0.0,0.0,0.0,,0.0,979.0,373.094512195122,23.878048780487802,2024-01-16,2025-01-15,10.0,WR1802.SHF
2018-01-29,3121.0,,,0.0,0.0,0.0,,0.0,979.0,397.96747967479666,23.878048780487802,2024-01-16,2025-01-15,10.0,WR1802.SHF
2018-01-30,3121.0,,,0.0,0.0,0.0,,0.0,969.0,423.07020607754106,23.6919315403423,2024-01-16,2025-01-15,10.0,WR1802.SHF
2018-01-31,3121.0,,,0.0,0.0,0.0,,0.0,969.0,455.6140680835057,23.6919315403423,2024-01-16,2025-01-15,10.0,WR1802.SHF
2018-02-01,3121.0,,,0.0,0.0,0.0,,0.0,969.0,493.58190709046454,23.6919315403423,2024-01-16,2025-01-15,10.0,WR1802.SHF
2018-02-02,3121.0,,,0.0,0.0,0.0,,0.0,979.0,542.6829268292682,23.878048780487802,2024-01-16,2025-01-15,10.0,WR1802.SHF
2018-02-05,3121.0,,,0.0,0.0,0.0,,0.0,979.0,596.9512195121952,23.878048780487802,2024-01-16,2025-01-15,10.0,WR1802.SHF
2018-02-06,3121.0,,,0.0,0.0,0.0,,0.0,979.0,663.2791327913279,23.878048780487802,2024-01-16,2025-01-15,10.0,WR1802.SHF
2018-02-07,3121.0,,,0.0,0.0,0.0,,0.0,979.0,746.189024390244,23.878048780487802,2024-01-16,2025-01-15,10.0,WR1802.SHF
2018-02-08,3121.0,,,0.0,0.0,0.0,,0.0,979.0,852.787456445993,23.878048780487802,2024-01-16,2025-01-15,10.0,WR1802.SHF
2018-02-09,3121.0,,,0.0,0.0,0.0,,0.0,979.0,238.78048780487805,23.878048780487802,2024-01-16,2025-01-15,10.0,WR1803.SHF
2018-02-12,3121.0,,,0.0,0.0,0.0,,0.0,979.0,248.72967479674796,23.878048780487802,2024-01-16,2025-01-15,10.0,WR1803.SHF
2018-02-13,3121.0,,,0.0,0.0,0.0,,0.0,979.0,259.5440084835631,23.878048780487802,2024-01-16,2025-01-15,10.0,WR1803.SHF
2018-02-14,3121.0,,,0.0,0.0,0.0,,0.0,979.0,271.3414634146341,23.878048780487802,2024-01-16,2025-01-15,10.0,WR1803.SHF
2018-02-22,3121.0,,,0.0,0.0,0.0,,0.0,979.0,284.26248548199766,23.878048780487802,2024-01-16,2025-01-15,10.0,WR1803.SHF
2018-02-23,3121.0,,,0.0,0.0,0.0,,0.0,979.0,298.4756097560976,23.878048780487802,2024-01-16,2025-01-15,10.0,WR1803.SHF
2018-02-26,3121.0,,,0.0,0.0,0.0,,0.0,1169.0,358.54496380812174,27.249417249417252,2024-01-16,2025-01-15,10.0,WR1803.SHF
2018-02-27,3121.0,,,0.0,0.0,0.0,,0.0,1169.0,378.46412846412846,27.249417249417252,2024-01-16,2025-01-15,10.0,WR1803.SHF
2018-02-28,3121.0,,,0.0,0.0,0.0,,0.0,1169.0,400.7267242561361,27.249417249417252,2024-01-16,2025-01-15,10.0,WR1803.SHF
2018-03-01,3121.0,,,0.0,0.0,0.0,,0.0,1169.0,425.7721445221446,27.249417249417252,2024-01-16,2025-01-15,10.0,WR1803.SHF
