,CLOSE,HIGH,LOW,VOLUME,AMT,PCT_CHG,SWING,OI,ANAL_BASIS,BASISANNUALYIELD,ANAL_BASISPERCENT2,FTDATE,LASTTRADE_DATE,CONTRACTMULTIPLIER,TRADE_HISCODE
2018-01-02,5780.0,5798.0,5686.0,277724.0,16017708400.0,1.9760056457304165,1.9760056457304165,856442.0,-160.0,-7.908264136022143,-2.8469750889679712,2024-01-16,2025-01-15,10.0,Y1805.DCE
2018-01-03,5778.0,5792.0,5760.0,213594.0,12335925600.0,0.20811654526535772,0.5536332179930795,865796.0,-158.0,-7.89715702347155,-2.8113879003558715,2024-01-16,2025-01-15,10.0,Y1805.DCE
2018-01-04,5824.0,5826.0,5784.0,270204.0,15687975500.0,0.8659508139937655,0.726895119418484,845190.0,-164.0,-8.231609380019274,-2.897526501766784,2024-01-16,2025-01-15,10.0,Y1805.DCE
2018-01-05,5824.0,5850.0,5788.0,275408.0,16025673100.0,0.344589937973816,1.0645604395604396,831646.0,-144.0,-7.285089849441477,-2.535211267605634,2024-01-16,2025-01-15,10.0,Y1805.DCE
2018-01-08,5756.0,5822.0,5740.0,325582.0,18815442300.0,-1.0656583018219368,1.407967032967033,893520.0,-96.0,-4.930561262223683,-1.6961130742049468,2024-01-16,2025-01-15,10.0,Y1805.DCE
2018-01-09,5794.0,5794.0,5754.0,232778.0,13453693400.0,0.2769124264451417,0.6949270326615705,894226.0,-134.0,-6.963209311993348,-2.3674911660777385,2024-01-16,2025-01-15,10.0,Y1805.DCE
2018-01-10,5798.0,5822.0,5766.0,305102.0,17685339200.0,0.346140533056416,0.9665170866413532,892236.0,-138.0,-7.25643614336194,-2.4381625441696113,2024-01-16,2025-01-15,10.0,Y1805.DCE
2018-01-11,5786.0,5816.0,5772.0,191020.0,11059541800.0,-0.1725327812284294,0.758882373232149,890528.0,-166.0,-8.89679715302491,-2.9537366548042705,2024-01-16,2025-01-15,10.0,Y1805.DCE
2018-01-12,5738.0,5794.0,5722.0,311992.0,17938326200.0,-0.863856254319284,1.244382993432423,890050.0,-118.0,-6.40135404912768,-2.099644128113879,2024-01-16,2025-01-15,10.0,Y1805.DCE
2018-01-15,5740.0,5760.0,5712.0,219440.0,12586502600.0,-0.13917884481559062,0.8365284071104915,883952.0,-120.0,-6.590220113351785,-2.135231316725979,2024-01-16,2025-01-15,10.0,Y1805.DCE
2018-01-16,5728.0,5770.0,5706.0,243662.0,13983016700.0,-0.10463899546564459,1.1149825783972125,893726.0,-108.0,-6.005338078291814,-1.9217081850533808,2024-01-16,2025-01-15,10.0,Y1805.DCE
2018-01-17,5708.0,5764.0,5692.0,317692.0,18185934600.0,-0.5228302544440622,1.2569832402234637,898874.0,-88.0,-4.955178161178432,-1.5658362989323844,2024-01-16,2025-01-15,10.0,Y1805.DCE
2018-01-18,5722.0,5726.0,5684.0,234116.0,13360570800.0,-0.03494060097833929,0.7358093903293622,904182.0,-152.0,-8.746489895502464,-2.7289048473967683,2024-01-16,2025-01-15,10.0,Y1805.DCE
2018-01-19,5678.0,5722.0,5666.0,276368.0,15743261000.0,-0.4907115317209998,0.9786787836420832,919542.0,-138.0,-8.087580289746354,-2.490974729241877,2024-01-16,2025-01-15,10.0,Y1805.DCE
2018-01-22,5744.0,5756.0,5674.0,310314.0,17751573400.0,0.8426966292134797,1.4441704825642832,904396.0,-144.0,-8.458646616541353,-2.571428571428571,2024-01-16,2025-01-15,10.0,Y1805.DCE
2018-01-23,5760.0,5782.0,5734.0,318072.0,18322585200.0,0.6993006993007089,0.8356545961002786,892696.0,-120.0,-7.092198581560284,-2.127659574468085,2024-01-16,2025-01-15,10.0,Y1805.DCE
2018-01-24,5780.0,5796.0,5768.0,262322.0,15171360000.0,0.3472222222222321,0.4861111111111111,885944.0,-120.0,-7.1626396714735945,-2.1201413427561837,2024-01-16,2025-01-15,10.0,Y1805.DCE
2018-01-25,5778.0,5796.0,5758.0,257942.0,14901967900.0,-0.06918021445866396,0.657439446366782,891698.0,-118.0,-7.139745389418656,-2.0848056537102475,2024-01-16,2025-01-15,10.0,Y1805.DCE
