,CLOSE,HIGH,LOW,VOLUME,AMT,PCT_CHG,SWING,OI,ANAL_BASIS,BASISANNUALYIELD,ANAL_BASISPERCENT2,FTDATE,LASTTRADE_DATE,CONTRACTMULTIPLIER,TRADE_HISCODE
2018-01-02,612.8,614.0,601.0,144026.0,8749129100.0,0.49196457855034126,2.1473406012553684,220868.0,543.27,139.8596105772142,46.992829153943966,2023-11-08,2024-11-07,100.0,ZC805.CZC
2018-01-03,613.2,617.6,609.2,143366.0,8807296700.0,0.9548896937767726,1.3707571801566545,218466.0,543.6099999999999,141.54264901516146,46.992159473033595,2023-11-08,2024-11-07,100.0,ZC805.CZC
2018-01-04,624.0,626.4,614.2,218634.0,13571772900.0,1.5625,1.989562948467047,231854.0,554.1099999999999,143.39575728052225,47.0338083880113,2023-11-08,2024-11-07,100.0,ZC805.CZC
2018-01-05,628.2,630.8,624.8,184480.0,11584192700.0,1.1920103092783574,0.9615384615384616,237872.0,587.01,149.0902197364455,48.30523119460834,2023-11-08,2024-11-07,100.0,ZC805.CZC
2018-01-08,632.6,634.0,623.2,224908.0,14150608300.0,0.7324840764331153,1.7191977077363825,246018.0,644.33,157.68532730846644,50.45930473870926,2023-11-08,2024-11-07,100.0,ZC805.CZC
2018-01-09,630.6,634.0,627.6,96174.0,6060903000.0,0.2225047679593084,1.011697755295602,235130.0,714.37,168.0828982774356,53.11419585566964,2023-11-08,2024-11-07,100.0,ZC805.CZC
2018-01-10,637.4,639.2,629.6,197108.0,12517691500.0,1.1424944462075315,1.5223596574690805,261632.0,785.2400000000001,176.9101720600343,55.1959736827307,2023-11-08,2024-11-07,100.0,ZC805.CZC
2018-01-11,636.0,640.8,632.0,156026.0,9924140900.0,0.15748031496063408,1.3806087229369242,250776.0,824.23,183.26369329293527,56.44521753422406,2023-11-08,2024-11-07,100.0,ZC805.CZC
2018-01-12,632.0,636.2,631.2,129300.0,8194797200.0,-0.6289308176100628,0.7861635220125787,255462.0,826.1199999999999,186.37012042904558,56.65651661042986,2023-11-08,2024-11-07,100.0,ZC805.CZC
2018-01-15,629.8,635.6,625.6,179846.0,11337184800.0,-0.631113916061854,1.5822784810126582,245838.0,762.9000000000001,182.59495943132046,54.77848782939614,2023-11-08,2024-11-07,100.0,ZC805.CZC
2018-01-16,633.4,638.6,629.4,236084.0,14977838000.0,0.4758883248730861,1.4607812003810807,262326.0,639.43,169.71916803394691,50.23687373804828,2023-11-08,2024-11-07,100.0,ZC805.CZC
2018-01-17,635.6,637.2,630.2,213912.0,13564007000.0,0.1891551071879105,1.1051468266498266,271168.0,588.4399999999999,164.63559029541963,48.07359236626254,2023-11-08,2024-11-07,100.0,ZC805.CZC
2018-01-18,646.2,650.0,635.4,334816.0,21585472200.000004,1.9242902208201906,2.297042164883578,317400.0,574.8899999999999,163.47245766760295,47.08006780826965,2023-11-08,2024-11-07,100.0,ZC805.CZC
2018-01-19,646.0,649.2,641.8,276340.0,17819901200.0,0.18610421836229296,1.145156298359655,320036.0,575.0899999999999,165.8325585118537,47.09644661736645,2023-11-08,2024-11-07,100.0,ZC805.CZC
2018-01-22,655.6,656.6,643.4,316176.0,20587888600.0,1.6749379652605478,2.043343653250781,367190.0,587.4799999999999,168.78582690919788,47.260031534575404,2023-11-08,2024-11-07,100.0,ZC805.CZC
2018-01-23,656.8,658.0,653.4,235040.0,15408650300.0,0.8599508599508532,0.7016473459426514,381946.0,603.0800000000002,173.4349671213224,47.86805092548497,2023-11-08,2024-11-07,100.0,ZC805.CZC
2018-01-24,665.0,665.2,654.0,264780.0,17461099700.0,1.433801098230636,1.705237515225342,415114.0,600.1600000000001,174.40249361624572,47.43747826361883,2023-11-08,2024-11-07,100.0,ZC805.CZC
2018-01-25,668.4,673.4,664.2,356396.0,23834800900.0,1.364877161055511,1.383458646616531,427906.0,584.57,174.08488178356882,46.65474831799644,2023-11-08,2024-11-07,100.0,ZC805.CZC
2018-01-26,673.0,674.2,665.6,242610.0,16248926000.0,0.6279904306220274,1.2866546977857605,452402.0,534.02,167.58653794494128,44.2428460174645,2023-11-08,2024-11-07,100.0,ZC805.CZC
2018-01-29,678.8,679.8,670.4,280740.0,18978093800.0,1.3436846819946169,1.3967310549777083,480394.0,470.78999999999996,157.511005595975,40.952861454953506,2023-11-08,2024-11-07,100.0,ZC805.CZC
