,CLOSE,HIGH,LOW,VOLUME,AMT,PCT_CHG,SWING,OI,ANAL_BASIS,BASISANNUALYIELD,ANAL_BASISPERCENT2,FTDATE,LASTTRADE_DATE,CONTRACTMULTIPLIER,TRADE_HISCODE
2018-01-02,25850.0,26115.0,25710.0,228518.0,29544389850.0,0.7600857532644723,1.574344023323615,170592.0,-170.0,-4.867601246105919,-0.661993769470405,2023-11-16,2024-11-15,5.0,ZN1802.SHF
2018-01-03,25775.0,26000.0,25745.0,216656.0,28047814250.0,-0.3094179075614045,0.9864603481624759,168272.0,125.0,3.656253656253656,0.4826254826254826,2023-11-16,2024-11-15,5.0,ZN1802.SHF
2018-01-04,25990.0,25990.0,25670.0,179698.0,23199357799.999996,0.3862495171881086,1.241513094083414,202016.0,-190.0,-3.6099711202310383,-0.7364341085271318,2023-11-16,2024-11-15,5.0,ZN1803.SHF
2018-01-05,26105.0,26155.0,25880.0,223420.0,29039429450.0,1.1037955073586403,1.058099268949596,225064.0,-115.0,-2.2123893805309733,-0.4424778761061947,2023-11-16,2024-11-15,5.0,ZN1803.SHF
2018-01-08,26060.0,26110.0,25875.0,323376.0,42027358650.0,0.25004808617041796,0.900210687607738,234586.0,-100.0,-1.965347001666614,-0.3852080123266564,2023-11-16,2024-11-15,5.0,ZN1803.SHF
2018-01-09,26350.0,26430.0,25995.0,364862.0,47836033550.00001,1.3851481338976512,1.6692248656945512,259538.0,-90.0,-1.785034272658035,-0.3427265803503427,2023-11-16,2024-11-15,5.0,ZN1803.SHF
2018-01-10,26040.0,26305.0,26015.0,302676.0,39598737900.0,-0.6864988558352381,1.1005692599620494,246380.0,110.0,2.2375005085228428,0.42065009560229444,2023-11-16,2024-11-15,5.0,ZN1803.SHF
2018-01-11,26255.0,26320.0,26065.0,264638.0,34628958500.0,0.34397095356393237,0.9792626728110598,251746.0,-185.0,-3.8566735044445557,-0.7096279248177982,2023-11-16,2024-11-15,5.0,ZN1803.SHF
2018-01-12,26375.0,26385.0,26090.0,341214.0,44814163650.0,0.7833397019487931,1.1235955056179776,267686.0,-205.0,-4.351887233048869,-0.7833397019487964,2023-11-16,2024-11-15,5.0,ZN1803.SHF
2018-01-15,26360.0,26480.0,26215.0,319106.0,41989538900.0,0.36169807728916314,1.004739336492891,270808.0,-170.0,-3.688083584990802,-0.6491027109583811,2023-11-16,2024-11-15,5.0,ZN1803.SHF
2018-01-16,26065.0,26395.0,25945.0,361116.0,47267634150.0,-0.9500285008550269,1.707132018209408,249168.0,95.0,2.1113363203186117,0.36314984709480125,2023-11-16,2024-11-15,5.0,ZN1803.SHF
2018-01-17,26055.0,26155.0,25940.0,304396.0,39656405400.0,-0.4584527220630408,0.8248609246115481,242348.0,-5.0,-0.11424915455625628,-0.019193857965451058,2023-11-16,2024-11-15,5.0,ZN1803.SHF
2018-01-18,25995.0,26130.0,25925.0,280388.0,36467665000.0,-0.23028209556706924,0.7867971598541548,233230.0,-55.0,-1.2928521729319067,-0.2120277563608327,2023-11-16,2024-11-15,5.0,ZN1803.SHF
2018-01-19,26100.0,26135.0,25880.0,309238.0,40211990250.0,0.34602076124568004,0.9809578765147143,226354.0,-220.0,-5.312982998454404,-0.8500772797527048,2023-11-16,2024-11-15,5.0,ZN1803.SHF
2018-01-22,26210.0,26250.0,26050.0,291540.0,38140993650.0,0.7883099403960703,0.7662835249042145,229078.0,-140.0,-3.4424085056996447,-0.5370157268891446,2023-11-16,2024-11-15,5.0,ZN1803.SHF
2018-01-23,26215.0,26245.0,26040.0,287432.0,37551398100.0,0.19109497420217725,0.782144219763449,223428.0,-175.0,-4.421335597057159,-0.6720430107526881,2023-11-16,2024-11-15,5.0,ZN1803.SHF
2018-01-24,25875.0,26215.0,25820.0,344828.0,44946387800.0,-0.9569377990430672,1.5067709326721344,226272.0,165.0,4.281355087806701,0.6336405529953917,2023-11-16,2024-11-15,5.0,ZN1803.SHF
2018-01-25,26290.0,26415.0,25940.0,472790.0,61927202800.0,0.863226549012075,1.8357487922705313,223120.0,-100.0,-2.6515633617580927,-0.3818251240931653,2023-11-16,2024-11-15,5.0,ZN1803.SHF
2018-01-26,26185.0,26310.0,26115.0,249650.0,32699477799.999996,-0.03817522427944642,0.7417268923545074,213584.0,-125.0,-3.4261594123451373,-0.47966231772831924,2023-11-16,2024-11-15,5.0,ZN1803.SHF
2018-01-29,27055.0,27235.0,26200.0,531324.0,71292944700.0,3.283069288032059,3.952644643880084,231608.0,-35.0,-0.952453520268211,-0.1295336787564767,2023-11-16,2024-11-15,5.0,ZN1803.SHF
2018-01-30,26825.0,27130.0,26700.0,355712.0,47871514250.0,-0.037264766163591645,1.5893550175568287,211140.0,15.0,0.42338436526215967,0.05588673621460507,2023-11-16,2024-11-15,5.0,ZN1803.SHF
2018-01-31,26780.0,26915.0,26520.0,347076.0,46367666250.0,-0.5015790451421087,1.472506989748369,199402.0,-220.0,-6.471197289156628,-0.8283132530120483,2023-11-16,2024-11-15,5.0,ZN1803.SHF
